"Datazone2001","SFI_decilesnum"
"S01000190",4
"S01000191",9
"S01000192",10
"S01000193",4
"S01000194",10
"S01000195",9
"S01000196",7
"S01000197",4
"S01000198",7
"S01000199",9
"S01000200",9
"S01000201",8
"S01000202",9
"S01000203",8
"S01000204",5
"S01000205",10
"S01000206",2
"S01000207",8
"S01000208",7
"S01000209",8
"S01000210",9
"S01000211",8
"S01000212",6
"S01000213",9
"S01000214",3
"S01000215",5
"S01000216",4
"S01000217",8
"S01000218",3
"S01000219",8
"S01000220",10
"S01000221",9
"S01000222",5
"S01000223",8
"S01000224",4
"S01000225",3
"S01000226",7
"S01000227",7
"S01000228",9
"S01000229",7
"S01000230",7
"S01000231",2
"S01000232",7
"S01000233",6
"S01000234",1
"S01000235",5
"S01000236",1
"S01000237",1
"S01000238",4
"S01000239",2
"S01000240",1
"S01000241",1
"S01000242",5
"S01000243",1
"S01000244",6
"S01000245",2
"S01000246",3
"S01000247",1
"S01000248",2
"S01000249",2
"S01000250",1
"S01000251",1
"S01000252",4
"S01000253",1
"S01000254",2
"S01000255",4
"S01000256",2
"S01000257",2
"S01000258",2
"S01000259",1
"S01000260",3
"S01000261",1
"S01000262",2
"S01000263",5
"S01000264",4
"S01000265",3
"S01000266",5
"S01000267",5
"S01000268",3
"S01000269",1
"S01000270",3
"S01000271",3
"S01000272",5
"S01000273",3
"S01000274",4
"S01000275",3
"S01000276",2
"S01000277",3
"S01000278",6
"S01000279",2
"S01000280",3
"S01000281",8
"S01000282",3
"S01000283",3
"S01000284",2
"S01000285",1
"S01000286",8
"S01000287",5
"S01000288",2
"S01000289",5
"S01000290",7
"S01000291",2
"S01000292",4
"S01000293",9
"S01000294",2
"S01000295",1
"S01000296",3
"S01000297",3
"S01000298",2
"S01000299",3
"S01000300",3
"S01000301",5
"S01000302",3
"S01000303",7
"S01000304",1
"S01000305",2
"S01000306",2
"S01000307",2
"S01000308",3
"S01000309",6
"S01000310",2
"S01000311",6
"S01000312",7
"S01000313",3
"S01000314",2
"S01000315",2
"S01000316",5
"S01000317",5
"S01000318",1
"S01000319",1
"S01000320",5
"S01000321",2
"S01000322",2
"S01000323",3
"S01000324",1
"S01000325",3
"S01000326",3
"S01000327",1
"S01000328",4
"S01000329",5
"S01000330",4
"S01000331",3
"S01000332",4
"S01000333",5
"S01000334",4
"S01000335",1
"S01000336",5
"S01000337",4
"S01000338",7
"S01000339",2
"S01000340",5
"S01000341",7
"S01000342",6
"S01000343",6
"S01000344",2
"S01000345",3
"S01000346",2
"S01000347",4
"S01000348",4
"S01000349",4
"S01000350",1
"S01000351",3
