,All households,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Rented: Council (Local authority),Rented: Other social rented,Rented: Private landlord or letting agency,Rented: Other,Living rent free
S01006618,246,105,126,0,2,0,7,1,5
S01006619,372,130,194,1,28,1,11,0,7
S01006620,390,117,192,2,47,3,20,3,6
S01006621,235,70,141,1,17,1,5,0,0
S01006622,292,48,203,11,1,4,21,3,1
S01006623,359,88,123,2,48,54,37,4,3
S01006624,481,86,136,1,75,34,138,7,4
S01006625,288,71,95,0,65,7,36,7,7
S01006626,377,63,74,0,198,3,31,2,6
S01006627,511,65,135,0,52,111,127,11,10
S01006628,635,50,160,2,110,43,259,9,2
S01006629,315,46,54,4,178,18,12,2,1
S01006630,256,46,64,0,129,4,4,3,6
S01006631,493,79,112,2,230,12,51,1,6
S01006632,423,45,64,0,254,18,32,4,6
S01006633,288,33,47,2,173,14,14,4,1
S01006634,291,10,30,2,221,18,9,1,0
S01006635,289,63,65,0,136,3,17,3,2
S01006636,386,20,23,3,322,2,14,2,0
S01006637,413,68,87,1,82,47,104,15,9
S01006638,504,60,118,4,113,23,156,23,7
S01006639,592,46,104,2,185,62,162,19,12
S01006640,376,22,119,4,29,2,173,20,7
S01006641,602,53,145,23,98,29,206,37,11
S01006642,492,49,118,9,68,30,177,22,19
S01006643,419,47,110,2,12,19,195,27,7
S01006644,553,34,128,10,105,32,198,23,23
S01006645,393,39,26,2,253,19,46,5,3
S01006646,340,27,46,14,73,11,148,14,7
S01006647,341,54,27,6,144,17,83,5,5
S01006648,651,47,118,12,79,106,244,29,16
S01006649,583,35,111,4,18,186,186,32,11
S01006650,481,66,126,3,32,46,186,16,6
S01006651,382,34,62,4,95,34,145,6,2
S01006652,308,19,90,2,38,13,118,18,10
S01006653,296,67,88,7,5,16,95,11,7
S01006654,504,83,93,1,184,56,63,12,12
S01006655,334,70,113,2,9,36,86,13,5
S01006656,524,51,143,5,29,87,185,19,5
S01006657,286,30,60,22,17,70,70,15,2
S01006658,525,36,82,3,183,21,170,19,11
S01006659,287,72,81,6,10,1,88,21,8
S01006660,247,17,48,0,80,1,91,8,2
S01006661,301,83,70,0,20,2,101,18,7
S01006662,285,18,36,1,139,14,72,2,3
S01006663,245,43,39,4,10,4,111,24,10
S01006664,237,42,53,0,24,1,93,17,7
S01006665,316,49,69,3,34,2,124,26,9
S01006666,499,24,23,1,408,18,18,3,4
S01006667,447,23,18,16,323,17,43,2,5
S01006668,413,61,106,7,46,29,136,18,10
S01006669,444,53,48,2,191,24,75,47,4
S01006670,347,44,72,31,77,20,85,10,8
S01006671,233,40,35,22,57,5,56,9,9
S01006672,366,38,49,3,201,5,57,10,3
S01006673,367,37,51,1,137,72,47,13,9
S01006674,544,56,6,5,399,46,23,3,6
S01006675,315,2,16,1,276,8,9,3,0
S01006676,358,36,33,2,250,2,14,19,2
S01006677,398,51,60,2,229,8,42,6,0
S01006678,525,55,72,2,331,35,28,1,1
S01006679,315,131,109,1,22,18,23,7,4
S01006680,416,29,25,8,342,3,6,3,0
S01006681,464,49,128,7,215,7,45,10,3
S01006682,384,20,35,1,290,9,25,2,2
S01006683,370,28,60,1,212,5,55,9,0
S01006684,401,36,59,2,165,82,47,6,4
S01006685,427,39,104,4,207,16,50,4,3
S01006686,305,63,94,3,110,1,26,6,2
S01006687,419,95,125,1,134,0,51,6,7
S01006688,510,173,117,6,172,1,25,6,10
S01006689,288,81,138,3,6,0,51,4,5
S01006690,308,91,105,0,39,1,56,8,8
S01006691,271,65,113,1,12,9,59,9,3
S01006692,361,140,127,1,36,1,44,9,3
S01006693,497,91,163,3,61,58,97,17,7
S01006694,480,54,66,2,324,19,10,1,4
S01006695,346,116,101,1,101,4,19,1,3
S01006696,390,66,90,2,185,2,33,8,4
S01006697,435,100,105,0,186,6,28,3,7
S01006698,409,48,62,0,249,2,45,1,2
S01006699,209,76,71,0,28,0,25,5,4
S01006700,431,121,97,1,147,3,52,5,5
S01006701,321,54,86,0,165,3,8,2,3
S01006702,332,107,124,0,85,5,5,5,1
S01006703,301,57,94,1,73,61,11,3,1
S01006704,301,42,63,0,183,3,6,3,1
S01006705,364,93,89,2,155,9,7,3,6
S01006706,272,48,92,0,85,32,8,2,5
S01006707,311,57,65,0,168,3,14,2,2
S01006708,364,84,116,0,139,5,13,2,5
S01006709,376,70,96,2,98,88,18,2,2
S01006710,415,97,140,1,97,69,5,2,4
S01006711,511,82,162,0,233,12,14,6,2
S01006712,250,76,93,1,69,1,5,1,4
S01006713,420,93,118,4,163,24,7,2,9
S01006714,304,83,98,1,85,19,8,8,2
S01006715,218,31,56,0,117,5,8,1,0
S01006716,242,45,77,0,90,23,3,1,3
S01006717,445,94,128,1,204,6,9,1,2
S01006718,248,58,73,0,98,3,10,1,5
S01006719,350,61,143,0,124,7,11,2,2
S01006720,242,40,97,0,88,3,11,2,1
S01006721,386,85,122,0,142,24,6,1,6
S01006722,312,76,108,3,101,11,11,1,1
S01006723,283,71,97,4,46,47,9,4,5
S01006724,343,15,50,3,226,37,9,2,1
S01006725,265,48,83,0,122,2,8,1,1
S01006726,505,19,46,5,406,5,23,1,0
S01006727,395,21,39,0,308,11,14,2,0
S01006728,334,70,107,0,30,118,7,0,2
S01006729,349,36,63,1,231,3,14,1,0
S01006730,276,64,123,2,46,35,6,0,0
S01006731,257,53,75,1,120,3,4,1,0
S01006732,353,113,148,4,24,2,43,14,5
S01006733,309,97,185,1,5,2,16,2,1
S01006734,352,88,214,6,4,1,30,3,6
S01006735,245,119,81,29,4,0,11,0,1
S01006736,395,80,267,8,7,8,25,0,0
S01006737,265,113,104,2,15,1,20,3,7
S01006738,453,80,186,3,24,64,79,10,7
S01006739,309,67,148,11,6,2,65,7,3
S01006740,335,99,129,0,91,0,8,3,5
S01006741,342,124,92,0,106,2,10,2,6
S01006742,233,64,78,0,77,2,8,2,2
S01006743,271,83,92,34,42,6,10,1,3
S01006744,302,84,135,1,50,5,20,2,5
S01006745,409,99,114,0,159,6,20,3,8
S01006746,350,105,114,0,76,36,12,1,6
S01006747,368,219,107,0,8,0,15,12,7
S01006748,408,164,146,0,47,3,36,2,10
S01006749,419,122,169,0,91,4,21,8,4
S01006750,292,102,114,0,62,0,9,2,3
S01006751,241,64,67,0,55,39,11,1,4
S01006752,339,119,113,0,87,6,11,3,0
S01006753,410,194,142,1,24,16,20,6,7
S01006754,400,207,154,0,12,1,17,1,8
S01006755,289,80,138,0,14,1,42,6,8
S01006756,286,29,178,0,3,2,65,4,5
S01006757,343,102,199,5,4,1,24,5,3
S01006758,318,121,175,0,1,0,16,4,1
S01006759,251,107,118,1,6,0,15,2,2
S01006760,235,70,138,2,1,0,19,4,1
S01006761,334,143,168,2,2,0,10,3,6
S01006762,416,189,101,0,76,1,33,6,10
S01006763,334,54,234,13,1,1,26,3,2
S01006764,345,91,215,5,2,1,28,3,0
S01006765,273,74,166,8,2,0,20,2,1
S01006766,240,83,139,3,2,2,6,2,3
S01006767,283,100,125,2,35,0,14,2,5
S01006768,212,90,119,0,1,0,1,1,0
S01006769,392,129,203,0,6,35,16,2,1
S01006770,273,141,122,0,0,3,6,0,1
S01006771,150,59,83,0,1,0,4,0,3
S01006772,375,164,187,1,3,0,16,4,0
S01006773,255,104,135,1,5,0,8,2,0
S01006774,221,103,109,0,1,1,4,1,2
S01006775,319,64,145,0,79,1,19,4,7
S01006776,271,63,72,1,115,2,14,0,4
S01006777,262,150,100,1,1,2,6,0,2
S01006778,287,127,125,0,25,0,8,1,1
S01006779,293,76,90,0,111,0,9,3,4
S01006780,254,96,103,0,41,0,5,4,5
S01006781,295,169,100,0,8,1,11,1,5
S01006782,341,103,170,1,25,0,32,5,5
S01006783,299,164,86,1,38,0,5,1,4
S01006784,302,125,123,1,0,1,44,4,4
S01006785,223,75,133,0,1,1,12,1,0
S01006786,339,120,181,0,11,2,20,3,2
S01006787,281,109,118,1,32,0,15,2,4
S01006788,302,70,180,1,3,0,40,4,4
S01006789,290,136,72,0,12,2,50,8,10
S01006790,444,176,90,0,93,36,38,5,6
S01006791,253,80,43,1,20,1,71,5,32
S01006792,214,68,22,0,1,2,82,7,32
S01006793,245,90,41,0,28,12,32,10,32
S01006794,280,109,85,0,65,4,9,4,4
S01006795,319,149,94,1,7,22,31,9,6
S01006796,222,87,71,12,1,20,19,2,10
S01006797,243,69,68,0,2,3,70,6,25
S01006798,225,87,52,1,1,8,52,5,19
S01006799,403,127,130,9,84,28,15,7,3
S01006800,320,157,105,0,4,0,37,5,12
S01006801,353,138,149,0,2,0,47,7,10
S01006802,298,80,67,0,29,24,67,8,23
S01006803,313,87,93,0,103,1,21,2,6
S01006804,295,76,154,1,35,3,22,2,2
S01006805,442,151,159,5,23,40,46,11,7
S01006806,429,152,168,1,18,11,56,3,20
S01006807,243,64,117,1,2,2,33,9,15
S01006808,248,104,108,2,5,2,23,1,3
S01006809,354,104,104,1,90,26,21,5,3
S01006810,370,118,134,0,57,19,23,2,17
S01006811,430,127,178,0,43,12,53,5,12
S01006812,304,70,137,0,31,14,32,4,16
S01006813,322,89,145,2,61,1,15,4,5
S01006814,282,112,149,0,5,3,8,3,2
S01006815,285,65,85,0,90,34,7,0,4
S01006816,298,95,131,2,34,20,9,1,6
S01006817,261,81,88,0,43,4,21,6,18
S01006818,278,106,121,1,16,1,14,2,17
S01006819,313,107,135,0,9,1,41,9,11
S01006820,180,68,91,2,1,3,10,2,3
S01006821,229,99,78,0,1,2,38,5,6
S01006822,279,109,110,1,4,1,45,3,6
S01006823,302,148,101,0,3,1,40,3,6
S01006824,367,69,111,0,137,34,11,1,4
S01006825,333,119,163,0,28,6,11,3,3
S01006826,344,118,152,0,46,5,16,4,3
S01006827,419,110,136,0,119,12,23,9,10
S01006828,485,150,151,2,64,35,67,4,12
S01006829,139,26,106,0,0,1,4,1,1
S01006830,301,115,105,2,30,40,6,1,2
S01006831,221,124,80,1,1,0,10,0,5
S01006832,424,187,144,1,17,30,38,5,2
S01006833,175,96,59,1,3,0,13,2,1
S01006834,163,34,99,0,3,12,14,0,1
S01006835,478,147,111,1,51,77,71,13,7
S01006836,210,30,116,3,2,27,29,3,0
S01006837,230,87,105,1,2,25,6,0,4
S01006838,249,49,151,0,39,0,9,1,0
S01006839,450,171,170,10,59,12,17,4,7
S01006840,366,146,205,0,2,2,9,1,1
S01006841,344,95,214,12,11,1,9,2,0
S01006842,308,137,154,0,2,4,8,0,3
S01006843,312,88,205,1,2,3,10,2,1
S01006844,332,112,192,1,3,1,16,6,1
S01006845,366,108,229,5,2,2,11,3,6
S01006846,240,76,130,0,21,1,10,1,1
S01006847,238,67,158,7,0,0,2,2,2
S01006848,364,147,124,0,3,5,75,5,5
S01006849,355,34,244,13,4,52,7,1,0
S01006850,365,83,202,1,9,52,10,3,5
S01006851,337,67,153,0,54,53,5,2,3
S01006852,229,106,100,1,0,6,13,1,2
S01006853,318,109,127,5,0,2,60,9,6
S01006854,364,139,128,8,47,26,11,2,3
S01006855,294,116,107,1,9,2,50,2,7
S01006856,254,80,74,0,1,0,65,6,28
S01006857,398,120,110,2,14,11,123,4,14
S01006858,240,112,91,0,1,1,27,3,5
S01006859,421,205,176,0,1,0,32,3,4
S01006860,264,70,63,0,82,25,17,4,3
S01006861,195,33,134,2,1,1,21,3,0
S01006862,312,116,107,0,34,34,12,5,4
S01006863,295,109,112,0,47,1,20,4,2
S01006864,165,23,66,0,4,58,12,1,1
S01006865,424,180,137,7,10,8,72,2,8
S01006866,220,132,65,0,3,2,11,3,4
S01006867,293,161,81,0,19,4,20,3,5
S01006868,364,114,115,0,101,5,21,4,4
S01006869,197,58,56,0,12,2,63,2,4
S01006870,196,88,70,0,15,3,16,1,3
S01006871,265,102,103,0,35,12,10,1,2
S01006872,252,108,74,1,0,1,46,7,15
S01006873,426,223,92,0,13,2,81,2,13
S01006874,216,85,58,0,6,0,60,1,6
S01006875,321,109,78,0,63,27,35,0,9
S01006876,396,159,149,2,30,14,27,4,11
S01006877,372,146,128,1,6,1,69,5,16
S01006878,322,119,82,0,34,14,64,3,6
S01006879,322,120,62,3,5,0,101,13,18
S01006880,227,74,111,0,3,6,21,5,7
S01006881,227,105,75,0,3,0,29,3,12
S01006882,207,55,46,0,91,0,9,2,4
S01006883,217,73,80,1,11,30,17,2,3
S01006884,390,174,147,0,42,2,18,0,7
S01006885,220,114,79,0,8,1,13,4,1
S01006886,321,129,89,0,28,2,56,2,15
S01006887,213,74,96,0,8,10,18,3,4
S01006888,309,114,141,2,21,1,20,4,6
S01006889,350,85,109,0,119,28,8,1,0
S01006890,264,98,126,0,7,21,7,1,4
S01006891,400,118,161,1,80,14,20,2,4
S01006892,275,43,97,1,101,27,4,2,0
S01006893,196,58,69,0,63,1,2,3,0
S01006894,448,171,147,1,103,11,12,2,1
S01006895,266,70,98,0,57,4,31,3,3
S01006896,361,150,123,0,45,5,28,5,5
S01006897,290,109,144,0,4,13,15,2,3
S01006898,340,135,128,1,4,44,24,1,3
S01006899,242,83,141,0,3,2,11,1,1
S01006900,234,72,137,7,1,2,9,3,3
S01006901,270,51,93,0,101,5,17,2,1
S01006902,296,57,93,1,54,71,17,1,2
S01006903,349,80,121,0,94,29,21,0,4
S01006904,330,119,86,16,18,35,43,10,3
S01006905,395,167,124,0,48,37,15,2,2
S01006906,441,104,89,0,190,33,10,4,11
S01006907,305,88,85,3,35,18,62,9,5
S01006908,426,148,116,3,96,4,47,5,7
S01006909,275,78,176,0,3,0,14,1,3
S01006910,353,133,151,0,6,0,50,7,6
S01006911,224,16,168,0,6,24,6,0,4
S01006912,170,83,45,0,3,1,25,1,12
S01006913,182,44,114,0,0,1,13,2,8
S01006914,273,117,95,0,3,3,32,8,15
S01006915,301,129,130,0,16,1,21,1,3
S01006916,207,41,91,10,6,47,10,2,0
S01006917,320,34,247,0,5,18,14,1,1
S01006918,195,71,87,0,16,9,10,0,2
S01006919,205,102,67,0,20,2,13,0,1
S01006920,243,78,82,1,40,23,14,4,1
S01006921,270,57,195,0,3,3,9,1,2
S01006922,201,98,71,1,2,0,17,1,11
S01006923,331,166,110,0,37,1,14,0,3
S01006924,208,88,85,1,1,0,25,3,5
S01006925,215,94,83,0,24,2,10,1,1
S01006926,263,71,160,0,1,12,15,2,2
S01006927,358,25,267,2,4,23,34,1,2
S01006928,416,129,174,2,27,5,55,13,11
S01006929,280,121,138,2,0,1,14,0,4
S01006930,358,175,169,0,1,1,9,2,1
S01006931,159,50,46,0,2,0,56,1,4
S01006932,195,30,120,7,1,31,6,0,0
S01006933,220,79,130,0,0,1,7,1,2
S01006934,234,84,75,0,21,4,38,8,4
S01006935,301,167,116,0,2,0,10,2,4
S01006936,274,122,112,3,7,15,13,0,2
S01006937,316,141,143,0,2,3,19,6,2
S01006938,254,81,102,0,51,0,14,3,3
S01006939,234,104,119,0,0,2,6,0,3
S01006940,378,141,194,0,0,6,29,5,3
S01006941,255,105,122,2,4,11,9,0,2
S01006942,390,136,215,1,11,2,20,3,2
S01006943,208,44,149,0,0,1,12,2,0
S01006944,327,32,212,15,3,36,25,4,0
S01006945,215,87,114,0,3,1,8,0,2
S01006946,314,118,164,1,4,2,22,2,1
S01006947,306,40,199,12,3,36,14,1,1
S01006948,372,149,141,1,53,1,23,1,3
S01006949,248,96,132,0,2,2,12,3,1
S01006950,199,10,133,9,3,34,7,3,0
S01006951,204,84,86,0,22,4,7,1,0
S01006952,364,167,117,1,19,4,44,4,8
S01006953,301,114,164,0,1,3,16,1,2
S01006954,317,150,146,0,3,2,11,2,3
S01006955,267,36,121,3,40,46,17,4,0
S01006956,394,77,257,1,14,21,21,2,1
S01006957,387,132,200,0,5,3,35,3,9
S01006958,435,240,158,0,6,2,19,4,6
S01006959,347,104,73,0,85,48,28,4,5
S01006960,318,53,221,0,1,31,11,1,0
S01006961,321,36,265,0,1,0,15,3,1
S01006962,409,207,160,2,4,0,23,2,11
S01006963,275,122,126,0,3,0,23,1,0
S01006964,348,118,165,0,1,2,48,8,6
S01006965,216,96,79,0,5,16,15,5,0
S01006966,253,51,101,0,81,3,12,1,4
S01006967,237,83,143,0,1,0,6,2,2
S01006968,224,74,88,0,45,0,14,1,2
S01006969,412,151,173,0,45,2,35,3,3
S01006970,258,106,115,6,0,10,15,3,3
S01006971,248,72,63,0,99,2,11,1,0
S01006972,192,86,76,0,3,2,14,5,6
S01006973,234,112,82,0,21,3,11,2,3
S01006974,393,125,209,0,17,16,19,3,4
S01006975,386,141,181,0,7,2,46,4,5
S01006976,172,75,67,0,1,0,20,3,6
S01006977,316,79,119,0,9,2,85,6,16
S01006978,371,128,135,0,43,3,47,2,13
S01006979,369,136,121,0,45,23,33,4,7
S01006980,326,125,135,1,3,3,49,3,7
S01006981,321,105,125,0,38,3,33,8,9
S01006982,359,77,193,10,56,3,16,4,0
S01006983,289,93,145,2,11,4,21,4,9
S01006984,275,88,125,1,12,1,40,1,7
S01006985,432,160,153,1,83,11,19,1,4
S01006986,243,55,139,4,16,13,13,0,3
S01006987,294,107,94,0,55,6,23,5,4
S01006988,218,45,114,0,5,28,17,1,8
S01006989,375,167,163,1,9,3,26,2,4
S01006990,313,63,189,4,1,9,43,2,2
S01006991,216,76,46,1,65,4,19,2,3
S01006992,241,97,108,0,1,1,29,1,4
S01006993,202,86,82,0,2,2,24,2,4
S01006994,226,86,89,0,4,2,39,0,6
S01006995,331,114,138,0,5,7,44,8,15
S01006996,306,79,139,2,68,7,9,1,1
S01006997,292,84,162,1,18,1,20,2,4
S01006998,450,166,198,1,31,0,32,8,14
S01006999,334,128,125,0,6,0,58,6,11
S01007000,414,111,176,0,73,34,14,2,4
S01007001,388,143,157,0,51,4,27,2,4
S01007002,230,70,74,6,6,39,30,0,5
S01007003,205,93,56,1,9,1,30,4,11
S01007004,304,139,100,0,9,3,39,7,7
S01007005,348,146,136,1,13,2,38,4,8
S01007006,394,138,115,0,57,13,48,11,12
S01007007,338,141,105,1,25,1,54,4,7
S01007008,450,124,127,1,118,35,29,4,12
S01007009,496,198,132,1,76,36,43,5,5
S01007010,392,179,81,11,76,3,33,4,5
S01007011,463,123,98,0,127,52,52,8,3
S01007012,322,84,58,1,148,12,9,7,3
S01007013,222,120,70,0,4,1,22,3,2
S01007014,381,123,188,1,7,2,43,5,12
S01007015,247,78,80,0,15,2,57,6,9
S01007016,213,73,92,0,8,0,32,4,4
S01007017,476,126,155,0,156,6,27,2,4
S01007018,421,179,162,0,41,14,19,1,5
S01007019,309,123,82,0,60,4,23,6,11
S01007020,411,127,124,5,56,33,50,7,9
S01007021,403,167,135,2,60,8,20,2,9
S01007022,209,82,54,0,16,46,4,6,1
S01007023,203,70,50,2,30,0,42,3,6
S01007024,416,202,120,0,30,2,37,7,18
S01007025,389,136,87,1,123,21,12,2,7
S01007026,412,208,103,1,58,11,21,1,9
S01007027,481,207,131,0,92,6,34,4,7
S01007028,315,141,90,0,18,3,43,7,13
S01007029,221,128,73,0,6,0,4,4,6
S01007030,338,140,79,0,93,2,14,4,6
S01007031,285,84,68,0,70,22,32,3,6
S01007032,507,153,116,2,67,86,66,9,8
S01007033,338,111,95,1,108,6,13,1,3
S01007034,266,88,77,2,70,4,18,1,6
S01007035,375,103,75,0,161,13,11,7,5
S01007036,401,167,115,1,46,40,19,5,8
S01007037,453,137,140,0,152,6,14,3,1
S01007038,328,110,104,1,56,19,32,3,3
S01007039,368,112,119,1,119,1,10,3,3
S01007040,301,108,73,0,98,4,11,1,6
S01007041,344,132,106,0,56,34,11,2,3
S01007042,318,120,105,2,57,7,18,5,4
S01007043,382,180,101,0,9,1,62,15,14
S01007044,306,141,84,3,37,0,26,5,10
S01007045,325,168,110,0,7,0,25,3,12
S01007046,259,130,87,0,14,0,21,0,7
S01007047,261,139,92,0,5,2,13,4,6
S01007048,359,164,131,0,26,1,27,1,9
S01007049,415,134,110,0,132,1,28,2,8
S01007050,295,116,102,0,36,13,17,1,10
S01007051,332,110,122,1,63,2,27,3,4
S01007052,233,97,91,0,16,6,14,0,9
S01007053,191,88,77,2,1,0,19,1,3
S01007054,434,162,131,0,87,11,25,7,11
S01007055,196,92,70,1,2,1,17,6,7
S01007056,221,102,82,1,6,0,19,2,9
S01007057,247,138,67,0,31,0,7,0,4
S01007058,288,104,77,0,69,31,6,0,1
S01007059,433,156,157,10,29,50,23,4,4
S01007060,231,58,75,0,84,6,7,1,0
S01007061,346,125,164,0,5,2,36,6,8
S01007062,272,118,111,0,7,1,22,1,12
S01007063,282,107,107,0,36,4,23,3,2
S01007064,253,104,86,2,30,1,19,3,8
S01007065,249,114,91,0,19,4,18,1,2
S01007066,252,98,112,1,10,2,24,0,5
S01007067,254,115,117,0,4,1,12,1,4
S01007068,329,94,106,0,101,4,13,7,4
S01007069,338,97,132,2,53,17,23,9,5
S01007070,247,72,90,0,66,3,14,1,1
S01007071,356,102,147,0,88,4,13,0,2
S01007072,246,91,121,1,13,3,10,2,5
S01007073,358,172,153,0,4,16,3,3,7
S01007074,292,92,93,1,13,81,10,1,1
S01007075,305,77,97,0,48,58,17,6,2
S01007076,289,86,128,0,16,44,14,1,0
S01007077,311,136,102,1,47,7,10,1,7
S01007078,398,159,89,0,111,10,21,2,6
S01007079,522,150,137,1,82,105,32,9,6
S01007080,386,128,98,1,111,10,29,3,6
S01007081,370,88,110,0,118,12,33,4,5
S01007082,233,63,76,2,57,9,22,1,3
S01007083,451,99,53,2,222,22,43,7,3
S01007084,273,113,84,0,9,34,26,3,4
S01007085,366,96,106,4,45,16,86,8,5
S01007086,573,73,67,3,141,145,137,5,2
S01007087,439,84,73,1,62,107,96,6,10
S01007088,247,36,55,0,116,6,25,5,4
S01007089,217,109,88,0,5,0,9,3,3
S01007090,243,74,132,0,3,1,28,2,3
S01007091,280,26,131,0,10,104,7,1,1
S01007092,307,78,83,0,107,26,8,2,3
S01007093,417,198,174,0,9,3,25,2,6
S01007094,354,186,126,1,13,8,14,3,3
S01007095,209,89,94,0,3,1,19,2,1
S01007096,316,84,175,2,35,3,8,5,4
S01007097,188,68,99,0,2,1,10,3,5
S01007098,288,135,131,0,2,0,14,2,4
S01007099,338,112,164,2,42,0,11,3,4
S01007100,298,126,100,0,22,19,11,1,19
S01007101,342,80,81,0,151,3,20,6,1
S01007102,260,124,82,0,6,0,34,4,10
S01007103,330,163,93,0,62,4,3,1,4
S01007104,197,96,65,0,2,0,24,4,6
S01007105,238,112,70,0,38,2,12,0,4
S01007106,319,151,95,2,51,0,13,2,5
S01007107,256,124,106,1,6,0,11,2,6
S01007108,226,107,77,1,8,0,18,8,7
