,All people aged 16 and over,Single (never married or never registered a same-sex civil partnership),Married,In a registered same-sex civil partnership,Separated (but still legally married or still legally in a same-sex civil partnership),Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Widowed or surviving partner from a same-sex civil partnership
S01006678,935,402,345,3,29,110,46
S01006679,581,199,293,2,14,51,22
S01006680,668,295,205,0,37,87,44
S01006681,765,338,175,3,39,84,126
S01006682,662,290,221,0,32,89,30
S01006683,697,376,220,0,22,59,20
S01006684,605,328,163,2,19,73,20
S01006685,638,314,180,0,22,87,35
S01006686,521,209,200,0,18,56,38
S01006687,719,338,222,0,24,87,48
S01006688,851,224,391,0,28,81,127
S01006689,546,234,261,0,9,25,17
S01006690,533,265,165,2,12,52,37
S01006691,497,260,185,0,6,24,22
S01006692,669,275,289,0,11,50,44
S01006693,834,420,287,2,26,54,45
S01006694,735,215,309,0,19,85,107
S01006695,608,179,295,2,19,52,61
S01006696,695,279,263,0,19,70,64
S01006697,772,280,342,0,25,52,73
S01006698,608,277,158,0,22,79,72
S01006699,410,148,196,2,10,28,26
S01006700,754,277,327,2,21,69,58
S01006701,554,233,209,0,20,57,35
S01006702,635,185,313,2,23,46,66
S01006703,522,164,220,0,15,66,57
S01006704,481,203,164,0,23,54,37
S01006705,627,204,247,0,25,77,74
S01006706,495,182,216,1,15,48,33
S01006707,543,215,206,0,22,69,31
S01006708,668,193,338,0,12,43,82
S01006709,678,223,319,0,20,63,53
S01006710,753,167,388,0,23,85,90
S01006711,807,264,320,0,28,97,98
S01006712,454,110,243,2,11,35,53
S01006713,788,270,353,0,29,68,68
S01006714,589,191,271,0,13,58,56
S01006715,439,177,179,2,16,42,23
S01006716,496,190,220,0,11,55,20
S01006717,819,251,367,0,26,79,96
S01006718,519,173,247,0,18,33,48
S01006719,724,265,335,0,26,50,48
S01006720,477,137,232,0,23,59,26
S01006721,735,240,331,2,29,73,60
S01006722,619,214,279,0,29,56,41
S01006723,553,167,258,0,19,61,48
S01006724,687,316,239,2,39,67,24
S01006725,532,186,245,4,16,52,29
S01006726,985,490,319,0,50,105,21
S01006727,784,332,250,1,38,82,81
S01006728,588,212,232,0,23,70,51
S01006729,639,267,244,0,20,65,43
S01006730,579,179,306,0,21,53,20
S01006731,482,179,197,0,17,58,31
S01006732,858,297,433,2,11,59,56
S01006733,646,121,471,0,6,31,17
S01006734,756,179,456,0,14,58,49
S01006735,501,86,363,0,5,22,25
S01006736,772,208,475,0,24,53,12
S01006737,544,131,340,2,10,32,29
S01006738,714,356,200,2,39,95,22
S01006739,529,216,221,0,21,53,18
S01006740,637,213,293,2,22,55,52
S01006741,596,131,309,0,15,65,76
S01006742,388,103,188,0,9,45,43
S01006743,481,172,199,2,14,49,45
S01006744,524,206,220,0,12,54,32
S01006745,707,244,273,2,28,73,87
S01006746,712,223,325,0,27,55,82
S01006747,728,146,475,0,5,46,56
S01006748,772,181,484,0,9,46,52
S01006749,773,208,404,0,9,80,72
S01006750,627,182,299,0,19,45,82
S01006751,436,106,221,0,11,30,68
S01006752,596,148,305,0,26,53,64
S01006753,779,206,447,0,21,51,54
S01006754,808,199,508,0,14,44,43
S01006755,574,182,315,2,10,35,30
S01006756,616,244,256,0,12,37,67
S01006757,749,243,351,0,17,57,81
S01006758,599,189,344,0,18,33,15
S01006759,492,137,304,0,14,16,21
S01006760,421,155,219,0,8,31,8
S01006761,629,165,371,0,18,38,37
S01006762,718,129,422,0,6,51,110
S01006763,667,221,369,0,17,51,9
S01006764,665,251,339,3,10,44,18
S01006765,500,194,242,0,19,38,7
S01006766,505,161,283,0,7,35,19
S01006767,591,167,337,2,12,34,39
S01006768,507,128,345,0,7,12,15
S01006769,793,209,460,0,19,59,46
S01006770,567,120,382,0,5,33,27
S01006771,378,116,236,0,6,10,10
S01006772,728,216,426,0,12,43,31
S01006773,604,140,369,0,6,39,50
S01006774,540,130,374,0,8,17,11
S01006775,549,211,215,2,17,61,43
S01006776,447,107,202,1,15,50,72
S01006777,553,101,395,0,8,22,27
S01006778,566,137,340,2,7,42,38
S01006779,527,176,201,0,17,58,75
S01006780,498,151,248,0,14,47,38
S01006781,607,148,353,0,13,42,51
S01006782,624,209,318,0,18,49,30
S01006783,585,144,350,0,9,31,51
S01006784,548,201,269,2,12,36,28
S01006785,495,142,316,0,10,17,10
S01006786,672,193,408,2,11,24,34
S01006787,569,126,349,0,15,42,37
S01006788,662,193,345,2,26,54,42
S01006789,552,144,275,3,14,44,72
S01006790,766,182,408,0,24,51,101
S01006791,446,110,228,9,6,57,36
S01006792,416,98,248,7,10,37,16
S01006793,478,120,264,0,6,43,45
S01006794,499,125,267,0,19,41,47
S01006795,587,134,360,4,14,35,40
S01006796,436,132,250,0,18,14,22
S01006797,500,131,295,0,14,37,23
S01006798,493,107,325,0,12,29,20
S01006799,745,210,368,0,13,59,95
S01006800,687,146,465,0,15,28,33
S01006801,796,175,484,0,22,29,86
S01006802,556,165,279,0,12,44,56
S01006803,571,153,293,0,13,40,72
S01006804,578,136,362,4,11,33,32
S01006805,894,277,468,0,26,63,60
S01006806,849,212,514,2,14,57,50
S01006807,484,114,295,6,22,35,12
S01006808,507,99,339,0,10,28,31
S01006809,656,159,362,0,25,53,57
S01006810,704,183,399,0,21,61,40
S01006811,841,195,521,4,26,61,34
S01006812,601,178,347,0,19,36,21
S01006813,626,188,320,0,11,65,42
S01006814,624,146,395,0,17,40,26
S01006815,485,159,208,0,16,41,61
S01006816,586,148,338,1,13,35,51
S01006817,517,161,262,0,17,46,31
S01006818,580,140,375,2,7,29,27
S01006819,655,157,423,2,12,29,32
S01006820,383,111,228,2,10,20,12
S01006821,484,137,291,0,13,26,17
S01006822,609,165,373,0,10,40,21
S01006823,613,159,326,0,17,44,67
S01006824,652,275,226,0,28,82,41
S01006825,678,178,384,4,16,53,43
S01006826,785,177,475,0,14,40,79
S01006827,735,252,315,0,29,65,74
S01006828,799,281,352,0,31,75,60
S01006829,291,57,202,1,6,16,9
S01006830,627,190,330,0,18,52,37
S01006831,452,82,312,0,7,13,38
S01006832,862,227,493,0,17,57,68
S01006833,373,65,245,0,6,17,40
S01006834,375,105,225,0,8,29,8
S01006835,745,228,285,2,26,85,119
S01006836,372,110,207,2,18,27,8
S01006837,466,125,276,0,6,38,21
S01006838,510,117,310,0,17,41,25
S01006839,864,226,473,2,28,78,57
S01006840,793,160,550,1,14,40,28
S01006841,729,214,418,0,14,54,29
S01006842,680,162,427,0,16,40,35
S01006843,669,183,411,0,16,39,20
S01006844,587,199,268,0,19,59,42
S01006845,778,263,407,3,18,61,26
S01006846,474,140,261,2,11,37,23
S01006847,583,151,338,0,6,37,51
S01006848,787,214,473,2,18,52,28
S01006849,700,267,358,2,20,44,9
S01006850,767,264,371,0,24,75,33
S01006851,651,205,327,1,17,50,51
S01006852,492,127,298,2,15,23,27
S01006853,666,169,409,2,14,48,24
S01006854,707,150,454,0,6,62,35
S01006855,622,139,410,1,13,26,33
S01006856,518,115,333,4,9,32,25
S01006857,809,194,507,0,23,45,40
S01006858,518,120,346,2,6,21,23
S01006859,861,203,550,2,19,43,44
S01006860,465,129,227,0,10,43,56
S01006861,413,92,299,0,3,11,8
S01006862,575,135,333,3,9,45,50
S01006863,560,153,287,0,17,50,53
S01006864,311,113,136,0,15,37,10
S01006865,802,231,416,0,25,60,70
S01006866,455,96,304,0,5,15,35
S01006867,614,131,409,0,10,18,46
S01006868,709,180,393,0,21,52,63
S01006869,405,120,233,0,13,22,17
S01006870,397,95,244,0,8,25,25
S01006871,571,127,345,0,7,29,63
S01006872,537,109,374,0,5,17,32
S01006873,833,146,504,4,10,45,124
S01006874,490,142,286,0,6,37,19
S01006875,569,152,285,5,19,48,60
S01006876,795,238,459,0,17,45,36
S01006877,780,196,453,4,28,48,51
S01006878,587,138,323,0,11,64,51
S01006879,659,191,365,1,15,34,53
S01006880,470,102,316,0,11,21,20
S01006881,461,98,310,2,9,22,20
S01006882,336,84,153,2,7,24,66
S01006883,381,111,202,0,10,29,29
S01006884,727,179,398,0,19,49,82
S01006885,448,92,287,0,13,18,38
S01006886,617,131,389,0,12,53,32
S01006887,434,98,285,0,9,31,11
S01006888,624,169,381,0,14,39,21
S01006889,659,194,333,0,20,69,43
S01006890,521,128,322,0,13,31,27
S01006891,797,229,406,0,18,56,88
S01006892,493,153,228,0,23,61,28
S01006893,417,119,253,0,12,16,17
S01006894,820,205,453,0,14,67,81
S01006895,450,200,161,0,22,29,38
S01006896,681,203,362,0,21,48,47
S01006897,604,186,327,0,23,40,28
S01006898,613,194,318,0,15,51,35
S01006899,490,146,281,0,13,23,27
S01006900,504,161,272,0,13,29,29
S01006901,517,187,227,0,17,47,39
S01006902,540,169,287,0,16,38,30
S01006903,672,217,297,0,19,65,74
S01006904,604,190,252,0,23,57,82
S01006905,763,186,422,4,12,55,84
S01006906,732,208,334,3,26,62,99
S01006907,534,213,220,2,17,41,41
S01006908,713,272,264,0,24,71,82
S01006909,578,125,394,2,10,29,18
S01006910,701,178,411,1,27,57,27
S01006911,451,157,249,0,12,31,2
S01006912,378,101,231,2,8,21,15
S01006913,385,104,230,0,11,29,11
S01006914,590,150,387,0,13,22,18
S01006915,640,150,417,2,15,33,23
S01006916,397,138,211,0,16,27,5
S01006917,643,129,434,1,28,45,6
S01006918,376,95,234,0,9,16,22
S01006919,418,111,268,0,3,19,17
S01006920,409,120,207,0,12,33,37
S01006921,560,102,412,0,7,29,10
S01006922,407,101,252,0,9,29,16
S01006923,667,135,425,2,9,25,71
S01006924,439,108,278,0,11,24,18
S01006925,410,95,252,0,11,24,28
S01006926,538,108,383,0,14,20,13
S01006927,707,183,464,0,15,39,6
S01006928,825,242,461,0,20,59,43
S01006929,647,147,443,0,11,25,21
S01006930,762,189,501,0,8,32,32
S01006931,318,81,182,0,5,33,17
S01006932,433,143,252,0,5,28,5
S01006933,481,128,310,0,6,26,11
S01006934,527,130,283,0,16,34,64
S01006935,598,131,381,0,7,35,44
S01006936,521,128,295,0,7,50,41
S01006937,613,183,335,2,15,40,38
S01006938,456,113,247,1,11,36,48
S01006939,512,117,331,0,11,31,22
S01006940,787,233,460,0,14,42,38
S01006941,490,137,268,0,13,37,35
S01006942,842,203,545,0,18,39,37
S01006943,442,81,326,0,8,22,5
S01006944,621,229,310,0,16,55,11
S01006945,427,93,289,0,5,23,17
S01006946,650,203,356,6,20,37,28
S01006947,621,162,381,0,12,48,18
S01006948,732,184,441,0,13,37,57
S01006949,505,103,347,0,13,30,12
S01006950,382,135,198,0,10,36,3
S01006951,384,97,222,0,10,31,24
S01006952,712,177,412,2,20,62,39
S01006953,629,158,398,0,18,34,21
S01006954,665,166,430,0,11,30,28
S01006955,484,165,226,0,15,50,28
S01006956,815,231,493,2,18,54,17
S01006957,847,215,508,0,18,57,49
S01006958,790,145,484,0,19,50,92
S01006959,625,199,259,0,12,60,95
S01006960,677,156,452,0,15,41,13
S01006961,673,150,450,0,16,48,9
S01006962,778,197,467,0,12,36,66
S01006963,572,153,337,2,23,26,31
S01006964,638,236,290,0,18,64,30
S01006965,434,117,247,0,9,24,37
S01006966,489,153,212,2,20,54,48
S01006967,507,132,311,0,12,35,17
S01006968,434,106,250,0,15,33,30
S01006969,826,218,443,0,17,51,97
S01006970,568,145,374,0,7,23,19
S01006971,453,144,194,0,16,39,60
S01006972,422,123,250,0,8,22,19
S01006973,461,107,285,0,18,26,25
S01006974,814,203,509,0,25,42,35
S01006975,777,202,458,2,20,70,25
S01006976,375,86,243,4,10,21,11
S01006977,652,168,398,0,25,44,17
S01006978,718,183,420,1,16,57,41
S01006979,699,169,394,0,14,58,64
S01006980,687,166,453,0,13,25,30
S01006981,649,180,383,0,19,44,23
S01006982,683,188,383,0,25,45,42
S01006983,581,151,340,0,22,40,28
S01006984,566,156,337,0,19,33,21
S01006985,839,209,477,0,24,68,61
S01006986,514,145,269,2,15,35,48
S01006987,546,131,307,2,16,43,47
S01006988,455,123,265,0,16,39,12
S01006989,794,173,532,0,18,38,33
S01006990,657,161,434,0,15,38,9
S01006991,371,99,176,0,11,38,47
S01006992,501,113,338,0,7,30,13
S01006993,433,105,270,2,18,25,13
S01006994,495,146,279,1,22,32,15
S01006995,673,193,396,0,26,37,21
S01006996,604,176,342,0,15,29,42
S01006997,603,148,387,0,12,31,25
S01006998,899,238,520,8,26,62,45
S01006999,724,186,445,1,15,37,40
S01007000,766,208,425,0,21,52,60
S01007001,775,188,425,2,22,58,80
S01007002,450,147,241,0,12,25,25
S01007003,425,107,263,0,10,26,19
S01007004,588,148,353,0,18,43,26
S01007005,729,169,483,0,10,42,25
S01007006,735,198,436,0,10,52,39
S01007007,672,140,420,0,18,52,42
S01007008,870,254,392,0,30,83,111
S01007009,874,274,398,0,29,91,82
S01007010,720,158,365,0,14,54,129
S01007011,730,259,272,1,29,78,91
S01007012,571,189,254,0,21,52,55
S01007013,458,97,297,0,9,29,26
S01007014,806,198,489,4,21,48,46
S01007015,505,126,319,0,11,31,18
S01007016,478,123,310,0,12,24,9
S01007017,829,236,390,0,24,78,101
S01007018,793,152,520,0,15,44,62
S01007019,574,161,300,1,14,41,57
S01007020,675,197,302,0,31,55,90
S01007021,774,215,391,2,23,49,94
S01007022,391,108,207,0,14,29,33
S01007023,394,92,234,0,14,35,19
S01007024,877,186,543,0,18,43,87
S01007025,708,207,323,0,32,68,78
S01007026,774,216,381,0,16,50,111
S01007027,880,212,481,6,17,77,87
S01007028,614,135,390,0,11,46,32
S01007029,458,98,282,2,13,36,27
S01007030,663,195,369,0,8,37,54
S01007031,517,163,244,2,22,41,45
S01007032,833,280,347,0,37,83,86
S01007033,603,190,288,0,19,51,55
S01007034,494,167,226,1,15,42,43
S01007035,643,196,302,1,20,57,67
S01007036,800,187,448,0,21,50,94
S01007037,830,238,408,0,19,84,81
S01007038,613,226,266,10,23,40,48
S01007039,685,212,370,0,19,40,44
S01007040,537,157,252,1,21,53,53
S01007041,628,183,293,0,23,65,64
S01007042,598,159,325,2,18,33,61
S01007043,835,186,512,6,28,49,54
S01007044,581,139,341,0,7,42,52
S01007045,683,152,426,2,11,49,43
S01007046,509,144,280,0,10,48,27
S01007047,550,120,364,0,8,35,23
S01007048,775,221,449,2,16,48,39
S01007049,767,228,379,8,19,79,54
S01007050,547,150,276,2,18,44,57
S01007051,614,190,322,0,14,42,46
S01007052,473,125,276,0,10,33,29
S01007053,402,98,254,0,5,26,19
S01007054,803,237,415,0,19,49,83
S01007055,422,117,251,0,7,27,20
S01007056,528,144,310,0,12,28,34
S01007057,459,101,275,0,4,25,54
S01007058,502,120,256,0,19,43,64
S01007059,813,225,443,0,23,67,55
S01007060,485,193,212,0,16,42,22
S01007061,739,188,461,2,21,47,20
S01007062,565,145,362,0,9,30,19
S01007063,549,138,330,0,9,30,42
S01007064,528,119,337,2,7,34,29
S01007065,474,108,277,0,15,43,31
S01007066,537,138,326,0,13,40,20
S01007067,489,136,258,0,14,43,38
S01007068,625,156,326,0,7,74,62
S01007069,644,198,347,0,25,49,25
S01007070,429,117,212,1,16,43,40
S01007071,688,183,399,0,18,49,39
S01007072,513,115,322,0,18,39,19
S01007073,903,286,464,2,21,67,63
S01007074,549,162,286,0,18,47,36
S01007075,585,188,274,0,26,52,45
S01007076,599,171,335,2,14,45,32
S01007077,594,139,343,0,11,50,51
S01007078,717,229,346,0,21,58,63
S01007079,858,275,352,0,34,102,95
S01007080,669,194,311,0,26,67,71
S01007081,734,288,293,0,33,69,51
S01007082,439,160,174,0,18,52,35
S01007083,794,322,278,2,26,91,75
S01007084,557,137,279,0,12,40,89
S01007085,684,256,287,0,16,97,28
S01007086,917,437,259,6,47,125,43
S01007087,753,312,259,0,33,73,76
S01007088,437,174,149,0,24,65,25
S01007089,423,81,296,0,6,17,23
S01007090,451,164,219,1,9,37,21
S01007091,587,244,260,0,27,44,12
S01007092,537,152,252,0,19,46,68
S01007093,853,182,533,1,8,56,73
S01007094,759,166,490,1,13,42,47
S01007095,447,116,277,2,7,24,21
S01007096,645,186,388,2,11,36,22
S01007097,396,93,255,0,8,25,15
S01007098,640,145,424,0,9,35,27
S01007099,694,160,434,0,16,45,39
S01007100,601,154,351,3,10,45,38
S01007101,706,196,356,0,20,56,78
S01007102,590,146,359,1,21,40,23
S01007103,678,184,374,0,15,47,58
S01007104,398,83,264,0,6,21,24
S01007105,447,121,242,0,12,30,42
S01007106,615,152,337,0,18,58,50
S01007107,543,120,359,0,8,32,24
S01007108,468,120,291,0,6,27,24
S01007109,668,191,332,2,23,68,52
S01007110,608,177,310,0,15,58,48
S01007111,435,101,262,0,4,40,28
S01007112,475,110,313,0,4,21,27
S01007113,488,131,263,0,9,27,58
S01007114,745,197,426,0,24,39,59
S01007115,584,131,330,0,11,36,76
S01007116,732,174,512,0,10,20,16
S01007117,398,84,274,0,4,19,17
S01007118,531,216,200,0,24,70,21
S01007119,658,215,310,0,19,69,45
S01007120,907,344,401,1,33,75,53
S01007121,466,138,167,0,18,47,96
S01007122,506,168,239,0,14,51,34
S01007123,566,174,264,0,16,44,68
S01007124,749,231,394,0,18,53,53
S01007125,676,220,332,0,19,49,56
S01007126,723,285,267,2,33,96,40
S01007127,833,336,293,1,33,116,54
S01007128,696,216,308,0,19,73,80
S01007129,739,157,485,5,18,42,32
S01007130,530,148,288,0,8,33,53
S01007131,655,135,398,0,14,44,64
S01007132,590,124,375,2,20,30,39
S01007133,554,136,340,0,17,36,25
S01007134,611,156,344,2,18,45,46
S01007135,437,114,258,0,4,33,28
S01007136,403,70,290,0,15,16,12
S01007137,519,103,367,3,9,32,5
S01007138,477,94,302,0,10,48,23
S01007139,627,127,402,2,13,52,31
S01007140,826,187,509,0,24,51,55
S01007141,541,124,350,2,7,28,30
S01007142,453,103,271,0,11,26,42
S01007143,435,85,317,0,14,17,2
S01007144,614,160,342,0,15,58,39
S01007145,773,171,461,0,13,43,85
S01007146,606,134,337,4,17,53,61
S01007147,607,129,383,0,12,41,42
S01007148,444,101,295,0,11,20,17
S01007149,472,85,326,0,7,24,30
S01007150,697,130,407,0,11,27,122
S01007151,714,158,434,1,17,43,61
S01007152,476,110,265,0,12,29,60
S01007153,526,96,326,1,15,45,43
S01007154,712,198,291,2,18,65,138
S01007155,541,116,302,0,12,46,65
S01007156,608,164,345,0,12,53,34
S01007157,503,144,252,0,16,63,28
S01007158,740,195,433,1,16,63,32
S01007159,687,249,267,0,37,77,57
S01007160,676,217,289,0,32,80,58
S01007161,576,179,287,2,15,44,49
S01007162,422,156,145,2,23,50,46
S01007163,745,170,417,2,22,67,67
S01007164,503,135,270,2,11,31,54
S01007165,707,155,399,0,22,46,85
S01007166,562,111,317,0,23,56,55
S01007167,679,145,445,0,14,39,36
S01007168,842,178,551,0,13,37,63
S01007169,636,148,351,0,15,49,73
S01007170,542,144,328,0,19,26,25
S01007171,742,247,378,0,18,56,43
S01007172,701,141,451,0,13,52,44
S01007173,670,163,419,0,19,46,23
S01007174,681,218,350,4,12,36,61
S01007175,548,93,334,2,16,46,57
S01007176,557,139,324,0,20,40,34
S01007177,508,189,216,0,9,56,38
S01007178,837,334,310,0,39,97,57
S01007179,870,195,541,2,7,40,85
S01007180,634,113,394,4,17,34,72
S01007181,704,193,385,0,17,46,63
S01007182,907,273,398,0,30,110,96
S01007183,939,292,403,2,34,104,104
S01007184,916,377,263,1,51,122,102
S01007185,692,276,211,0,30,91,84
S01007186,494,233,114,1,23,83,40
S01007187,707,261,215,2,46,115,68
S01007188,515,205,186,1,17,71,35
S01007189,710,217,266,0,17,88,122
S01007190,711,153,427,0,8,46,77
S01007191,511,176,231,2,22,37,43
S01007192,501,194,193,0,17,52,45
S01007193,608,214,277,0,11,63,43
S01007194,463,196,159,0,18,56,34
S01007195,436,152,197,0,19,44,24
S01007196,540,206,209,2,23,78,22
S01007197,457,227,120,0,17,72,21
S01007198,402,165,161,3,15,36,22
S01007199,601,248,215,0,32,78,28
S01007200,715,238,316,1,17,91,52
S01007201,625,195,313,0,16,56,45
S01007202,619,209,293,0,11,63,43
S01007203,518,145,302,0,10,36,25
S01007204,825,208,452,4,36,82,43
S01007205,583,166,341,4,8,39,25
S01007206,331,100,126,0,14,39,52
S01007207,754,202,401,0,19,65,67
S01007208,808,341,249,0,37,110,71
S01007209,671,254,219,2,26,76,94
S01007210,628,265,196,0,25,82,60
S01007211,805,280,288,2,41,108,86
S01007212,456,146,226,0,15,44,25
S01007213,789,228,360,2,24,75,100
S01007214,656,237,210,2,34,84,89
S01007215,650,225,275,0,19,63,68
S01007216,616,175,314,0,15,41,71
S01007217,787,268,317,0,22,110,70
S01007218,722,143,495,0,9,30,45
S01007219,675,195,316,2,31,75,56
S01007220,556,168,261,4,18,66,39
S01007221,525,111,341,0,11,24,38
S01007222,640,169,368,2,21,50,30
S01007223,416,93,268,0,10,19,26
S01007224,491,103,288,0,8,39,53
S01007225,721,182,429,2,14,51,43
S01007226,669,193,379,0,14,43,40
S01007227,780,190,422,2,25,85,56
S01007228,517,137,293,0,17,48,22
S01007229,915,206,567,0,31,70,41
S01007230,588,230,216,3,28,61,50
S01007231,576,192,198,0,32,79,75
S01007232,601,245,202,0,23,77,54
S01007233,647,204,322,2,19,64,36
S01007234,505,140,236,2,19,41,67
S01007235,659,244,255,0,30,61,69
S01007236,521,177,211,0,22,56,55
