,All people aged 16 and over in households,Living in a couple: Married or in a registered same-sex civil partnership,Living in a couple: Cohabiting,Not living in a couple: Single (never married or never registered a same-sex civil partnership),Not living in a couple: Married or in a registered same-sex civil partnership,Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership),Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Not living in a couple: Widowed or surviving partner from a same-sex civil partnership
S01006592,607,160,140,259,11,8,18,11
S01006593,681,168,146,295,12,15,30,15
S01006594,508,126,84,195,11,6,38,48
S01006595,834,192,160,380,20,18,47,17
S01006596,595,212,122,204,10,11,20,16
S01006597,494,46,140,247,9,12,31,9
S01006598,805,414,108,202,22,8,24,27
S01006599,749,194,104,278,12,23,77,61
S01006600,936,344,128,274,19,22,63,86
S01006601,899,288,147,332,15,25,60,32
S01006602,709,340,78,158,17,6,37,73
S01006603,675,256,104,163,4,20,55,73
S01006604,587,290,64,146,1,12,31,43
S01006605,658,214,92,182,4,18,66,82
S01006606,719,366,56,167,6,11,45,68
S01006607,767,338,108,202,1,13,47,58
S01006608,598,354,58,111,9,12,17,37
S01006609,886,374,118,216,9,21,57,91
S01006610,386,152,46,95,4,7,33,49
S01006611,772,324,94,205,5,25,47,72
S01006612,741,366,90,180,13,12,28,52
S01006613,493,278,78,95,4,11,16,11
S01006614,491,290,82,73,4,13,22,7
S01006615,563,352,104,76,5,5,13,8
S01006616,665,324,118,172,4,16,21,10
S01006617,574,294,64,126,5,10,32,43
S01006618,469,264,56,90,3,5,25,26
S01006619,744,388,98,164,5,11,40,38
S01006620,738,392,88,150,4,15,37,52
S01006621,428,226,66,88,0,8,22,18
S01006622,549,282,90,128,1,11,25,12
S01006623,610,214,94,183,12,14,50,43
S01006624,739,202,118,293,24,14,64,24
S01006625,547,236,60,157,14,19,28,33
S01006626,614,174,124,195,6,15,52,48
S01006627,757,172,135,305,22,30,67,26
S01006628,978,216,220,378,37,28,80,19
S01006629,571,192,84,188,6,19,50,32
S01006630,489,178,64,153,3,14,44,33
S01006631,776,240,130,245,4,23,74,60
S01006632,658,180,140,210,13,17,71,27
S01006633,529,188,68,174,5,16,45,33
S01006634,465,122,70,179,6,20,48,20
S01006635,522,230,64,134,11,12,44,27
S01006636,641,198,134,178,9,23,61,38
S01006637,652,154,94,280,29,17,42,36
S01006638,795,132,146,417,7,18,44,31
S01006639,900,126,146,448,20,16,71,73
S01006640,684,108,106,423,14,7,18,8
S01006641,938,164,158,517,12,22,53,12
S01006642,790,128,126,462,7,12,36,19
S01006643,709,92,112,455,11,9,28,2
S01006644,915,138,172,503,12,27,42,21
S01006645,577,128,104,237,2,21,56,29
S01006646,526,68,62,330,13,8,15,30
S01006647,550,122,77,243,8,12,63,25
S01006648,1006,154,194,563,14,26,48,7
S01006649,892,148,186,455,8,24,61,10
S01006650,813,144,125,468,11,12,39,14
S01006651,612,112,110,293,18,6,46,27
S01006652,516,76,110,281,7,10,26,6
S01006653,513,146,90,223,7,4,29,14
S01006654,788,180,122,326,12,23,66,59
S01006655,550,182,96,191,13,16,35,17
S01006656,845,176,154,412,10,17,57,19
S01006657,482,86,113,220,11,14,31,7
S01006658,868,178,134,454,12,26,38,26
S01006659,594,126,70,340,6,9,16,27
S01006660,425,71,82,220,12,12,21,7
S01006661,590,160,64,313,6,3,20,24
S01006662,503,112,64,271,7,7,37,5
S01006663,522,76,64,345,5,6,14,12
S01006664,463,92,70,266,1,4,15,15
S01006665,553,102,76,316,9,11,15,24
S01006666,742,208,98,218,12,37,92,77
S01006667,652,148,104,272,12,20,75,21
S01006668,679,104,78,423,13,17,25,19
S01006669,674,190,94,221,15,16,80,58
S01006670,505,108,124,176,7,8,41,41
S01006671,401,136,38,163,10,8,27,19
S01006672,627,134,108,246,12,24,63,40
S01006673,617,170,90,269,17,16,41,14
S01006674,779,234,94,220,7,18,114,92
S01006675,530,152,86,179,18,27,58,10
S01006676,606,224,64,198,13,15,50,42
S01006677,621,168,84,258,10,19,56,26
S01006678,935,328,137,300,15,25,85,45
S01006679,581,294,74,146,1,10,34,22
S01006680,668,192,118,203,12,29,72,42
S01006681,659,148,118,227,8,32,59,67
S01006682,662,200,85,229,16,26,77,29
S01006683,697,204,108,284,11,21,50,19
S01006684,605,158,88,253,5,16,65,20
S01006685,638,172,90,253,9,15,64,35
S01006686,521,196,80,144,3,15,46,37
S01006687,719,220,120,246,5,18,63,47
S01006688,849,382,80,173,7,21,61,125
S01006689,546,252,100,153,9,6,11,15
S01006690,533,158,68,210,9,11,40,37
S01006691,497,178,80,188,5,4,20,22
S01006692,664,280,68,228,5,8,32,43
S01006693,820,264,148,291,12,23,42,40
S01006694,735,304,66,168,6,15,71,105
S01006695,608,290,70,132,5,14,38,59
S01006696,695,244,72,227,17,18,56,61
S01006697,772,332,62,232,10,25,42,69
S01006698,608,146,104,189,11,21,67,70
S01006699,410,184,40,117,14,10,20,25
S01006700,754,318,64,227,12,17,58,58
S01006701,554,208,80,168,3,15,46,34
S01006702,635,310,86,123,7,18,32,59
S01006703,522,210,72,117,7,13,48,55
S01006704,481,162,64,149,4,19,47,36
S01006705,627,250,78,158,1,17,51,72
S01006706,495,214,64,136,1,13,35,32
S01006707,543,200,86,153,6,16,51,31
S01006708,668,336,58,153,3,7,30,81
S01006709,678,314,68,172,5,17,51,51
S01006710,753,380,79,124,9,16,57,88
S01006711,807,312,98,189,6,25,79,98
S01006712,454,244,30,85,1,8,33,53
S01006713,780,352,96,189,9,19,49,66
S01006714,570,266,64,132,2,10,44,52
S01006715,439,174,64,137,5,10,28,21
S01006716,496,218,48,159,1,9,41,20
S01006717,818,358,98,181,5,22,60,94
S01006718,519,240,46,136,6,16,27,48
S01006719,724,336,98,184,3,20,36,47
S01006720,477,236,48,106,1,14,46,26
S01006721,735,328,78,187,2,25,57,58
S01006722,619,274,60,170,4,23,49,39
S01006723,535,252,46,126,6,16,42,47
S01006724,687,236,108,245,5,27,45,21
S01006725,522,242,76,129,5,11,36,23
S01006726,985,298,154,374,13,42,83,21
S01006727,725,234,112,237,9,29,61,43
S01006728,588,230,82,151,3,20,51,51
S01006729,639,238,62,218,3,20,55,43
S01006730,579,302,80,124,4,11,39,19
S01006731,482,194,66,131,5,9,46,31
S01006732,733,418,100,153,12,8,24,18
S01006733,646,472,34,95,0,4,24,17
S01006734,690,436,82,109,3,9,29,22
S01006735,501,358,30,67,3,4,14,25
S01006736,772,468,140,103,6,15,30,10
S01006737,540,332,54,86,10,10,19,29
S01006738,713,188,166,223,13,29,73,21
S01006739,529,210,110,129,9,18,35,18
S01006740,637,288,82,161,2,17,35,52
S01006741,596,300,66,95,6,10,47,72
S01006742,388,182,52,65,6,9,31,43
S01006743,481,196,86,114,4,13,26,42
S01006744,524,212,96,131,6,8,39,32
S01006745,707,264,108,170,4,24,54,83
S01006746,672,314,80,161,4,19,37,57
S01006747,728,472,48,121,3,3,27,54
S01006748,761,468,66,127,11,7,31,51
S01006749,773,394,90,149,8,8,56,68
S01006750,563,284,56,122,12,13,26,50
S01006751,436,216,41,80,4,8,21,66
S01006752,596,298,46,123,8,19,40,62
S01006753,779,434,80,153,13,17,31,51
S01006754,800,496,68,144,9,10,33,40
S01006755,566,304,82,120,12,6,14,28
S01006756,535,232,104,150,11,11,24,3
S01006757,649,328,88,163,5,12,33,20
S01006758,599,348,58,142,0,13,23,15
S01006759,492,298,46,100,4,11,13,20
S01006760,421,216,68,99,0,8,23,7
S01006761,629,368,72,115,3,10,26,35
S01006762,718,414,56,98,5,6,32,107
S01006763,667,360,106,138,9,17,29,8
S01006764,665,338,98,173,0,7,33,16
S01006765,500,246,70,134,2,10,31,7
S01006766,505,280,66,115,3,2,22,17
S01006767,591,332,46,130,7,12,29,35
S01006768,507,340,40,100,3,5,6,13
S01006769,793,456,66,164,5,18,38,46
S01006770,567,376,52,87,6,4,18,24
S01006771,378,234,22,101,0,6,5,10
S01006772,728,414,78,154,10,11,31,30
S01006773,542,346,34,114,2,5,25,16
S01006774,540,368,18,119,6,7,12,10
S01006775,549,212,78,159,3,16,39,42
S01006776,447,196,34,87,8,14,36,72
S01006777,553,386,32,78,7,7,16,27
S01006778,566,336,42,121,3,4,25,35
S01006779,527,194,48,143,7,16,46,73
S01006780,498,242,58,111,6,14,29,38
S01006781,607,348,52,122,3,8,25,49
S01006782,624,314,74,158,2,17,32,27
S01006783,585,344,54,104,5,6,22,50
S01006784,540,264,70,146,4,9,20,27
S01006785,495,316,46,106,2,5,10,10
S01006786,672,402,70,135,5,8,19,33
S01006787,569,346,52,100,3,12,24,32
S01006788,588,334,80,103,2,18,39,12
S01006789,516,258,66,96,8,7,27,54
S01006790,755,392,64,139,5,20,38,97
S01006791,441,226,60,75,3,5,38,34
S01006792,407,244,56,61,3,6,22,15
S01006793,433,244,42,66,5,5,28,43
S01006794,499,260,40,96,6,15,36,46
S01006795,575,356,56,82,5,12,25,39
S01006796,436,248,88,59,2,13,5,21
S01006797,485,290,68,79,3,10,19,16
S01006798,488,316,56,74,3,6,13,20
S01006799,717,354,90,139,12,8,41,73
S01006800,687,458,36,127,5,10,19,32
S01006801,715,460,100,100,4,13,12,26
S01006802,556,278,76,115,1,9,22,55
S01006803,571,288,68,110,4,10,23,68
S01006804,578,362,74,86,1,9,16,30
S01006805,894,458,100,210,8,17,41,60
S01006806,849,510,92,152,3,12,32,48
S01006807,484,296,70,70,5,14,18,11
S01006808,505,332,38,78,4,7,17,29
S01006809,653,354,66,119,8,18,32,56
S01006810,704,384,78,133,11,17,44,37
S01006811,841,510,120,117,9,17,34,34
S01006812,586,342,84,105,0,14,21,20
S01006813,626,314,88,134,4,9,37,40
S01006814,620,396,54,115,1,12,16,26
S01006815,485,204,60,113,6,10,31,61
S01006816,566,328,64,102,5,8,23,36
S01006817,517,254,90,101,6,13,26,27
S01006818,580,370,44,109,5,6,19,27
S01006819,653,418,44,127,5,10,17,32
S01006820,383,230,52,75,2,5,9,10
S01006821,483,286,50,93,5,11,21,17
S01006822,609,368,62,127,5,8,20,19
S01006823,557,312,52,104,8,13,35,33
S01006824,643,222,106,195,2,18,60,40
S01006825,678,382,64,137,5,15,39,36
S01006826,718,464,44,132,1,11,27,39
S01006827,731,308,130,154,7,16,49,67
S01006828,797,334,116,203,9,24,57,54
S01006829,291,204,36,35,3,1,4,8
S01006830,627,326,56,153,6,14,35,37
S01006831,452,312,16,73,0,6,10,35
S01006832,836,482,72,168,7,13,40,54
S01006833,356,238,20,55,5,5,11,22
S01006834,375,216,46,84,7,5,10,7
S01006835,743,280,94,159,6,22,63,119
S01006836,372,204,52,65,7,15,21,8
S01006837,466,270,46,92,5,5,28,20
S01006838,510,312,40,97,3,9,25,24
S01006839,864,468,98,170,4,22,49,53
S01006840,793,548,50,132,3,9,23,28
S01006841,729,412,90,151,4,14,29,29
S01006842,678,424,52,135,2,11,23,31
S01006843,669,406,74,128,7,8,27,19
S01006844,587,262,82,140,5,18,40,40
S01006845,774,404,110,183,6,15,33,23
S01006846,474,260,60,96,1,10,24,23
S01006847,530,328,50,110,2,3,18,19
S01006848,733,454,76,123,12,14,28,26
S01006849,700,350,188,109,4,16,24,9
S01006850,767,366,114,195,3,19,44,26
S01006851,651,319,74,148,6,15,40,49
S01006852,492,292,52,92,5,8,19,24
S01006853,656,398,62,124,8,11,29,24
S01006854,707,446,55,121,6,5,42,32
S01006855,622,406,58,99,5,12,10,32
S01006856,518,332,56,82,0,4,20,24
S01006857,809,494,76,147,13,16,25,38
S01006858,518,342,44,93,5,4,7,23
S01006859,857,542,58,154,10,15,36,42
S01006860,465,218,40,102,8,8,35,54
S01006861,413,290,40,60,8,2,6,7
S01006862,575,326,54,97,7,5,36,50
S01006863,560,280,62,114,5,13,34,52
S01006864,311,132,66,69,5,9,21,9
S01006865,766,404,108,143,8,11,39,53
S01006866,455,302,32,73,1,4,9,34
S01006867,606,404,18,111,5,9,14,45
S01006868,709,394,66,139,3,14,35,58
S01006869,400,226,38,90,6,9,14,17
S01006870,395,240,26,82,2,4,16,25
S01006871,532,338,44,95,4,5,15,31
S01006872,532,368,48,71,5,5,7,28
S01006873,782,488,50,110,10,9,29,86
S01006874,472,272,52,106,7,4,21,10
S01006875,565,274,74,103,7,14,36,57
S01006876,795,450,88,172,8,14,28,35
S01006877,753,442,102,132,9,19,19,30
S01006878,585,318,70,97,1,8,41,50
S01006879,610,348,70,138,6,8,16,24
S01006880,470,314,52,64,2,9,10,19
S01006881,461,312,46,65,0,8,11,19
S01006882,336,148,30,67,5,6,14,66
S01006883,381,198,32,86,4,9,23,29
S01006884,727,388,65,143,9,15,30,77
S01006885,437,284,32,65,3,8,11,34
S01006886,617,382,58,94,4,11,36,32
S01006887,434,282,54,66,3,6,14,9
S01006888,624,378,72,120,3,9,23,19
S01006889,659,324,90,136,7,13,48,41
S01006890,519,326,54,86,0,7,20,26
S01006891,759,396,90,164,5,11,28,65
S01006892,493,222,76,101,6,18,44,26
S01006893,417,252,28,100,0,12,9,16
S01006894,816,450,68,162,2,14,43,77
S01006895,450,162,76,136,0,18,22,36
S01006896,669,354,84,131,6,18,31,45
S01006897,604,326,88,127,4,16,19,24
S01006898,613,312,82,141,2,12,30,34
S01006899,490,280,70,96,0,6,12,26
S01006900,504,270,74,104,2,10,15,29
S01006901,517,220,76,135,8,9,30,39
S01006902,540,282,48,135,6,12,29,28
S01006903,632,286,104,138,3,14,39,48
S01006904,572,238,84,128,5,18,37,62
S01006905,750,414,76,132,7,8,32,81
S01006906,732,332,66,163,4,20,50,97
S01006907,530,210,109,122,10,12,31,36
S01006908,713,246,112,193,19,17,46,80
S01006909,578,388,80,73,6,5,12,14
S01006910,701,406,94,116,6,18,35,26
S01006911,451,242,114,64,6,9,14,2
S01006912,369,224,38,72,7,8,9,11
S01006913,385,228,62,64,1,3,17,10
S01006914,585,384,50,104,3,10,16,18
S01006915,640,416,66,110,2,7,20,19
S01006916,395,210,58,88,2,14,19,4
S01006917,643,432,98,65,5,19,19,5
S01006918,376,234,56,52,0,8,5,21
S01006919,418,266,38,77,2,3,15,17
S01006920,409,206,48,81,1,12,24,37
S01006921,560,412,52,71,1,3,13,8
S01006922,407,244,54,69,7,5,12,16
S01006923,650,420,46,98,6,4,17,59
S01006924,439,272,46,83,2,9,10,17
S01006925,410,248,44,69,2,6,15,26
S01006926,538,370,64,67,5,10,9,13
S01006927,707,456,156,66,1,7,17,4
S01006928,825,446,94,167,17,16,43,42
S01006929,647,432,36,120,9,10,19,21
S01006930,762,490,58,152,6,7,18,31
S01006931,318,180,38,60,2,5,16,17
S01006932,433,250,58,104,2,3,14,2
S01006933,481,310,30,108,2,3,18,10
S01006934,465,274,48,80,3,8,20,32
S01006935,598,378,32,110,4,5,25,44
S01006936,521,296,42,98,1,3,40,41
S01006937,613,330,60,136,6,12,34,35
S01006938,456,244,52,71,3,8,30,48
S01006939,512,330,40,95,1,9,15,22
S01006940,787,448,68,181,10,14,30,36
S01006941,490,266,66,89,3,9,24,33
S01006942,842,542,64,165,1,13,20,37
S01006943,442,324,44,53,2,6,8,5
S01006944,621,306,158,111,1,9,27,9
S01006945,427,282,30,79,3,5,11,17
S01006946,650,356,106,128,1,13,18,28
S01006947,621,380,74,104,1,8,36,18
S01006948,732,432,80,121,9,11,23,56
S01006949,505,344,54,72,3,9,12,11
S01006950,382,192,126,38,4,5,14,3
S01006951,384,220,38,67,2,10,25,22
S01006952,712,408,64,145,4,18,37,36
S01006953,629,394,72,113,3,16,12,19
S01006954,665,428,82,111,1,5,15,23
S01006955,484,228,80,101,0,9,39,27
S01006956,815,486,124,137,5,14,32,17
S01006957,817,504,104,143,4,12,23,27
S01006958,785,480,62,101,4,15,37,86
S01006959,583,248,60,139,5,10,42,79
S01006960,671,448,60,110,4,11,26,12
S01006961,673,448,108,81,3,7,19,7
S01006962,778,460,94,127,3,7,24,63
S01006963,569,342,34,124,1,16,21,31
S01006964,636,292,96,163,1,11,45,28
S01006965,421,250,24,95,0,6,20,26
S01006966,489,212,62,113,2,14,42,44
S01006967,507,310,52,101,1,10,17,16
S01006968,434,250,48,70,0,12,24,30
S01006969,768,426,72,156,3,13,38,60
S01006970,564,372,54,99,0,5,15,19
S01006971,453,192,52,110,2,12,28,57
S01006972,422,246,46,93,4,7,8,18
S01006973,458,282,38,79,3,12,19,25
S01006974,811,506,76,146,3,19,29,32
S01006975,777,450,120,131,8,14,30,24
S01006976,375,242,38,63,5,7,11,9
S01006977,652,392,72,126,4,20,23,15
S01006978,718,412,80,140,5,12,31,38
S01006979,699,390,86,114,4,10,31,64
S01006980,687,436,60,127,12,9,16,27
S01006981,649,376,94,119,6,12,24,18
S01006982,683,374,102,114,4,22,27,40
S01006983,581,334,76,104,4,16,20,27
S01006984,566,328,68,108,8,14,19,21
S01006985,837,474,92,152,2,15,43,59
S01006986,486,268,78,83,2,9,23,23
S01006987,546,302,52,93,7,14,32,46
S01006988,452,262,68,83,1,14,14,10
S01006989,794,530,52,145,2,13,22,30
S01006990,654,428,86,100,4,12,15,9
S01006991,371,174,42,68,1,10,29,47
S01006992,501,334,42,88,3,5,17,12
S01006993,433,274,38,79,0,15,15,12
S01006994,481,280,48,106,1,12,20,14
S01006995,673,394,108,111,2,18,19,21
S01006996,604,338,88,109,4,13,15,37
S01006997,603,382,62,105,5,8,16,25
S01006998,899,524,130,154,4,15,31,41
S01006999,700,432,74,128,4,14,24,24
S01007000,766,420,96,138,5,19,28,60
S01007001,734,410,82,128,7,15,41,51
S01007002,448,240,82,86,1,8,9,22
S01007003,425,262,44,82,1,6,13,17
S01007004,588,352,60,109,4,12,27,24
S01007005,729,480,68,127,3,8,22,21
S01007006,733,426,82,144,6,10,27,38
S01007007,672,414,64,107,5,13,31,38
S01007008,827,376,96,189,6,17,52,91
S01007009,872,394,108,201,5,22,61,81
S01007010,682,362,68,106,4,12,36,94
S01007011,724,256,110,185,7,22,55,89
S01007012,571,242,76,140,7,17,35,54
S01007013,458,296,44,71,2,7,14,24
S01007014,778,484,100,126,7,11,27,23
S01007015,505,310,44,99,7,9,19,17
S01007016,478,306,52,90,3,9,10,8
S01007017,820,380,92,169,6,21,63,89
S01007018,793,514,56,116,7,11,28,61
S01007019,574,284,62,116,12,12,33,55
S01007020,673,294,70,148,8,22,46,85
S01007021,730,370,70,149,6,21,31,83
S01007022,391,208,58,68,0,10,14,33
S01007023,394,234,42,67,2,9,21,19
S01007024,846,528,70,134,9,17,24,64
S01007025,702,314,96,151,2,19,46,74
S01007026,742,374,74,174,6,10,24,80
S01007027,880,484,80,165,1,14,50,86
S01007028,614,378,30,125,10,9,31,31
S01007029,458,280,52,69,3,12,15,27
S01007030,663,366,90,127,0,7,24,49
S01007031,517,248,76,106,0,14,30,43
S01007032,809,336,100,193,8,29,61,82
S01007033,603,286,76,138,2,13,36,52
S01007034,494,220,64,121,6,11,30,42
S01007035,643,296,60,148,6,18,49,66
S01007036,745,438,62,129,3,15,35,63
S01007037,830,402,96,173,2,16,62,79
S01007038,613,266,92,162,6,17,25,45
S01007039,685,366,76,152,4,19,26,42
S01007040,537,246,66,113,6,17,36,53
S01007041,614,282,66,145,6,15,38,62
S01007042,598,320,72,99,6,16,25,60
S01007043,801,494,80,144,9,17,21,36
S01007044,581,336,38,115,4,7,30,51
S01007045,683,418,58,124,9,7,26,41
S01007046,509,266,48,123,9,8,28,27
S01007047,550,356,46,100,5,7,15,21
S01007048,765,440,74,176,4,13,25,33
S01007049,767,382,102,157,4,16,54,52
S01007050,547,270,68,108,7,12,26,56
S01007051,614,316,98,119,4,12,21,44
S01007052,473,272,54,89,2,8,20,28
S01007053,402,250,32,87,2,2,10,19
S01007054,797,412,88,161,3,16,34,83
S01007055,422,248,40,96,3,7,9,19
S01007056,504,300,46,117,4,8,10,19
S01007057,459,268,38,78,7,1,14,53
S01007058,501,256,52,85,2,11,34,61
S01007059,813,438,96,154,3,17,52,53
S01007060,485,210,74,133,2,12,32,22
S01007061,739,458,94,131,2,13,21,20
S01007062,565,360,58,109,0,5,16,17
S01007063,549,326,48,104,2,8,20,41
S01007064,528,324,58,88,7,4,20,27
S01007065,474,272,60,81,4,10,20,27
S01007066,537,326,44,118,3,4,23,19
S01007067,489,254,68,95,7,9,20,36
S01007068,593,306,70,113,6,5,54,39
S01007069,642,340,86,140,5,15,31,25
S01007070,429,208,42,94,6,11,28,40
S01007071,688,394,50,148,5,14,40,37
S01007072,513,324,42,97,1,11,21,17
S01007073,753,448,54,158,5,7,23,58
S01007074,549,282,54,121,4,13,39,36
S01007075,585,274,65,137,2,21,41,45
S01007076,599,332,64,132,2,8,31,30
S01007077,594,336,60,106,2,8,33,49
S01007078,713,336,84,166,7,16,43,61
S01007079,853,346,112,191,2,26,83,93
S01007080,669,304,68,149,7,22,50,69
S01007081,734,286,138,171,8,28,53,50
S01007082,439,162,55,119,8,18,44,33
S01007083,761,260,134,192,15,21,73,66
S01007084,495,258,30,112,7,10,32,46
S01007085,651,268,100,170,11,13,62,27
S01007086,906,228,190,291,19,37,102,39
S01007087,725,232,120,218,15,22,60,58
S01007088,433,138,76,117,9,17,53,23
S01007089,423,290,22,62,6,6,14,23
S01007090,451,214,80,105,3,8,22,19
S01007091,587,260,114,157,0,19,26,11
S01007092,537,254,56,113,0,13,34,67
S01007093,818,522,42,151,6,7,41,49
S01007094,749,474,58,133,8,10,25,41
S01007095,447,271,36,94,5,6,15,20
S01007096,645,388,92,116,2,9,16,22
S01007097,394,246,46,65,7,8,9,13
S01007098,626,422,46,106,3,7,17,25
S01007099,694,430,48,139,6,8,25,38
S01007100,596,348,48,118,3,9,32,38
S01007101,655,346,66,148,1,12,38,44
S01007102,582,352,48,123,2,18,19,20
S01007103,678,368,48,160,3,13,30,56
S01007104,398,260,30,64,2,2,16,24
S01007105,447,240,28,105,4,8,20,42
S01007106,613,330,38,131,5,17,43,49
S01007107,543,356,46,94,3,6,17,21
S01007108,468,288,40,94,2,4,17,23
S01007109,668,328,78,131,6,21,52,52
S01007110,608,308,80,122,4,12,34,48
S01007111,434,260,36,82,2,4,25,25
S01007112,475,308,24,97,5,2,15,24
S01007113,439,254,28,105,4,6,16,26
S01007114,745,424,62,159,3,16,25,56
S01007115,534,314,40,105,3,7,15,50
S01007116,732,514,46,143,0,4,11,14
S01007117,398,274,16,79,0,4,9,16
S01007118,531,194,88,149,4,21,54,21
S01007119,658,306,74,159,4,17,53,45
S01007120,901,388,130,246,7,26,55,49
S01007121,466,156,32,120,11,16,38,93
S01007122,506,234,41,144,5,11,37,34
S01007123,542,254,68,114,3,14,36,53
S01007124,749,382,102,155,9,14,37,50
S01007125,676,320,66,174,13,16,32,55
S01007126,715,262,93,210,8,26,78,38
S01007127,810,260,145,217,20,29,85,54
S01007128,696,304,80,159,2,16,56,79
S01007129,739,482,82,111,6,13,16,29
S01007130,530,282,50,115,5,6,21,51
S01007131,655,394,50,113,2,9,27,60
S01007132,590,370,42,101,3,18,21,35
S01007133,554,334,50,104,6,13,22,25
S01007134,611,344,74,108,2,15,24,44
S01007135,437,254,54,81,1,4,17,26
S01007136,403,292,20,59,1,10,10,11
S01007137,519,364,52,73,3,6,17,4
S01007138,477,302,46,72,3,6,28,20
S01007139,627,400,62,95,2,7,30,31
S01007140,826,504,71,147,5,18,30,51
S01007141,541,346,42,97,5,4,18,29
S01007142,372,260,22,77,0,4,6,3
S01007143,435,320,44,53,2,4,10,2
S01007144,489,264,64,103,7,5,22,24
S01007145,773,460,54,138,3,8,29,81
S01007146,606,340,44,108,3,11,40,60
S01007147,607,380,36,111,2,9,29,40
S01007148,444,290,24,89,3,10,13,15
S01007149,472,324,18,75,1,7,17,30
S01007150,647,396,32,99,6,10,20,84
S01007151,689,430,50,125,2,13,29,40
S01007152,452,264,38,85,0,8,16,41
S01007153,526,322,42,76,3,11,29,43
S01007154,686,272,72,146,8,15,53,120
