,All households,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Rented: Council (Local authority),Rented: Other social rented,Rented: Private landlord or letting agency,Rented: Other,Living rent free
S01001666,258,109,79,-,50,1,17,1,1
S01001667,394,222,104,1,8,11,35,4,9
S01001668,355,195,119,1,4,1,33,1,1
S01001669,386,111,80,12,28,40,95,9,11
S01001670,250,105,120,2,3,4,11,2,3
S01001671,201,83,105,-,3,1,5,2,2
S01001672,268,76,97,-,64,1,19,4,7
S01001673,290,101,168,-,3,-,9,5,4
S01001674,346,109,122,3,69,1,31,4,7
S01001675,296,131,137,-,3,1,21,2,1
S01001676,484,202,222,1,25,1,21,1,11
S01001677,319,148,153,1,4,-,10,-,3
S01001678,316,115,185,1,1,2,10,1,1
S01001679,313,144,156,-,-,1,10,2,-
S01001680,257,147,94,3,4,1,5,1,2
S01001681,248,138,97,1,-,-,7,3,2
S01001682,226,75,129,-,4,1,12,3,2
S01001683,326,179,122,-,3,-,15,2,5
S01001684,215,113,76,3,11,1,8,2,1
S01001685,330,100,129,1,80,-,14,3,3
S01001686,347,174,157,-,2,-,13,-,1
S01001687,489,267,163,1,5,1,37,4,11
S01001688,409,124,239,4,1,-,37,-,4
S01001689,288,160,114,-,1,-,9,1,3
S01001690,365,77,209,-,59,2,12,3,3
S01001691,328,183,140,-,-,-,5,-,-
S01001692,268,62,118,-,72,3,9,1,3
S01001693,262,42,207,-,2,-,10,1,-
S01001694,311,113,158,1,12,-,21,1,5
S01001695,322,135,153,2,10,-,19,-,3
S01001696,320,142,136,1,2,-,34,-,5
S01001697,327,104,133,1,42,39,6,1,1
S01001698,235,89,107,-,26,2,9,2,-
S01001699,204,62,138,-,1,-,2,1,-
S01001700,359,168,178,-,1,-,9,1,2
S01001701,424,154,150,1,101,4,11,2,1
S01001702,454,202,147,-,3,31,44,20,7
S01001703,313,95,189,1,-,2,21,3,2
S01001704,350,210,122,-,1,-,15,1,1
S01001705,227,70,141,-,2,-,11,2,1
S01001706,285,135,144,-,1,-,2,1,2
S01001707,368,70,130,1,116,7,37,2,5
S01001708,378,188,142,1,6,-,31,2,8
S01001709,246,65,145,-,1,2,27,2,4
S01001710,300,118,145,-,16,1,14,3,3
S01001711,288,124,155,-,-,1,7,-,1
S01001712,188,68,91,-,4,12,10,1,2
S01001713,290,114,160,-,2,1,10,-,3
S01001714,264,119,128,-,1,1,10,1,4
S01001715,291,103,172,-,2,1,10,3,-
S01001716,377,109,117,-,100,27,19,4,1
S01001717,302,144,148,-,1,1,5,1,2
S01001718,212,80,114,-,3,2,10,3,-
S01001719,269,113,153,1,-,-,2,-,-
S01001720,242,60,163,-,2,-,13,1,3
S01001721,321,156,138,2,3,-,18,1,3
S01001722,291,117,150,1,-,-,17,3,3
S01001723,355,188,143,-,4,1,11,1,7
S01001724,370,79,77,1,170,12,28,2,1
S01001725,343,98,117,-,105,1,17,4,1
S01001726,238,95,139,-,1,-,3,-,-
S01001727,421,199,179,-,12,2,20,4,5
S01001728,229,77,152,-,-,-,-,-,-
S01001729,387,167,210,-,1,2,5,1,1
S01001730,248,114,127,-,1,-,4,-,2
S01001731,252,124,118,-,3,3,3,-,1
S01001732,230,90,115,-,10,3,5,1,6
S01001733,342,84,187,1,49,3,16,-,2
S01001734,206,114,86,-,1,-,2,-,3
S01001735,181,77,96,-,1,1,5,-,1
S01001736,415,251,145,-,5,-,7,1,6
S01001737,241,76,149,-,4,-,9,1,2
S01001738,218,116,98,-,-,1,2,-,1
S01001739,243,60,168,-,2,-,9,4,-
S01001740,303,111,159,-,4,2,20,6,1
S01001741,254,57,106,-,48,17,21,3,2
S01001742,291,48,113,3,68,38,17,2,2
S01001743,455,73,148,2,150,42,40,-,-
S01001744,195,66,121,-,1,3,4,-,-
S01001745,337,131,188,-,6,-,9,-,3
S01001746,349,177,149,-,2,2,13,2,4
S01001747,386,110,152,-,82,19,18,2,3
S01001748,255,153,95,2,2,1,1,-,1
S01001749,373,123,129,-,93,3,20,1,4
S01001750,308,153,85,1,56,2,10,-,1
S01001751,450,119,168,-,117,4,38,2,2
S01001752,346,168,166,-,-,-,8,1,3
S01001753,324,43,110,-,138,3,23,2,5
S01001754,266,128,128,-,1,2,6,-,1
S01001755,405,155,166,-,25,31,18,4,6
S01001756,312,200,71,1,2,26,7,-,5
S01001757,327,121,125,1,48,9,17,4,2
S01001758,349,168,116,1,33,2,19,6,4
S01001759,407,45,77,3,26,192,52,9,3
S01001760,343,61,164,1,76,19,13,5,4
S01001761,372,70,92,-,116,45,44,3,2
S01001762,451,144,133,15,60,41,50,5,3
S01001763,276,116,150,2,1,-,6,-,1
S01001764,189,78,106,-,-,-,4,-,1
S01001765,467,132,168,1,92,32,33,7,2
S01001766,243,114,98,1,23,2,4,1,-
S01001767,238,114,89,-,3,18,10,3,1
S01001768,247,107,109,1,9,3,9,2,7
S01001769,303,196,103,-,1,-,2,1,-
S01001770,311,27,49,14,13,179,23,6,-
S01001771,347,132,159,1,21,6,24,2,2
S01001772,284,129,80,-,1,28,34,4,8
S01001773,437,100,165,1,113,21,31,4,2
S01001774,265,102,135,1,6,3,13,5,-
S01001775,369,225,119,-,2,1,16,1,5
S01001776,319,75,117,-,78,4,40,3,2
S01001777,330,127,188,-,4,3,5,1,2
S01001778,403,90,119,-,144,22,24,3,1
S01001779,257,162,78,-,-,1,8,3,5
S01001780,390,127,146,1,36,37,37,4,2
S01001781,261,135,111,1,-,-,10,2,2
S01001782,404,228,162,-,1,-,9,2,2
S01001783,265,13,48,1,88,99,13,2,1
S01001784,269,146,98,-,1,2,12,3,7
S01001785,239,96,130,1,4,1,4,1,2
S01001786,216,64,131,-,11,2,6,-,2
S01001787,238,130,96,1,-,3,7,-,1
S01001788,315,160,139,-,2,1,10,-,3
S01001789,316,44,136,-,59,50,26,-,1
S01001790,312,155,118,-,3,1,26,3,6
S01001791,299,140,121,1,3,3,22,-,9
S01001792,282,122,128,-,17,2,9,3,1
S01001793,389,109,160,24,27,32,25,8,4
S01001794,376,170,150,-,24,7,19,2,4
S01001795,189,57,82,-,4,1,39,3,3
S01001796,338,216,114,-,1,1,3,-,3
S01001797,316,111,114,1,66,7,13,1,3
S01001798,337,198,133,-,-,-,5,-,1
S01001799,368,50,74,2,188,15,34,5,-
S01001800,347,113,205,-,4,4,17,2,2
S01001801,369,159,156,2,3,2,37,-,10
S01001802,347,50,218,1,9,23,43,1,2
S01001803,424,109,263,-,11,5,33,1,2
S01001804,439,111,218,1,38,7,55,2,7
S01001805,314,131,113,-,35,11,16,3,5
S01001806,276,129,104,-,16,1,17,2,7
S01001807,352,192,139,-,7,4,9,-,1
S01001808,244,86,89,-,45,7,9,5,3
S01001809,528,44,101,1,156,180,36,9,1
S01001810,383,154,177,-,3,13,30,4,2
S01001811,280,173,97,-,-,-,7,-,3
S01001812,334,158,147,-,2,1,20,3,3
S01001813,284,147,127,-,-,2,7,-,1
S01001814,274,90,111,-,5,5,10,49,4
S01001815,352,180,124,-,1,41,4,-,2
S01001816,434,220,185,2,-,2,21,1,3
S01001817,295,62,114,-,73,8,24,4,10
S01001818,338,224,107,-,1,-,4,2,-
S01001819,403,229,139,2,-,17,14,1,1
S01001820,346,59,111,-,114,22,35,1,4
S01001821,179,16,26,-,13,19,14,91,-
S01001822,496,227,207,6,4,23,21,5,3
S01001823,429,62,94,5,134,70,43,2,19
S01001824,345,139,108,2,60,17,13,2,4
S01001825,346,127,172,1,4,2,35,3,2
S01001826,344,8,56,1,25,241,8,4,1
S01001827,369,64,138,1,53,61,47,2,3
S01001828,262,83,160,-,-,1,13,2,3
S01001829,367,138,109,-,33,25,48,6,8
S01001830,337,144,179,-,-,1,10,2,1
S01001831,349,118,134,1,58,4,27,5,2
S01001832,295,71,118,-,58,15,26,3,4
S01001833,489,195,244,-,2,2,39,6,1
S01001834,315,91,110,8,61,7,32,2,4
S01001835,260,90,97,-,6,2,22,40,3
S01001836,356,168,151,1,6,3,21,2,4
S01001837,381,207,143,1,-,-,24,4,2
S01001838,277,61,108,-,29,46,25,2,6
S01001839,433,104,127,-,139,5,47,8,3
S01001840,293,167,107,-,3,6,7,1,2
S01001841,304,84,140,1,4,4,65,4,2
S01001842,293,93,170,-,4,3,17,3,3
S01001843,369,74,101,-,148,5,32,8,1
S01001844,409,206,160,1,14,5,9,1,13
S01001845,270,114,138,1,2,-,9,2,4
S01001846,323,154,152,-,1,-,11,3,2
S01001847,414,96,104,-,57,128,26,1,2
S01001848,394,97,107,-,131,11,39,5,4
S01001849,252,141,86,-,5,8,9,1,2
S01001850,333,91,153,-,8,7,64,7,3
S01001851,321,98,177,-,7,13,23,2,1
S01001852,301,162,124,-,3,1,8,1,2
S01001853,316,189,110,1,1,1,11,-,3
S01001854,458,82,74,8,7,170,40,74,3
S01001855,335,136,162,-,3,2,26,3,3
S01001856,418,63,62,2,38,207,35,7,4
S01001857,323,110,97,-,15,72,26,2,1
S01001858,363,206,122,-,4,2,21,4,4
S01001859,433,78,161,12,112,28,31,3,8
S01001860,323,167,137,-,-,2,9,6,2
S01001861,404,68,108,4,113,58,39,10,4
S01001862,322,154,147,1,5,5,8,2,-
S01001863,348,171,157,-,2,4,13,1,-
S01001864,607,33,102,2,139,270,52,7,2
S01001865,325,6,26,-,194,85,14,-,-
S01001866,286,135,126,-,-,3,19,1,2
S01001867,289,58,99,1,69,37,22,2,1
S01001868,301,171,95,2,5,-,18,6,4
S01001869,386,175,151,2,4,3,43,5,3
S01001870,426,57,74,2,182,79,30,1,1
S01001871,827,305,342,4,54,20,77,9,16
S01001872,346,107,143,1,39,5,40,3,8
S01001873,291,164,111,2,2,1,9,1,1
S01001874,486,16,57,15,179,166,47,5,1
S01001875,338,190,137,-,1,1,4,1,4
S01001876,486,120,169,-,127,9,46,8,7
S01001877,393,19,48,10,54,239,20,2,1
S01001878,433,250,160,-,2,2,13,2,4
S01001879,400,30,18,-,301,15,23,12,1
S01001880,393,40,65,-,240,10,32,5,1
S01001881,315,156,125,-,11,3,14,5,1
S01001882,350,90,176,2,10,5,64,2,1
S01001883,228,111,89,-,-,-,21,3,4
S01001884,464,108,140,-,141,9,54,5,7
S01001885,459,259,188,2,2,1,6,1,-
S01001886,349,28,5,1,224,84,7,-,-
S01001887,357,95,129,-,91,10,23,3,6
S01001888,358,178,150,-,1,3,17,6,3
S01001889,261,77,98,-,2,38,32,4,10
S01001890,428,100,143,-,45,75,53,5,7
S01001891,352,83,113,-,62,24,55,7,8
S01001892,528,59,76,2,316,21,45,5,4
S01001893,501,59,87,1,258,17,73,2,4
S01001894,368,26,37,2,263,9,27,2,2
S01001895,394,104,107,1,54,32,81,9,6
S01001896,324,153,138,-,3,-,25,3,2
S01001897,450,54,64,-,292,11,27,2,-
S01001898,353,69,70,3,162,6,36,4,3
S01001899,330,114,140,1,5,4,53,4,9
S01001900,342,125,142,-,40,4,24,1,6
S01001901,397,204,135,-,-,14,33,5,6
S01001902,388,152,144,-,-,4,74,10,4
S01001903,249,62,91,2,53,4,32,4,1
S01001904,327,64,90,2,101,15,46,4,5
S01001905,378,150,148,1,2,3,54,12,8
S01001906,307,19,67,8,17,166,27,3,-
S01001907,360,97,114,1,101,4,32,7,4
S01001908,316,150,112,-,3,4,38,7,2
S01001909,355,38,60,2,211,12,25,4,3
S01001910,318,83,131,3,7,5,84,2,3
S01001911,297,116,152,-,-,1,27,1,-
S01001912,346,101,137,-,15,1,86,6,-
S01001913,408,123,146,-,7,14,68,45,5
S01001914,239,131,75,-,-,15,15,-,3
S01001915,390,179,169,1,2,1,34,2,2
S01001916,463,164,118,1,1,6,145,20,8
S01001917,256,113,111,-,1,1,23,5,2
S01001918,592,133,180,4,17,12,229,14,3
S01001919,413,128,193,-,6,5,74,6,1
S01001920,356,119,107,2,42,7,69,6,4
S01001921,316,84,92,1,52,42,41,2,2
S01001922,332,128,151,5,5,10,29,1,3
S01001923,229,46,106,-,30,2,43,2,-
S01001924,344,158,128,-,4,-,41,7,6
S01001925,309,164,121,-,4,1,12,3,4
S01001926,232,55,83,-,57,5,27,1,4
S01001927,410,195,129,13,2,29,33,3,6
S01001928,420,99,132,2,3,7,158,15,4
S01001929,509,232,203,-,2,9,48,10,5
S01001930,453,109,138,-,3,8,174,13,8
S01001931,298,47,64,2,132,15,30,6,2
S01001932,373,109,123,1,108,3,27,-,2
S01001933,358,170,146,-,1,-,31,7,3
S01001934,833,176,336,4,70,63,150,21,13
S01001935,452,4,29,2,169,221,16,9,2
S01001936,585,261,176,1,6,48,83,5,5
S01001937,459,149,143,2,68,46,45,4,2
S01001938,262,87,79,-,3,4,75,6,8
S01001939,277,77,74,2,-,1,106,12,5
S01001940,327,109,128,1,7,8,60,9,5
S01001941,428,185,149,1,7,4,65,11,6
S01001942,301,115,66,1,1,32,73,8,5
S01001943,277,56,90,-,62,18,44,6,1
S01001944,346,180,80,2,1,48,28,4,3
S01001945,326,191,93,1,-,-,31,5,5
S01001946,347,24,51,-,204,31,35,1,1
S01001947,452,244,114,-,2,18,54,6,14
S01001948,387,21,55,8,120,151,30,-,2
S01001949,307,47,74,9,109,18,39,7,4
S01001950,528,135,201,4,53,3,116,11,5
S01001951,508,104,101,2,93,119,76,7,6
S01001952,287,118,103,1,-,8,51,2,4
S01001953,367,152,100,2,2,-,101,3,7
S01001954,204,85,70,-,21,-,25,1,2
S01001955,564,106,154,1,92,70,123,10,8
S01001956,299,39,78,2,27,111,38,2,2
S01001957,236,14,57,-,46,81,30,3,5
S01001958,455,99,102,3,117,5,103,16,10
S01001959,251,87,82,-,49,8,13,6,6
S01001960,366,117,125,4,4,4,95,12,5
S01001961,543,130,266,2,-,5,125,13,2
S01001962,420,100,181,3,29,21,79,4,3
S01001963,487,109,143,3,61,5,139,16,11
S01001964,383,90,195,3,1,1,87,4,2
S01001965,407,112,117,5,79,10,71,6,7
S01001966,768,60,109,26,157,209,184,11,12
S01001967,314,49,171,4,4,10,74,1,1
S01001968,442,181,141,-,3,19,87,8,3
S01001969,305,96,95,4,58,2,39,4,7
S01001970,283,147,75,3,2,35,18,1,2
S01001971,440,56,91,-,180,34,58,19,2
S01001972,330,116,153,2,-,2,50,6,1
S01001973,326,125,144,1,1,3,44,5,3
S01001974,362,137,126,-,1,2,85,6,5
S01001975,416,220,93,3,1,12,74,5,8
S01001976,329,70,80,7,31,3,123,13,2
S01001977,439,92,93,3,71,95,74,6,5
S01001978,612,36,114,-,104,299,51,2,6
S01001979,309,113,85,1,1,11,88,7,3
S01001980,443,67,191,2,1,13,157,11,1
S01001981,418,102,106,4,2,7,161,24,12
S01001982,200,5,28,7,31,123,6,-,-
S01001983,337,83,92,2,2,7,134,13,4
S01001984,515,31,135,77,5,149,99,15,4
S01001985,339,99,150,-,4,3,79,3,1
S01001986,373,35,133,3,1,3,180,12,6
S01001987,281,61,63,3,-,3,137,11,3
S01001988,350,102,142,-,5,9,88,2,2
S01001989,388,195,142,-,8,-,31,5,7
S01001990,343,130,90,1,1,2,98,19,2
S01001991,334,70,153,1,6,9,88,6,1
S01001992,306,101,91,-,6,10,64,25,9
S01001993,276,121,88,1,1,3,55,4,3
S01001994,386,80,166,5,3,18,110,2,2
S01001995,323,56,182,2,2,3,73,5,-
S01001996,351,83,89,4,2,-,154,11,8
S01001997,420,113,113,3,15,88,78,6,4
S01001998,308,49,161,3,3,6,78,6,2
S01001999,267,46,57,4,-,-,142,11,7
S01002000,345,95,143,1,25,40,37,4,-
S01002001,572,62,171,2,5,43,265,20,4
S01002002,259,47,55,1,-,-,141,13,2
S01002003,358,90,181,1,26,5,48,4,3
S01002004,453,93,140,2,4,25,173,14,2
S01002005,465,114,135,-,133,13,62,2,6
S01002006,352,81,207,3,5,4,49,2,1
S01002007,676,55,202,9,2,35,347,23,3
S01002008,433,102,152,2,-,2,150,20,5
S01002009,412,108,88,2,1,4,172,26,11
S01002010,203,62,41,2,-,1,86,10,1
S01002011,447,110,256,9,2,13,52,3,2
S01002012,360,91,119,1,2,8,129,8,2
S01002013,371,138,74,2,3,9,119,11,15
S01002014,331,75,77,4,-,14,148,11,2
S01002015,330,186,132,-,-,1,11,-,-
S01002016,330,51,131,1,2,2,129,11,3
S01002017,499,54,60,1,283,62,34,2,3
S01002018,343,180,138,1,1,-,21,2,-
S01002019,290,49,66,4,2,7,146,12,4
S01002020,180,18,31,-,-,7,112,10,2
S01002021,543,130,157,2,133,20,89,6,6
S01002022,411,95,195,-,34,18,55,4,10
S01002023,351,75,112,-,-,1,136,24,3
S01002024,323,80,123,1,3,2,95,16,3
S01002025,560,63,177,6,3,38,260,9,4
S01002026,299,182,97,-,2,2,11,1,4
S01002027,453,69,86,3,8,9,250,22,6
S01002028,314,67,46,4,3,25,152,11,6
S01002029,272,54,60,6,-,3,130,12,7
S01002030,470,62,142,1,-,39,216,9,1
S01002031,409,55,134,4,42,10,150,10,4
S01002032,386,72,102,4,1,65,129,7,6
S01002033,525,51,146,6,9,102,197,11,3
S01002034,376,47,56,3,1,43,207,18,1
S01002035,308,132,123,-,3,1,47,2,-
S01002036,589,58,167,1,8,49,285,20,1
S01002037,307,47,43,2,5,28,158,19,5
S01002038,200,72,43,1,-,-,78,6,-
S01002039,300,129,102,-,17,1,44,2,5
S01002040,339,30,86,2,2,42,154,18,5
S01002041,430,91,145,4,-,5,161,19,5
S01002042,522,202,149,1,50,62,46,8,4
S01002043,367,152,126,-,30,4,41,3,11
S01002044,292,20,55,-,187,3,20,5,2
S01002045,481,186,140,-,29,10,105,6,5
S01002046,387,25,79,-,7,130,133,10,3
S01002047,344,55,61,3,5,99,111,7,3
S01002048,260,38,38,3,5,5,154,15,2
S01002049,544,74,107,15,21,38,260,23,6
S01002050,290,148,101,1,26,4,5,1,4
S01002051,367,109,110,-,123,-,20,5,-
S01002052,525,40,122,5,18,77,234,24,5
S01002053,311,50,66,2,4,8,158,13,10
S01002054,323,70,73,7,4,20,128,14,7
S01002055,350,138,181,-,-,16,14,-,1
S01002056,459,181,151,-,68,4,44,6,5
S01002057,431,211,166,4,1,1,33,6,9
S01002058,536,59,122,2,7,99,226,16,5
S01002059,402,24,69,1,10,112,164,15,7
S01002060,331,44,56,1,16,6,187,14,7
S01002061,396,55,99,5,31,15,177,13,1
S01002062,297,82,89,1,78,3,38,4,2
S01002063,524,78,106,2,29,63,222,12,12
S01002064,591,36,118,12,8,146,236,31,4
S01002065,308,72,71,2,4,46,95,14,4
S01002066,649,114,75,5,10,99,273,37,36
S01002067,420,168,130,1,10,28,73,5,5
S01002068,585,51,138,3,11,115,246,17,4
S01002069,291,114,124,-,13,3,31,3,3
S01002070,371,45,63,4,13,62,167,13,4
S01002071,341,74,46,6,12,4,184,9,6
S01002072,534,254,201,4,4,9,47,6,9
S01002073,426,37,66,3,6,129,172,9,4
S01002074,286,167,100,-,2,3,10,1,3
S01002075,560,140,166,24,5,27,182,10,6
S01002076,434,40,85,5,16,76,195,13,4
S01002077,349,184,133,1,1,6,23,-,1
S01002078,476,182,172,1,5,2,79,20,15
S01002079,516,48,96,1,38,118,194,14,7
S01002080,385,201,159,1,1,1,18,2,2
S01002081,361,55,71,4,6,97,118,7,3
S01002082,514,155,146,6,3,52,129,12,11
S01002083,295,67,88,1,71,35,25,1,7
S01002084,442,46,86,15,1,58,214,11,11
S01002085,276,16,30,2,2,68,145,10,3
S01002086,326,19,38,3,5,79,157,20,5
S01002087,576,62,87,4,84,80,226,29,4
S01002088,400,153,161,1,5,46,27,2,5
S01002089,438,196,194,1,1,10,26,7,3
S01002090,480,205,172,1,77,3,17,3,2
S01002091,446,38,74,5,7,75,230,13,4
S01002092,383,166,155,-,2,27,26,4,3
S01002093,437,42,49,1,12,149,166,15,3
S01002094,359,137,112,1,50,5,51,3,-
S01002095,264,134,79,1,-,4,37,3,6
S01002096,539,196,293,-,2,5,34,5,4
S01002097,299,174,116,1,2,1,5,-,-
S01002098,352,138,99,-,84,6,19,3,3
S01002099,401,102,118,1,1,7,151,11,10
S01002100,266,96,94,18,8,20,21,6,3
S01002101,592,69,72,1,232,54,138,15,11
S01002102,337,66,116,-,69,10,69,7,-
S01002103,275,127,125,-,3,2,15,-,3
S01002104,540,42,59,1,125,186,120,4,3
S01002105,343,157,156,-,-,-,24,1,5
S01002106,413,49,45,1,22,51,214,26,5
S01002107,211,106,83,-,6,-,13,1,2
S01002108,393,30,47,2,17,48,221,21,7
S01002109,444,59,67,1,7,46,234,21,9
S01002110,334,128,123,-,-,1,72,7,3
S01002111,430,236,181,-,1,2,5,4,1
S01002112,491,201,213,-,13,26,31,3,4
S01002113,321,178,117,-,2,15,4,1,4
S01002114,273,116,143,-,1,-,12,-,1
S01002115,503,165,146,4,-,-,172,6,10
S01002116,363,117,150,3,19,29,37,2,6
S01002117,476,47,56,2,29,83,239,15,5
S01002118,546,31,40,1,32,204,188,43,7
S01002119,290,85,111,-,42,6,41,2,3
S01002120,319,107,167,-,-,5,36,3,1
S01002121,307,122,123,2,22,4,24,7,3
S01002122,362,230,99,-,2,1,20,3,7
S01002123,398,195,176,1,2,15,7,-,2
S01002124,413,188,172,1,3,1,39,7,2
S01002125,454,184,172,-,15,24,54,3,2
S01002126,243,125,103,-,6,1,6,-,2
S01002127,315,87,136,-,31,9,42,4,6
S01002128,391,64,92,1,1,4,209,13,7
S01002129,489,84,59,7,36,111,171,14,7
S01002130,227,121,94,-,3,2,7,-,-
S01002131,420,60,61,-,25,21,231,15,7
S01002132,404,158,144,2,27,4,51,6,12
S01002133,615,187,129,-,4,62,206,11,16
S01002134,252,144,97,-,-,1,10,-,-
S01002135,337,180,137,-,2,4,12,-,2
S01002136,426,146,111,1,2,3,145,8,10
S01002137,380,114,163,3,1,59,31,6,3
S01002138,404,62,121,-,2,182,31,4,2
S01002139,285,110,143,1,1,1,24,1,4
S01002140,421,77,127,6,129,11,65,4,2
S01002141,326,72,145,1,20,16,67,3,2
S01002142,460,214,182,-,19,1,30,9,5
S01002143,377,181,102,1,48,4,35,1,5
S01002144,316,203,91,1,-,1,16,-,4
S01002145,503,207,105,-,-,-,160,15,16
S01002146,537,118,213,3,15,10,166,10,2
S01002147,424,116,148,1,104,15,36,2,2
S01002148,345,176,141,-,3,1,19,1,4
S01002149,572,123,194,2,66,25,153,5,4
S01002150,338,96,152,1,4,7,70,5,3
S01002151,876,117,299,17,10,59,335,31,8
S01002152,425,188,135,-,3,3,79,7,10
S01002153,234,113,94,1,4,-,18,3,1
S01002154,435,99,135,-,115,23,51,4,8
S01002155,511,68,114,6,186,13,107,11,6
S01002156,396,98,86,-,1,2,189,8,12
S01002157,349,164,105,-,2,1,67,7,3
S01002158,421,169,146,-,1,2,90,11,2
S01002159,379,80,67,6,7,57,148,10,4
S01002160,530,24,95,17,4,231,149,8,2
S01002161,338,58,67,3,12,32,145,12,9
S01002162,429,131,144,2,5,96,44,3,4
S01002163,678,92,230,13,13,52,253,19,6
S01002164,345,113,120,1,74,6,25,2,4
S01002165,406,110,215,2,-,30,47,1,1
S01002166,401,127,93,2,2,3,160,6,8
S01002167,304,92,96,-,78,6,27,1,4
S01002168,634,142,115,3,3,132,223,8,8
S01002169,455,167,122,3,1,4,137,11,10
S01002170,434,115,133,1,131,1,35,9,9
S01002171,285,119,115,2,20,1,19,4,5
S01002172,313,184,105,1,5,3,8,1,6
S01002173,533,220,153,1,9,57,72,14,7
S01002174,500,124,155,-,29,2,170,12,8
S01002175,598,121,204,3,3,17,225,21,4
S01002176,375,145,135,3,12,32,36,5,7
S01002177,467,129,148,1,1,1,180,3,4
S01002178,561,102,136,5,25,15,252,17,9
S01002179,283,168,92,1,5,2,8,3,4
S01002180,263,61,71,2,2,1,118,4,4
S01002181,473,104,215,7,11,16,99,14,7
S01002182,384,107,102,-,7,22,129,13,4
S01002183,548,65,172,3,4,64,228,7,5
S01002184,329,194,124,-,-,-,8,-,3
S01002185,541,57,171,3,121,59,123,3,4
S01002186,383,70,143,-,1,2,153,11,3
S01002187,483,132,115,2,1,3,224,3,3
S01002188,358,171,137,-,5,3,39,-,3
S01002189,391,72,123,1,3,71,114,4,3
S01002190,389,70,125,-,4,5,161,14,10
S01002191,459,81,95,4,179,15,68,8,9
S01002192,399,131,170,-,61,4,24,5,4
S01002193,353,171,164,-,2,2,14,-,-
S01002194,342,99,139,1,67,2,23,4,7
S01002195,712,122,139,-,4,93,319,18,17
S01002196,282,113,125,-,1,19,22,1,1
S01002197,391,49,135,3,4,89,102,9,-
S01002198,490,68,178,-,24,15,187,13,5
S01002199,386,96,96,1,3,31,152,5,2
S01002200,438,208,186,-,1,1,38,2,2
S01002201,620,138,180,-,3,7,260,25,7
S01002202,420,95,93,2,1,7,193,21,8
S01002203,260,58,81,2,2,-,109,7,1
S01002204,418,79,116,-,154,18,44,4,3
S01002205,392,118,116,1,14,2,131,8,2
S01002206,558,61,160,4,2,67,239,20,5
S01002207,336,128,164,1,18,-,20,2,3
S01002208,352,75,103,2,1,3,155,5,8
S01002209,582,61,199,3,9,43,249,14,4
S01002210,328,131,86,1,-,2,95,8,5
S01002211,397,42,73,1,221,15,40,3,2
S01002212,676,117,178,15,190,59,107,8,2
S01002213,320,90,120,1,70,7,20,5,7
S01002214,434,142,130,2,-,3,144,4,9
S01002215,464,223,195,-,8,4,26,5,3
S01002216,973,99,320,9,45,40,426,26,8
S01002217,666,70,164,4,15,83,308,17,5
S01002218,296,61,86,1,4,3,133,4,4
S01002219,304,155,121,1,3,1,21,-,2
S01002220,299,154,130,-,-,1,9,2,3
S01002221,614,80,181,2,32,54,249,11,5
S01002222,331,176,138,-,1,-,9,2,5
S01002223,308,157,122,-,4,12,10,-,3
S01002224,397,227,135,-,4,1,25,1,4
S01002225,464,87,153,1,3,12,178,23,7
S01002226,510,151,196,1,3,5,142,10,2
S01002227,444,89,132,1,129,44,39,4,6
S01002228,402,208,160,1,7,6,15,2,3
S01002229,318,205,99,1,2,-,7,2,2
S01002230,549,134,179,-,5,42,172,10,7
S01002231,410,152,107,-,2,2,107,4,36
S01002232,374,93,132,1,97,5,35,9,2
S01002233,575,50,133,2,15,148,209,15,3
S01002234,502,85,145,8,49,42,155,14,4
S01002235,606,154,184,3,-,20,233,8,4
S01002236,415,113,138,1,82,20,52,4,5
S01002237,596,145,224,7,32,15,154,14,5
S01002238,322,60,74,2,78,69,28,4,7
S01002239,500,52,91,9,227,73,43,4,1
S01002240,508,76,109,-,38,144,127,9,5
S01002241,485,92,150,1,35,129,70,1,7
S01002242,348,147,148,-,3,1,39,6,4
S01002243,403,92,130,6,10,25,126,8,6
S01002244,520,71,184,14,20,8,201,17,5
S01002245,"1,079",161,376,14,8,56,415,29,20
S01002246,579,86,179,16,12,54,217,14,1
S01002247,389,89,98,-,163,6,30,1,2
S01002248,519,224,181,-,1,4,89,6,14
S01002249,582,68,128,21,34,174,147,8,2
S01002250,433,135,219,1,7,8,55,6,2
S01002251,323,117,160,1,25,4,15,1,-
S01002252,350,167,119,1,1,1,44,11,6
S01002253,463,143,157,-,127,5,24,3,4
S01002254,557,59,176,12,7,112,178,11,2
S01002255,"1,043",162,385,-,89,53,311,24,19
S01002256,640,200,267,3,5,3,134,17,11
S01002257,306,91,139,-,34,7,28,4,3
S01002258,471,28,68,12,9,153,196,4,1
S01002259,266,82,113,3,25,14,20,5,4
S01002260,354,190,136,-,-,2,18,2,6
S01002261,413,180,179,-,7,12,28,2,5
S01002262,345,187,121,2,1,8,19,4,3
S01002263,354,217,110,-,-,1,16,5,5
S01002264,393,100,203,1,4,6,72,5,2
S01002265,743,85,185,3,28,288,139,8,7
S01002266,425,52,146,3,26,68,117,9,4
S01002267,431,75,118,-,116,9,104,4,5
S01002268,285,138,127,-,-,3,11,2,4
S01002269,526,195,176,3,5,50,82,3,12
