,All households,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Rented: Council (Local authority),Rented: Other social rented,Rented: Private landlord or letting agency,Rented: Other,Living rent free
S01000163,467,102,147,4,169,25,9,2,9
S01000164,347,44,72,31,77,20,85,10,8
S01000165,504,83,93,1,184,56,63,12,12
S01000166,561,92,108,7,44,6,235,50,19
S01000167,304,83,98,1,85,19,8,8,2
S01000168,445,94,128,1,204,6,9,1,2
S01000169,346,116,101,1,101,4,19,1,3
S01000170,538,125,123,-,44,3,194,35,14
S01000171,395,80,267,8,7,8,25,-,-
S01000172,209,76,71,-,28,-,25,5,4
S01000173,390,66,90,2,185,2,33,8,4
S01000174,309,97,185,1,5,2,16,2,1
S01000175,286,30,60,22,17,70,70,15,2
S01000176,342,55,86,5,43,3,126,17,7
S01000177,271,65,113,1,12,9,59,9,3
S01000178,312,76,108,3,101,11,11,1,1
S01000179,499,24,23,1,408,18,18,3,4
S01000180,283,71,97,4,46,47,9,4,5
S01000181,242,45,77,-,90,23,3,1,3
S01000182,350,61,143,-,124,7,11,2,2
S01000183,532,35,84,1,219,15,163,10,5
S01000184,361,140,127,1,36,1,44,9,3
S01000185,518,29,38,18,326,43,53,3,8
S01000186,510,173,117,6,172,1,25,6,10
S01000187,248,58,73,-,98,3,10,1,5
S01000188,444,53,48,2,191,24,75,47,4
S01000189,218,31,56,-,117,5,8,1,-
S01000190,360,83,115,-,126,24,5,1,6
S01000191,596,172,243,3,45,1,107,12,13
S01000192,366,38,49,3,201,5,57,10,3
S01000193,291,50,90,-,138,2,9,1,1
S01000194,370,28,60,1,212,5,55,9,-
S01000195,398,51,60,2,229,8,42,6,-
S01000196,343,15,50,3,226,37,9,2,1
S01000197,242,40,97,-,88,3,11,2,1
S01000198,349,36,63,1,231,3,14,1,-
S01000199,384,20,35,1,290,9,25,2,2
S01000200,419,95,125,1,134,-,51,6,7
S01000201,305,63,94,3,110,1,26,6,2
S01000202,497,91,163,3,61,58,97,17,7
S01000203,315,2,16,1,276,8,9,3,-
S01000204,257,53,75,1,120,3,4,1,-
S01000205,414,48,59,1,141,74,60,18,13
S01000206,276,64,123,2,46,35,6,-,-
S01000207,544,56,6,5,399,46,23,3,6
S01000208,395,21,39,-,308,11,14,2,-
S01000209,505,19,46,5,406,5,23,1,-
S01000210,401,36,59,2,165,82,47,6,4
S01000211,358,36,33,2,250,2,14,19,2
S01000212,334,70,107,-,30,118,7,-,2
S01000213,427,39,104,4,207,16,50,4,3
S01000214,233,64,78,-,77,2,8,2,2
S01000215,386,117,171,4,24,4,46,15,5
S01000216,315,131,109,1,22,18,23,7,4
S01000217,366,28,51,2,263,5,16,1,-
S01000218,342,124,92,-,106,2,10,2,6
S01000219,416,29,25,8,342,3,6,3,-
S01000220,345,56,48,22,121,33,55,4,6
S01000221,464,49,128,7,215,7,45,10,3
S01000222,335,99,129,-,91,-,8,3,5
S01000223,309,67,148,11,6,2,65,7,3
S01000224,350,105,114,-,76,36,12,1,6
S01000225,254,96,103,-,41,-,5,4,5
