"DZ_CODE","unmarriedPCTZscore","livingalonePCTZscore","rentedPCTZscore","movedPCTZscore","SFI","LAname"
"S01000875",-0.63,-1.00168950979747,-0.339283744888893,-0.327004743935504,1.87028507221715,"Clackmannanshire"
"S01000876",0.18,0.0789880541535498,-0.197692763883037,-0.289799868595061,0.806074662574697,"Clackmannanshire"
"S01000877",1.27,1.01728014707489,-0.239157089000552,0.218723494725073,-1.14192723367755,"Clackmannanshire"
"S01000878",-1.15,-0.679836706708881,-0.780375648429172,-0.594526171430562,-1.13531872526544,"Clackmannanshire"
"S01000879",-1.16,-0.741697484084801,-0.600703720719786,-0.341905140956104,1.64073662036243,"Clackmannanshire"
"S01000880",-1.44,-1.2984980431948,-0.666980989034654,-0.551878087378362,-0.293572859937846,"Clackmannanshire"
"S01000881",-0.12,-0.373230552439346,-0.523605466835756,-0.497812808047746,-0.558550669274761,"Clackmannanshire"
"S01000882",0.35,0.320611394258808,0.271377400522203,0.200270708492764,-0.00188015076464748,"Clackmannanshire"
"S01000883",-0.05,0.0464322109262397,0.407963280985705,-0.232665558897806,-1.24178311504955,"Clackmannanshire"
"S01000884",0.07,-0.474082434231804,-0.585031769510448,-0.233904750618183,-0.0722869317236406,"Clackmannanshire"
"S01000885",-1.64,-1.51369528740812,-0.857870510178573,-0.992695851430518,0.967906443460366,"Clackmannanshire"
"S01000886",-0.34,-0.226698840834107,-0.928186165469406,-0.648039684773891,-0.488358266694527,"Clackmannanshire"
"S01000887",-1.04,-0.855050363763632,-0.75936085587177,-0.914392028318017,0.362116063844565,"Clackmannanshire"
"S01000888",0.56,0.605692037495123,0.128372513079553,-0.331251521260306,-0.816181796919393,"Clackmannanshire"
"S01000889",-0.49,-0.340655483320366,-0.192217504334879,-0.35516042228754,0.0968292811925722,"Clackmannanshire"
"S01000890",-0.05,0.0427914597948685,-0.266003793217405,-0.277648924234461,-0.691847372567493,"Clackmannanshire"
"S01000891",-0.83,-0.918484282471871,-0.442610289859362,0.104049455608469,0.385161646077863,"Clackmannanshire"
"S01000892",-1.5,-1.23013419347074,-0.334425148896765,0.215538822794329,0.406410593986765,"Clackmannanshire"
"S01000893",-1.62,-1.27917969482218,-0.712212744953963,-0.263690609343998,-0.510229209937416,"Clackmannanshire"
"S01000894",-0.79,-0.56229639090862,0.669605064990467,-0.613024960566429,1.27712748309882,"Clackmannanshire"
"S01000895",-0.74,-0.82856558452003,-0.507845598716109,-0.305108102215181,-0.339890917412949,"Clackmannanshire"
"S01000896",-1.92,-1.3874656634925,-0.514590473022163,0.0144612636207168,0.28569131730586,"Clackmannanshire"
"S01000897",-1.29,-1.04010292768149,0.328813514358137,-0.269011353138877,0.903641336452086,"Dumfries and Galloway"
"S01000898",-0.6,-0.471474773232651,0.299671506664102,-0.521537148401014,2.0234220653874,"Dumfries and Galloway"
"S01000899",0.16,0.11567390373953,-0.242050154643531,-0.413078537142054,0.204904715430411,"Dumfries and Galloway"
"S01000900",-1,-0.874822902680101,0.241800409375605,-0.391301175492139,0.205141408362127,"Dumfries and Galloway"
"S01000901",-0.72,-0.885812573906873,2.19946732074571,-0.500341211753324,0.607504839775249,"Dumfries and Galloway"
"S01000902",-0.91,-0.945730688565021,0.266392889459389,-0.12019415527043,-0.307721808195196,"Dumfries and Galloway"
"S01000903",-0.85,-0.675168971892648,0.0121915576383013,-0.752323492015819,0.520693743727978,"Dumfries and Galloway"
"S01000904",-0.77,-0.855235370386308,0.247436815598002,-0.464498450692946,-0.263228706211106,"Dumfries and Galloway"
"S01000905",-0.66,-0.807235897401186,0.653061479687517,-0.0476798348341268,-0.903153009073777,"Dumfries and Galloway"
"S01000906",-0.85,-0.889825199821312,0.0895510491034894,-0.588085807789165,0.194620155131581,"Dumfries and Galloway"
"S01000907",0.39,0.494218717967784,0.522967409774239,0.221070780167215,1.81731757138494,"Dumfries and Galloway"
"S01000908",0.24,0.386494298570417,0.882063031354887,0.491727481714894,-1.34870702115883,"Dumfries and Galloway"
"S01000909",-0.96,-1.08804537967122,0.385494608009025,-0.240537341167632,0.35130419311107,"Dumfries and Galloway"
"S01000910",-0.65,-0.912508250276027,0.288418841846327,-0.537350527388609,2.47411487209347,"Dumfries and Galloway"
"S01000911",-1.23,-1.17990434384155,-0.0177589438356014,-0.241995971201627,2.12579422595256,"Dumfries and Galloway"
"S01000912",-0.53,-0.678979397240226,0.037230176870484,-0.415823606722157,1.93664755820925,"Dumfries and Galloway"
"S01000913",-0.18,-0.113110954295111,0.24712034524863,-0.214118245832575,-0.45032048533592,"Dumfries and Galloway"
"S01000914",-1.18,-0.992052791996706,-0.174124206662116,-0.23228011285937,0.505589319168019,"Dumfries and Galloway"
"S01000915",-0.97,-0.853801628130373,0.551045581078171,-0.0827853203180962,0.73627521439138,"Dumfries and Galloway"
"S01000916",-0.91,-0.74369257564924,0.311852538681685,-0.417072203754377,2.06406125072116,"Dumfries and Galloway"
"S01000917",-0.37,-0.583101955366022,0.972816104397853,-0.072669282843552,3.01856975979941,"Dumfries and Galloway"
"S01000918",-0.46,-0.395439409010728,0.968379287493531,-0.44886408123258,1.67456945819635,"Dumfries and Galloway"
"S01000919",-0.46,-0.575847013990326,0.577956530480324,0.297906248958733,0.675444600728331,"Dumfries and Galloway"
"S01000920",-0.81,-0.864362363771657,0.251458626287942,0.249025888196749,2.17446291025754,"Dumfries and Galloway"
"S01000921",-0.92,-0.782541154053654,0.897660720631984,-0.380548684242717,-1.06077156972616,"Dumfries and Galloway"
"S01000922",-0.14,-0.639195580479033,0.611091000649375,-0.232089093274336,1.53601213470617,"Dumfries and Galloway"
"S01000923",-0.46,-0.513978634656164,-0.488499143819515,-0.469839891303245,2.35783941910042,"Dumfries and Galloway"
"S01000924",0.15,-0.0239641308796335,-0.575117809263949,-0.423614846929862,3.0411840729362,"Dumfries and Galloway"
"S01000925",-0.36,-0.476855664171229,0.160830152521491,-0.269862218351278,2.22380092637205,"Dumfries and Galloway"
"S01000926",0.23,-0.741001155273745,0.0633762924514323,0.107843308146256,3.58828639247517,"Dumfries and Galloway"
"S01000927",-0.18,-0.288068685145752,-0.511642713140258,-0.386086864976606,1.86464450442796,"Dumfries and Galloway"
"S01000928",-0.75,-0.652860106163658,0.257392149682517,-0.633939918079225,0.214403758411155,"Dumfries and Galloway"
"S01000929",1.27,0.31802818877927,-0.201683742544312,0.644972962977371,0.219530852972201,"Dumfries and Galloway"
"S01000930",1.4,1.31474314595953,-0.49055756010263,1.6544797568354,3.1077371883861,"Dumfries and Galloway"
"S01000931",0.03,-0.237918726868199,-0.195441781437218,0.234529985684086,-0.658778484275543,"Dumfries and Galloway"
"S01000932",-0.09,-0.327366535935302,0.180320146879868,-0.10757203748189,3.48070909753522,"Dumfries and Galloway"
"S01000933",0.16,0.148712119201572,0.703475175570302,0.111041775066798,0.711914272412744,"Dumfries and Galloway"
"S01000934",1.12,1.04641551835299,1.35144807776171,0.31316859103665,2.26345821736001,"Dumfries and Galloway"
"S01000935",0.11,0.386987625036722,-0.217166106812747,-0.661823761724339,2.84816313350308,"Dumfries and Galloway"
"S01000936",-0.38,-0.164819234892982,-0.133109685546643,-0.568258792870916,-0.469230922814435,"Dumfries and Galloway"
"S01000937",0.48,0.621670889682806,0.636804536849994,0.209460551098555,-0.125241870898957,"Dumfries and Galloway"
"S01000938",-0.06,-0.242101657353088,-0.324511979931313,-0.266463104194969,-0.0316788820042088,"Dumfries and Galloway"
"S01000939",-0.32,-0.0917156607436442,-0.0533742604110619,-0.122827183054353,3.4982096480072,"Dumfries and Galloway"
"S01000940",-0.66,-0.95624076385083,-0.230313045026432,0.0859717516430316,2.13160349734377,"Dumfries and Galloway"
"S01000941",0.21,0.270606107794607,-0.193086575072396,-0.558026650424993,2.72782873490364,"Dumfries and Galloway"
"S01000942",0.09,-0.0996326164299211,0.450218927123377,-0.0571448008238271,-0.574776198457143,"Dumfries and Galloway"
"S01000943",-1.31,-1.05060236393214,-0.588119874340345,-0.694625067195715,0.906918364362364,"Dumfries and Galloway"
"S01000944",-0.23,-0.418654380408856,0.197516210966999,-0.269124869604888,1.92790725610459,"Dumfries and Galloway"
"S01000945",0.08,-0.0155667714681069,0.930107489729897,0.13945576063292,0.504543691776552,"Dumfries and Galloway"
