,All people aged 16 and over in households,Living in a couple: Married or in a registered same-sex civil partnership,Living in a couple: Cohabiting,Not living in a couple: Single (never married or never registered a same-sex civil partnership),Not living in a couple: Married or in a registered same-sex civil partnership,Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership),Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Not living in a couple: Widowed or surviving partner from a same-sex civil partnership
S01001241,458,196,56,123,3,10,36,34
S01001242,736,362,126,168,3,23,31,23
S01001243,834,282,114,277,5,31,85,40
S01001244,629,240,108,188,5,30,43,15
S01001245,589,186,84,221,3,23,51,21
S01001246,782,356,80,198,8,25,41,74
S01001247,468,216,58,123,-,8,25,38
S01001248,649,328,106,148,-,20,22,25
S01001249,522,230,58,138,4,17,41,34
S01001250,709,322,76,174,9,23,53,52
S01001251,402,130,42,144,2,17,39,28
S01001252,448,198,38,140,1,15,28,28
S01001253,466,114,66,199,1,26,47,13
S01001254,533,236,56,150,2,18,39,32
S01001255,638,240,88,205,8,13,38,46
S01001256,575,238,58,166,1,20,38,54
S01001257,580,212,64,188,5,28,51,32
S01001258,459,144,44,202,-,16,38,15
S01001259,675,328,90,142,2,11,36,66
S01001260,560,128,82,254,1,32,49,14
S01001261,676,176,112,237,5,41,57,48
S01001262,748,424,60,175,2,7,27,53
S01001263,393,184,46,85,3,9,19,47
S01001264,1415,760,258,278,9,31,47,32
S01001265,450,258,76,89,1,12,5,9
S01001266,607,328,88,118,4,15,19,35
S01001267,771,296,104,213,2,23,56,77
S01001268,558,328,40,120,3,13,17,37
S01001269,426,236,60,89,1,8,17,15
S01001270,524,214,68,141,2,25,37,37
S01001271,558,178,76,197,1,25,46,35
S01001272,549,242,74,131,2,18,27,55
S01001273,638,270,68,154,3,15,49,79
S01001274,588,268,66,157,2,21,36,38
S01001275,489,204,45,124,4,17,45,50
S01001276,490,286,56,100,1,10,10,27
S01001277,642,304,78,151,4,16,43,46
S01001278,336,192,22,72,3,5,16,26
S01001279,547,226,74,150,4,24,38,31
S01001280,475,238,24,118,3,10,29,53
S01001281,625,246,64,158,2,23,42,90
S01001282,669,352,40,154,8,13,25,77
S01001283,442,188,54,113,1,15,34,37
S01001284,776,386,114,166,3,17,42,48
S01001285,532,254,64,131,-,14,36,33
S01001286,376,182,50,86,5,7,22,24
S01001287,621,242,112,154,4,15,50,44
S01001288,745,320,104,173,3,22,39,84
S01001289,592,298,54,124,6,12,38,60
S01001290,536,306,62,100,1,8,22,37
S01001291,312,148,42,69,-,8,20,25
S01001292,593,204,70,204,7,17,50,41
S01001293,662,318,96,154,6,12,33,43
S01001294,517,216,50,145,2,15,44,45
S01001295,704,326,64,147,5,19,46,97
S01001296,509,186,80,111,4,20,45,63
S01001297,686,288,126,148,3,30,45,46
S01001298,691,284,84,188,6,23,49,57
S01001299,695,342,88,162,5,16,34,48
S01001300,1206,658,106,281,9,27,64,61
S01001301,451,196,50,135,3,6,23,38
S01001302,669,410,38,119,9,10,17,66
S01001303,493,302,50,81,2,13,18,27
S01001304,1083,692,116,185,5,12,24,49
S01001305,622,266,94,138,3,13,47,61
S01001306,576,256,80,132,5,15,33,55
S01001307,945,512,90,202,3,24,49,65
S01001308,766,280,122,198,4,20,60,82
S01001309,527,172,72,161,4,14,54,50
S01001310,598,218,70,167,3,28,53,59
S01001311,514,244,84,110,2,11,28,35
S01001312,613,232,76,184,2,24,46,49
S01001313,742,322,99,168,3,20,61,69
S01001314,634,372,46,138,2,8,32,36
S01001315,851,492,66,175,12,14,34,58
S01001316,732,284,124,208,2,19,38,57
S01001317,761,368,94,172,2,11,43,71
S01001318,462,248,34,95,2,11,25,47
S01001319,563,268,74,117,2,15,29,58
S01001320,701,264,98,186,7,23,57,66
S01001321,481,278,32,105,6,9,21,30
S01001322,650,402,58,113,2,11,24,40
S01001323,443,198,46,127,2,17,41,12
S01001324,702,178,120,250,8,39,58,49
S01001325,541,194,50,197,6,19,48,27
S01001326,741,350,82,161,5,19,43,81
S01001327,643,244,86,187,6,26,42,52
S01001328,656,232,76,210,3,21,48,66
S01001329,456,182,50,124,-,15,38,47
S01001330,724,462,42,130,1,12,32,45
S01001331,700,290,92,166,4,16,47,85
S01001332,707,298,92,172,-,26,51,68
S01001333,676,184,120,184,4,29,67,88
S01001334,636,238,112,194,5,14,45,28
S01001335,796,308,88,216,7,21,65,91
S01001336,705,320,76,181,6,17,38,67
S01001337,630,372,52,114,8,14,34,36
S01001338,586,222,56,192,3,32,45,36
S01001339,619,290,94,140,1,16,32,46
S01001340,577,220,90,160,4,16,36,51
S01001341,666,236,108,202,6,16,57,41
S01001342,795,356,98,179,1,20,54,87
S01001343,763,348,90,171,1,27,59,67
S01001344,654,370,72,120,-,13,33,46
S01001345,543,170,70,147,7,26,43,80
S01001346,607,334,66,124,3,9,30,41
S01001347,605,378,38,127,1,12,15,34
S01001348,561,227,68,141,8,19,38,60
S01001349,658,408,64,141,8,10,11,16
S01001350,526,212,66,147,2,12,36,51
S01001351,399,182,36,128,-,12,20,21
S01001352,690,378,66,122,5,13,39,67
S01001353,1027,666,116,185,4,13,19,24
S01001354,660,242,90,192,3,39,47,47
S01001355,618,340,40,137,5,15,39,42
S01001356,573,322,60,98,4,8,27,54
S01001357,645,182,76,190,7,28,71,91
S01001358,764,372,88,167,5,34,37,61
S01001359,574,332,50,135,2,7,17,31
S01001360,926,484,116,179,2,28,59,58
S01001361,558,242,84,145,2,13,37,35
S01001362,488,314,31,71,4,4,16,48
S01001363,505,114,82,183,1,23,50,52
S01001364,723,314,82,163,2,34,58,70
S01001365,510,202,60,138,5,16,44,45
S01001366,766,474,42,145,5,11,17,72
S01001367,611,276,40,170,6,15,22,82
S01001368,946,589,114,155,7,25,20,36
S01001369,796,386,86,185,4,24,37,74
S01001370,706,366,84,151,4,18,33,50
S01001371,528,170,64,165,7,10,51,61
S01001372,583,358,58,109,3,9,27,19
S01001373,528,284,44,118,1,13,28,40
S01001374,439,282,26,80,2,6,15,28
S01001375,544,356,34,100,2,9,8,35
S01001376,689,172,114,231,3,41,76,52
S01001377,649,252,70,161,4,25,64,73
S01001378,545,268,50,138,7,18,27,37
S01001379,853,398,88,204,1,31,52,79
S01001380,689,248,94,177,-,31,63,76
S01001381,681,360,54,138,4,21,39,65
S01001382,612,126,86,204,3,28,64,101
S01001383,473,218,32,136,9,10,21,47
S01001384,744,308,86,215,2,14,65,54
S01001385,663,190,110,205,5,23,64,66
S01001386,746,260,110,245,2,37,59,33
S01001387,750,382,78,173,9,18,31,59
S01001388,1049,288,214,357,9,52,74,55
S01001389,392,190,38,96,-,8,25,35
S01001390,621,336,54,144,-,21,30,36
S01001391,551,222,66,162,3,31,43,24
S01001392,563,134,110,219,2,26,39,33
S01001393,435,238,44,99,4,9,17,24
S01001394,336,82,68,131,1,15,28,11
S01001395,683,310,98,188,3,29,27,28
S01001396,552,214,88,169,-,20,35,26
S01001397,611,172,92,222,5,26,55,39
S01001398,672,416,30,141,1,6,16,62
S01001399,655,206,80,242,3,17,52,55
S01001400,688,242,98,201,3,32,66,46
S01001401,544,188,70,173,4,20,38,51
S01001402,703,444,68,126,2,10,21,32
S01001403,940,634,76,162,2,16,34,16
S01001404,494,308,56,102,2,8,10,8
S01001405,920,588,86,177,2,15,37,15
S01001406,1942,1150,282,340,9,44,52,65
S01001407,708,384,68,139,8,11,40,58
S01001408,730,314,84,180,3,19,54,76
S01001409,731,392,66,160,1,17,48,47
S01001410,810,452,84,160,7,18,32,57
S01001411,525,308,38,120,6,8,24,21
S01001412,713,282,110,195,1,16,56,53
S01001413,706,442,74,120,4,7,32,27
S01001414,547,192,82,146,2,17,51,57
S01001415,676,220,82,188,7,38,68,73
S01001416,561,284,54,132,3,15,21,52
S01001417,787,440,88,160,-,19,34,46
S01001418,725,462,44,126,3,11,21,58
S01001419,590,302,72,139,3,14,29,31
S01001420,906,594,66,161,14,17,25,29
S01001421,909,530,102,148,4,17,42,66
S01001422,573,376,50,116,1,5,9,16
S01001423,624,290,46,193,4,26,37,28
S01001424,856,280,84,278,6,47,68,93
S01001425,1264,602,114,345,16,35,74,78
S01001426,625,286,40,191,9,20,37,42
S01001427,697,414,50,159,3,10,25,36
S01001428,718,286,60,228,6,26,56,56
S01001429,524,168,48,174,3,17,56,58
S01001430,800,452,36,179,7,13,16,97
S01001431,756,438,42,190,8,25,14,39
S01001432,540,302,38,148,2,10,21,19
S01001433,713,446,24,156,2,16,16,53
S01001434,751,428,34,174,3,10,16,86
S01001435,848,498,44,214,2,15,26,49
S01001436,805,474,58,168,7,9,28,61
S01001437,779,470,38,183,5,10,18,55
S01001438,492,322,14,94,-,6,13,43
S01001439,620,358,20,154,7,9,24,48
S01001440,742,418,38,180,2,15,35,54
S01001441,676,398,26,150,5,10,11,76
S01001442,578,356,30,129,4,8,10,41
S01001443,777,462,60,159,2,15,25,54
S01001444,759,384,52,220,6,22,43,32
S01001445,580,332,54,116,1,16,24,37
S01001446,767,494,28,147,4,5,14,75
S01001447,1028,596,62,241,5,29,45,50
S01001448,645,326,40,149,5,19,34,72
S01001449,492,302,10,112,6,8,14,40
S01001450,672,372,26,163,7,11,14,79
S01001451,560,352,42,101,3,18,12,32
S01001452,686,400,46,141,8,13,22,56
S01001453,667,428,30,138,4,11,24,32
S01001454,777,478,46,156,7,4,23,63
S01001455,622,350,38,146,1,13,18,56
S01001456,550,340,26,88,5,6,25,60
S01001457,763,468,34,171,4,9,23,54
S01001458,780,434,48,176,3,16,35,68
S01001459,735,504,34,121,7,11,15,43
S01001460,543,326,34,128,5,7,12,31
S01001461,694,434,22,146,5,11,18,58
S01001462,679,428,20,129,8,10,25,59
S01001463,457,264,18,86,2,4,12,71
S01001464,728,436,40,151,6,23,18,54
S01001465,573,370,26,113,1,8,23,32
S01001466,586,360,26,123,7,11,16,43
S01001467,668,420,38,153,3,10,20,24
S01001468,555,344,30,115,2,6,11,47
S01001469,699,410,32,154,8,11,28,56
S01001470,727,484,30,142,2,5,20,44
S01001471,585,380,22,127,2,7,9,38
S01001472,676,428,16,146,4,16,22,44
S01001473,653,368,32,124,8,22,36,63
S01001474,690,366,58,135,3,19,34,75
S01001475,507,316,22,91,3,9,17,49
S01001476,775,506,40,160,6,8,19,36
S01001477,753,462,38,163,6,13,30,41
S01001478,556,388,6,98,4,2,11,47
S01001479,518,274,40,109,7,15,28,45
S01001480,411,262,24,78,1,8,13,25
S01001481,715,434,26,150,9,11,30,55
S01001482,568,202,60,179,2,13,60,52
S01001483,835,586,24,149,6,8,17,45
S01001484,668,456,44,96,2,3,19,48
S01001485,505,310,24,118,4,13,13,23
S01001486,623,382,4,116,6,8,25,82
S01001487,542,242,42,171,2,17,29,39
S01001488,714,442,26,145,7,13,37,44
S01001489,530,296,38,110,1,15,36,34
S01001490,809,274,112,270,6,31,66,50
S01001491,690,440,50,124,8,9,25,34
S01001492,741,284,66,217,4,24,81,65
S01001493,747,438,46,169,3,19,32,40
S01001494,748,288,88,221,7,23,74,47
S01001495,508,334,22,98,11,6,5,32
S01001496,758,456,36,160,4,14,32,56
S01001497,642,204,64,232,5,27,60,50
S01001498,559,362,22,112,1,9,17,36
S01001499,861,476,78,190,4,18,38,57
S01001500,447,176,40,132,4,9,32,54
S01001501,709,466,36,106,4,10,25,62
S01001502,712,418,36,167,1,12,19,59
S01001503,664,384,48,167,4,17,18,26
S01001504,756,292,94,210,7,23,64,66
S01001505,846,546,54,132,7,14,16,77
S01001506,520,174,76,156,5,21,52,36
S01001507,718,470,28,153,11,9,14,33
S01001508,725,472,32,155,6,10,24,26
S01001509,673,276,60,209,3,29,40,56
S01001510,540,234,30,122,7,22,59,66
S01001511,488,308,22,96,2,4,16,40
S01001512,645,200,68,224,4,33,63,53
S01001513,656,142,84,260,4,56,69,41
S01001514,648,342,38,166,3,25,39,35
S01001515,581,356,22,119,4,9,10,61
S01001516,589,246,52,172,1,15,36,67
S01001517,755,238,50,219,8,27,67,146
S01001518,833,338,72,259,5,28,59,72
S01001519,812,496,32,170,4,18,21,71
S01001520,568,262,54,150,-,26,24,52
S01001521,828,444,36,190,8,22,44,84
S01001522,891,354,62,245,9,32,87,102
S01001523,599,376,34,140,3,10,16,20
S01001524,764,298,92,217,5,30,56,66
S01001525,664,328,60,160,2,24,47,43
S01001526,531,282,38,144,4,16,23,24
S01001527,715,340,62,206,3,19,45,40
S01001528,794,508,28,194,5,11,11,37
S01001529,600,270,52,134,9,15,37,83
S01001530,592,256,50,174,2,21,45,44
S01001531,846,372,122,237,7,38,48,22
S01001532,480,274,22,79,5,10,27,63
S01001533,767,492,52,129,2,8,21,63
S01001534,567,374,24,120,4,11,11,23
S01001535,712,402,34,190,3,18,20,45
S01001536,646,308,62,175,5,20,29,47
S01001537,414,160,40,138,2,11,20,43
S01001538,653,404,22,131,5,10,35,46
S01001539,672,402,38,175,3,13,20,21
S01001540,625,394,26,157,4,11,15,18
S01001541,710,422,36,138,8,11,34,61
S01001542,576,322,40,135,8,12,30,29
S01001543,592,318,46,147,1,20,28,32
S01001544,771,364,70,217,-,23,47,50
S01001545,627,338,60,166,3,11,24,25
S01001546,779,272,78,252,5,38,76,58
S01001547,718,286,64,215,4,35,63,51
S01001548,815,472,102,165,1,19,34,22
S01001549,828,434,84,196,1,15,37,61
S01001550,642,372,96,105,3,12,30,24
S01001551,742,426,72,141,5,9,37,52
S01001552,695,328,90,159,6,30,47,35
S01001553,727,446,64,117,5,18,34,43
S01001554,790,484,76,129,2,12,28,59
S01001555,601,252,80,155,12,16,41,45
S01001556,691,364,62,147,3,18,47,50
S01001557,731,474,60,127,2,18,26,24
S01001558,690,360,82,131,5,10,34,68
S01001559,340,162,36,76,2,7,27,30
S01001560,520,216,55,145,4,20,46,34
S01001561,998,524,152,194,6,28,52,42
S01001562,1911,1042,302,369,16,31,79,72
S01001563,470,274,46,97,-,5,19,29
S01001564,457,240,36,108,3,9,27,34
S01001565,616,236,82,158,5,17,56,62
S01001566,521,292,44,109,2,12,21,41
S01001567,783,438,106,141,2,12,39,45
S01001568,610,362,45,142,2,12,17,30
S01001569,614,318,110,128,7,11,21,19
S01001570,390,234,50,79,1,6,12,8
S01001571,561,208,94,152,-,19,38,50
S01001572,448,238,36,106,5,6,21,36
S01001573,526,308,60,89,8,18,22,21
S01001574,709,300,68,197,3,20,65,56
S01001575,615,248,72,177,3,24,52,39
S01001576,510,242,62,110,1,14,26,55
S01001577,594,314,58,141,1,15,32,33
S01001578,631,308,80,128,1,14,36,64
S01001579,635,278,84,166,6,23,39,39
S01001580,491,258,18,118,5,14,30,48
S01001581,560,314,36,129,2,14,31,34
S01001582,584,230,96,141,4,35,37,41
S01001583,383,184,34,107,1,8,25,24
S01001584,635,282,80,148,7,14,46,58
S01001585,769,248,100,223,8,32,65,93
S01001586,381,242,22,90,-,6,10,11
S01001587,638,240,76,165,2,23,54,78
S01001588,596,228,77,195,6,14,52,24
S01001589,681,320,72,156,2,30,59,42
S01001590,521,226,66,141,4,25,20,39
S01001591,506,216,52,124,4,8,37,65
S01001592,623,250,98,186,4,16,40,29
S01001593,669,270,104,191,3,16,50,35
S01001594,735,228,116,209,1,23,63,95
S01001595,539,172,94,170,4,19,50,30
S01001596,642,318,82,146,4,6,37,49
S01001597,561,172,94,172,6,20,46,51
S01001598,579,340,38,122,4,9,21,45
S01001599,833,226,160,265,4,28,87,63
S01001600,887,300,110,265,7,24,95,86
S01001601,959,580,104,164,5,17,41,48
S01001602,538,292,62,104,1,16,23,40
S01001603,781,342,122,206,1,21,46,43
S01001604,459,168,56,155,1,9,41,29
S01001605,628,348,70,111,5,20,25,49
S01001606,501,194,58,161,3,11,36,38
S01001607,2023,1050,400,405,11,44,57,56
S01001608,710,372,68,170,-,18,34,48
S01001609,708,332,94,160,-,20,53,49
S01001610,637,304,84,115,4,24,42,64
S01001611,835,498,72,163,4,18,41,39
S01001612,679,422,52,119,7,8,32,39
S01001613,608,276,90,161,3,15,41,22
S01001614,551,218,64,99,6,20,40,104
S01001615,650,256,112,168,6,25,54,29
S01001616,544,390,32,83,1,8,13,17
S01001617,511,226,38,129,3,11,37,67
S01001618,771,402,94,151,3,19,49,53
S01001619,575,272,48,133,4,20,41,57
S01001620,776,353,64,160,4,15,64,116
S01001621,565,298,48,135,2,14,21,47
S01001622,665,246,90,171,5,34,69,50
S01001623,637,296,60,126,3,9,57,86
S01001624,796,396,72,193,2,14,53,66
S01001625,632,252,78,184,3,15,51,49
S01001626,564,282,58,118,4,20,37,45
S01001627,1106,510,174,240,6,37,70,69
S01001628,453,196,56,124,-,19,40,18
S01001629,487,252,42,99,1,10,37,46
S01001630,460,146,62,147,6,24,41,34
S01001631,1098,552,181,222,8,34,48,53
S01001632,447,268,42,92,3,7,22,13
S01001633,732,512,36,107,3,7,26,41
S01001634,777,478,58,160,3,9,34,35
S01001635,620,310,92,135,1,13,33,36
S01001636,419,252,28,87,4,10,14,24
S01001637,568,336,66,100,4,10,22,30
S01001638,744,326,90,195,8,22,51,52
S01001639,605,318,54,103,6,17,44,63
S01001640,557,384,30,83,2,8,12,38
S01001641,1158,740,122,182,3,15,42,54
S01001642,787,456,64,125,4,9,48,81
S01001643,605,340,62,98,5,15,33,52
S01001644,1275,734,148,251,3,30,58,51
S01001645,754,340,108,187,2,15,50,52
S01001646,493,288,58,94,1,7,17,28
S01001647,574,322,52,87,3,6,31,73
S01001648,597,306,66,133,3,11,32,46
S01001649,628,262,104,140,3,16,49,54
S01001650,601,280,74,152,5,18,32,40
S01001651,752,390,80,149,3,18,33,79
S01001652,637,424,50,83,7,11,21,41
S01001653,525,174,88,144,11,22,63,23
S01001654,705,460,44,103,8,18,35,37
S01001655,466,282,26,75,3,7,32,41
S01001656,1056,534,128,189,11,36,84,74
S01001657,408,250,36,68,6,2,22,24
S01001658,816,476,60,173,5,14,43,45
S01001659,563,350,32,59,4,19,26,73
S01001660,577,372,36,66,5,8,18,72
S01001661,657,392,62,112,11,11,27,42
S01001662,593,296,62,117,1,22,52,43
S01001663,673,428,32,119,4,8,30,52
S01001664,423,280,26,77,1,5,18,16
S01001665,694,394,32,96,6,18,32,116
S01001666,462,266,22,96,2,17,22,37
S01001667,671,380,16,129,9,17,34,86
S01001668,673,444,50,91,7,7,21,53
S01001669,581,178,86,166,8,22,75,46
S01001670,492,290,36,97,4,12,22,31
S01001671,424,246,38,88,-,6,22,24
S01001672,476,202,36,128,4,15,27,64
S01001673,521,286,42,106,8,17,32,30
S01001674,582,274,46,122,2,23,53,62
S01001675,566,354,16,119,5,10,20,42
S01001676,946,584,50,165,19,13,35,80
S01001677,687,430,26,150,8,18,22,33
S01001678,687,410,50,162,3,17,25,20
S01001679,652,424,24,122,11,12,19,40
S01001680,504,336,16,79,8,8,13,44
S01001681,529,348,24,97,9,5,9,37
S01001682,502,286,34,134,2,14,12,20
S01001683,618,364,24,121,6,10,39,54
S01001684,429,276,34,70,-,5,17,27
S01001685,590,280,40,150,4,22,41,53
S01001686,720,470,22,130,1,8,30,59
S01001687,832,418,20,168,10,24,60,132
S01001688,721,350,52,187,5,26,56,45
S01001689,567,362,18,117,3,8,20,39
S01001690,663,378,56,124,3,10,53,39
S01001691,702,478,10,134,2,6,15,57
S01001692,508,262,32,123,4,16,27,44
S01001693,581,378,30,128,6,9,15,15
S01001694,541,262,42,131,2,18,44,42
S01001695,628,336,34,157,6,20,35,40
S01001696,601,320,44,155,3,14,39,26
S01001697,694,384,44,182,2,11,36,35
S01001698,421,202,32,107,1,14,18,47
S01001699,484,322,34,103,1,6,13,5
S01001700,774,530,20,144,5,10,17,48
S01001701,717,334,34,168,-,21,51,109
S01001702,812,456,30,146,4,13,51,112
S01001703,643,354,30,166,11,13,36,33
S01001704,765,474,20,171,20,10,14,56
S01001705,493,282,50,108,5,12,23,13
S01001706,633,404,28,143,4,6,15,33
S01001707,617,234,40,187,9,27,76,44
S01001708,745,392,38,180,10,22,38,65
S01001709,477,234,44,137,2,13,29,18
S01001710,553,266,56,144,3,12,37,35
S01001711,613,364,34,148,1,12,27,27
S01001712,381,206,36,93,2,5,17,22
S01001713,685,416,20,182,5,21,20,21
S01001714,558,362,18,111,3,8,21,35
S01001715,679,460,22,153,5,10,13,16
S01001716,710,304,74,208,4,20,44,56
S01001717,618,390,26,130,1,16,26,29
S01001718,415,238,28,100,1,10,14,24
S01001719,614,400,26,137,5,4,14,28
S01001720,501,322,32,97,2,15,20,13
S01001721,602,338,40,120,2,20,29,53
S01001722,584,324,38,137,3,12,31,39
S01001723,711,446,20,145,9,18,26,47
S01001724,616,254,48,175,7,31,44,57
S01001725,614,270,48,185,1,13,36,61
S01001726,512,326,24,109,2,14,15,22
S01001727,811,446,42,182,6,12,27,96
S01001728,489,326,22,99,2,3,21,16
S01001729,773,442,38,189,4,20,34,46
S01001730,502,346,12,81,4,12,13,34
S01001731,542,350,32,107,1,3,13,36
S01001732,471,274,26,108,2,8,17,36
S01001733,673,344,66,159,6,19,24,55
S01001734,434,276,18,95,2,3,8,32
S01001735,378,234,22,86,-,4,8,24
S01001736,900,614,16,168,7,6,20,69
S01001737,476,302,36,94,1,5,23,15
S01001738,473,310,20,105,-,6,7,25
S01001739,488,284,46,106,1,15,23,13
S01001740,608,330,70,145,1,13,21,28
S01001741,496,216,38,153,3,15,41,30
S01001742,554,202,88,174,5,17,39,29
S01001743,753,260,60,258,5,32,68,70
S01001744,436,266,30,102,7,5,14,12
S01001745,661,374,40,157,3,16,34,37
S01001746,718,466,26,140,3,6,17,60
S01001747,712,312,50,197,4,17,56,76
S01001748,515,334,22,106,3,3,7,40
S01001749,622,272,46,150,3,17,56,78
S01001750,574,310,40,134,4,10,26,50
S01001751,757,334,80,214,4,18,54,53
S01001752,762,486,28,173,6,6,21,42
S01001753,610,234,46,204,4,25,51,46
S01001754,584,386,20,120,7,10,11,30
S01001755,839,434,42,253,2,13,41,54
S01001756,539,296,16,106,9,6,16,90
S01001757,628,314,39,173,9,17,42,34
S01001758,627,350,28,117,5,11,21,95
S01001759,564,118,78,229,1,35,61,42
S01001760,642,282,78,185,7,14,38,38
S01001761,582,174,54,212,3,23,62,54
S01001762,779,376,40,156,9,21,44,133
S01001763,600,420,18,116,3,8,13,22
S01001764,413,250,24,101,2,4,15,17
S01001765,818,366,52,223,2,18,52,105
S01001766,525,302,12,142,7,12,20,30
S01001767,479,296,22,95,1,8,14,43
S01001768,500,256,44,133,5,11,22,29
S01001769,554,306,18,121,3,9,22,75
S01001770,470,96,68,193,1,37,58,17
S01001771,680,318,46,208,6,14,34,54
S01001772,456,172,28,137,5,14,27,73
S01001773,780,298,82,257,5,25,68,45
S01001774,506,280,32,122,-,12,21,39
S01001775,669,384,26,131,8,13,21,86
S01001776,533,196,46,160,4,11,47,69
S01001777,697,420,50,158,6,11,20,32
S01001778,705,266,42,248,11,28,54,56
S01001779,460,264,16,84,1,9,15,71
S01001780,684,298,48,196,7,17,46,72
S01001781,536,326,20,115,7,11,15,42
S01001782,807,454,40,190,18,14,16,75
S01001783,421,122,46,166,2,18,40,27
S01001784,495,240,30,113,6,9,26,71
S01001785,538,324,28,135,1,4,20,26
S01001786,442,266,42,85,3,6,15,25
S01001787,501,326,30,92,1,5,17,30
S01001788,678,416,48,155,-,8,14,37
S01001789,560,218,80,162,7,25,43,25
S01001790,584,356,32,103,-,13,36,44
S01001791,586,400,26,99,2,10,18,31
S01001792,562,342,38,110,1,6,28,37
S01001793,690,368,46,142,8,18,46,62
S01001794,732,454,50,122,2,16,30,58
S01001795,357,208,30,76,3,14,15,11
S01001796,698,498,26,94,5,7,16,52
S01001797,561,264,40,130,2,13,36,76
S01001798,701,510,26,95,4,5,15,46
S01001799,765,284,72,269,6,39,59,36
S01001800,751,464,66,157,2,11,31,20
S01001801,788,550,46,136,7,5,16,28
S01001802,653,310,122,148,1,19,31,22
S01001803,817,448,96,188,3,20,41,21
S01001804,797,410,84,175,3,17,59,49
S01001805,599,302,46,125,4,12,45,65
S01001806,555,322,44,109,1,9,22,48
S01001807,707,448,38,129,3,11,17,61
S01001808,459,222,46,97,3,15,35,41
S01001809,787,190,102,280,13,39,105,58
S01001810,745,402,74,165,7,13,41,43
S01001811,570,387,24,91,5,4,16,43
S01001812,689,480,22,119,6,8,12,42
S01001813,597,368,24,137,3,6,22,37
S01001814,576,362,48,118,5,8,15,20
S01001815,698,432,32,129,6,9,33,57
S01001816,841,584,30,126,4,14,38,45
S01001817,550,216,59,153,9,18,39,56
S01001818,650,422,35,108,8,5,14,58
S01001819,808,568,24,121,2,11,29,53
S01001820,590,176,82,198,5,24,57,48
S01001821,364,284,18,44,2,3,5,8
S01001822,865,418,86,201,9,18,66,67
S01001823,677,226,60,214,4,32,52,89
S01001824,617,304,26,150,8,18,45,66
S01001825,660,376,52,157,8,10,35,22
S01001826,489,120,64,150,-,24,75,56
S01001827,630,246,74,198,1,37,35,39
S01001828,551,342,32,139,5,11,12,10
S01001829,604,268,74,124,5,12,47,74
S01001830,721,484,22,146,2,10,28,29
S01001831,623,264,62,160,3,19,35,80
S01001832,554,234,72,154,3,15,32,44
S01001833,920,588,64,146,6,18,46,52
S01001834,527,192,67,145,2,15,45,61
S01001835,502,296,38,121,5,6,19,17
S01001836,689,402,50,140,6,19,27,45
S01001837,743,450,46,149,6,8,33,51
S01001838,528,226,66,147,6,8,29,46
S01001839,712,222,74,239,8,32,66,71
S01001840,590,396,20,102,3,8,18,43
S01001841,540,240,50,157,5,16,52,20
S01001842,594,316,76,131,12,15,25,19
S01001843,570,168,68,196,7,19,63,49
S01001844,804,484,56,152,2,9,27,74
S01001845,603,422,28,113,2,6,13,19
S01001846,676,444,28,125,11,6,31,31
S01001847,719,260,82,213,7,24,63,70
S01001848,619,200,74,188,2,21,80,54
S01001849,486,320,28,78,6,6,13,35
S01001850,595,230,64,200,4,17,47,33
S01001851,627,386,52,124,6,17,23,19
S01001852,652,428,34,118,-,14,18,40
S01001853,616,396,46,99,5,3,21,46
S01001854,774,464,32,117,4,10,42,105
S01001855,643,366,66,128,3,19,22,39
S01001856,653,206,65,184,6,21,85,86
S01001857,561,248,44,148,5,19,28,69
S01001858,676,392,36,137,3,14,24,70
S01001859,815,328,96,247,13,16,63,52
S01001860,611,434,18,82,-,8,21,48
S01001861,663,186,94,230,2,21,67,63
S01001862,661,430,30,121,9,12,27,32
S01001863,685,452,48,111,1,5,29,39
S01001864,986,264,128,378,20,37,109,50
S01001865,505,118,48,227,6,25,65,16
S01001866,556,382,38,79,-,6,15,36
S01001867,574,240,70,153,8,22,45,36
S01001868,563,342,44,103,1,4,21,48
S01001869,722,374,76,152,8,23,35,54
S01001870,719,186,84,281,13,28,76,51
S01001871,1394,694,128,299,23,28,98,124
S01001872,664,320,68,173,9,15,29,50
S01001873,594,404,34,99,7,6,11,33
S01001874,821,222,140,305,24,40,74,16
S01001875,701,516,28,103,7,5,8,34
S01001876,837,296,84,284,7,22,63,81
S01001877,688,178,76,293,11,36,68,26
S01001878,868,590,36,138,10,7,29,58
S01001879,517,72,60,246,16,26,71,26
S01001880,606,152,78,231,9,28,85,23
S01001881,637,396,50,127,1,8,19,36
S01001882,627,294,78,159,7,20,41,28
S01001883,434,272,30,79,5,9,17,22
S01001884,771,270,78,232,10,19,74,88
S01001885,940,622,58,155,12,10,26,57
S01001886,486,104,52,167,4,28,99,32
S01001887,670,332,70,160,7,22,41,38
S01001888,707,456,44,114,10,13,25,45
S01001889,466,236,46,109,3,10,26,36
S01001890,779,312,82,257,4,26,63,35
S01001891,595,214,54,191,10,12,45,69
S01001892,775,194,108,320,10,36,77,30
S01001893,806,194,120,323,8,29,96,36
S01001894,567,108,72,258,8,38,55,28
S01001895,683,256,83,208,11,19,50,56
S01001896,625,376,44,132,3,12,22,36
