,All people aged 16 and over in households,Living in a couple: Married or in a registered same-sex civil partnership,Living in a couple: Cohabiting,Not living in a couple: Single (never married or never registered a same-sex civil partnership),Not living in a couple: Married or in a registered same-sex civil partnership,Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership),Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Not living in a couple: Widowed or surviving partner from a same-sex civil partnership
S01000092,859,150,168,438,22,24,43,14
S01000093,624,140,122,285,18,14,34,11
S01000094,678,84,112,431,8,10,25,8
S01000095,638,170,124,261,11,7,44,21
S01000096,591,210,58,153,3,28,75,64
S01000097,785,422,72,179,16,18,41,37
S01000098,1091,174,218,597,21,14,58,9
S01000099,699,412,74,137,5,4,18,49
S01000100,743,112,134,392,24,23,42,16
S01000101,746,346,90,224,8,13,39,26
S01000102,734,138,108,347,23,15,66,37
S01000103,573,104,108,296,8,14,33,10
S01000104,714,444,46,127,11,12,26,48
S01000105,753,370,80,179,5,18,49,52
S01000106,566,312,58,126,5,14,29,22
S01000107,1180,160,218,695,30,22,46,9
S01000108,652,154,94,280,29,17,42,36
S01000109,989,154,150,506,18,25,91,45
S01000110,706,368,67,113,7,12,49,90
S01000111,649,278,96,204,8,8,29,26
S01000112,888,182,128,436,9,19,64,50
S01000113,513,254,56,142,3,7,23,28
S01000114,605,202,94,200,9,21,54,25
S01000115,707,314,78,178,6,14,40,77
S01000116,876,182,208,413,10,16,37,10
S01000117,799,420,58,200,12,11,33,65
S01000118,595,292,84,126,9,16,31,37
S01000119,789,134,126,409,17,8,63,32
S01000120,495,154,90,190,10,9,24,18
S01000121,593,306,52,139,7,9,38,42
S01000122,581,216,80,163,3,22,51,46
S01000123,540,332,54,86,10,10,19,29
S01000124,815,150,126,441,10,16,51,21
S01000125,550,122,77,243,8,12,63,25
S01000126,900,126,146,448,20,16,71,73
S01000127,615,352,56,133,7,12,24,31
S01000128,1006,154,194,563,14,26,48,7
S01000129,526,68,62,330,13,8,15,30
S01000130,1479,240,252,840,21,25,62,39
S01000131,563,192,98,194,3,9,31,36
S01000132,675,182,128,289,12,8,40,16
S01000133,678,314,68,172,5,17,51,51
S01000134,554,208,80,168,3,15,46,34
S01000135,577,128,104,237,2,21,56,29
S01000136,522,210,72,117,7,13,48,55
S01000137,845,176,154,412,10,17,57,19
S01000138,790,128,126,462,7,12,36,19
S01000139,668,336,58,153,3,7,30,81
S01000140,753,380,79,124,9,16,57,88
S01000141,670,352,62,154,13,8,34,47
S01000142,543,200,86,153,6,16,51,31
S01000143,501,358,30,67,3,4,14,25
S01000144,709,92,112,455,11,9,28,2
S01000145,708,258,86,167,6,24,70,97
S01000146,1438,228,285,767,18,32,92,16
S01000147,938,164,158,517,12,22,53,12
S01000148,481,162,64,149,4,19,47,36
S01000149,1128,188,220,574,25,16,72,33
S01000150,495,214,64,136,1,13,35,32
S01000151,735,304,66,168,6,15,71,105
S01000152,1063,328,186,414,20,20,64,31
S01000153,915,138,172,503,12,27,42,21
S01000154,454,244,30,85,1,8,33,53
S01000155,627,250,78,158,1,17,51,72
S01000156,868,178,134,454,12,26,38,26
S01000157,608,146,104,189,11,21,67,70
S01000158,772,332,62,232,10,25,42,69
S01000159,690,436,82,109,3,9,29,22
S01000160,635,310,86,123,7,18,32,59
S01000161,861,190,96,496,7,13,24,35
S01000162,754,318,64,227,12,17,58,58
S01000163,879,406,108,211,9,20,58,67
S01000164,505,108,124,176,7,8,41,41
S01000165,788,180,122,326,12,23,66,59
S01000166,1075,178,140,661,14,17,29,36
S01000167,570,266,64,132,2,10,44,52
S01000168,818,358,98,181,5,22,60,94
S01000169,608,290,70,132,5,14,38,59
S01000170,1053,252,134,579,7,7,35,39
S01000171,772,468,140,103,6,15,30,10
S01000172,410,184,40,117,14,10,20,25
S01000173,695,244,72,227,17,18,56,61
S01000174,646,472,34,95,-,4,24,17
S01000175,482,86,113,220,11,14,31,7
S01000176,560,80,66,352,12,12,22,16
S01000177,497,178,80,188,5,4,20,22
S01000178,619,274,60,170,4,23,49,39
S01000179,742,208,98,218,12,37,92,77
S01000180,535,252,46,126,6,16,42,47
S01000181,496,218,48,159,1,9,41,20
S01000182,724,336,98,184,3,20,36,47
S01000183,928,183,146,491,19,19,58,12
S01000184,664,280,68,228,5,8,32,43
S01000185,771,172,116,343,13,25,78,24
S01000186,849,382,80,173,7,21,61,125
S01000187,519,240,46,136,6,16,27,48
S01000188,674,190,94,221,15,16,80,58
S01000189,439,174,64,137,5,10,28,21
S01000190,695,314,72,177,2,23,51,56
S01000191,1079,410,168,363,18,17,51,52
S01000192,627,134,108,246,12,24,63,40
S01000193,562,256,82,139,5,13,42,25
S01000194,697,204,108,284,11,21,50,19
S01000195,621,168,84,258,10,19,56,26
S01000196,687,236,108,245,5,27,45,21
