DataZone2001,simd2012score,simd2012rank,simd2012_sc_quintile,simd2012_sc_decile,simd2012_hb2006_quintile,simd2012_hb2006_decile,simd2012_hb2014_quintile,simd2012_hb2014_decile,simd2012_ca_quintile,simd2012_ca_decile,simd2012_chp2007_quintile,simd2012_chp2007_decile,simd2012_chp2011_quintile,simd2012_chp2011_decile,simd2012_chp2011sub_quintile,simd2012_chp2011sub_decile,simd2012_chp2012_quintile,simd2012_chp2012_decile,simd2012tp15,simd2012bt15,simd2012_inc_rate,simd2012_inc_dep_N,simd2012_inc_rank,simd2012_emp_rate,simd2012_emp_dep_N,simd2012_emp_rank,simd2012_hlth_score,simd2012_hlth_rank,simd2012_educ_score,simd2012_educ_rank,simd2012_house_score,simd2012_house_rank,simd2012_access_score,simd2012_access_rank,simd2012_crime_score,simd2012_crime_rank,total_pop_2010
S01000621,19.30474463,2869,3,5,2,4,2,4,2,3,2,3,2,3,2,3,2,3,0,0,16,155,2322,12,70,2879,-0.059806779,3392,0.124756226,2885,11.61161161,4451,10.30578366,4254,689,1069,987
S01000622,31.61131394,1460,2,3,1,2,1,2,1,1,1,1,1,1,1,1,1,1,0,0,23,120,1201,19,65,1590,0.520524159,1814,0.863473905,1169,16.08775137,3191,13.81797582,3620,486,1878,529
S01000623,23.58047769,2249,2,4,2,3,2,3,2,3,2,3,2,3,2,3,2,3,0,0,18,120,1928,18,75,1784,0.103280194,2920,0.485664658,2043,24.48717949,1644,4.951886821,5383,244,3663,670
S01000624,19.02348555,2912,3,5,2,4,2,4,2,3,2,3,2,3,2,3,2,3,0,0,15,80,2493,14,45,2486,-0.228793116,3812,0.346038497,2345,25.82781457,1495,7.595240429,4824,273,3378,524
S01000625,39.53204129,946,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,0,25,145,933,24,75,888,0.673746859,1462,1.149598447,642,25.58823529,1522,5.796845523,5207,791,807,575
S01000626,49.67466722,509,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,34,240,281,26,115,635,0.380850122,2187,1.586009509,208,21.65450122,1999,14.62010689,3477,531,1684,717
S01000627,18.19364413,3042,3,5,2,4,2,4,2,4,2,4,2,4,2,4,2,4,0,0,11,95,3294,12,70,2868,-0.215325609,3776,0.537244099,1913,13.85606874,3812,26.49907486,1928,183,4353,835
S01000628,27.44344273,1827,2,3,2,3,2,3,1,2,1,2,1,2,1,2,1,2,0,0,21,135,1441,17,55,1923,0.050767009,3074,0.88221352,1118,20.21466905,2256,9.937550251,4331,426,2216,649
S01000629,14.92761164,3629,3,6,3,5,3,5,3,5,3,5,3,5,3,5,3,5,0,0,12,115,3044,8,45,4263,-0.330424782,4137,-0.209540587,3743,4.102564103,6076,39.18301356,1037,217,3937,942
S01000630,20.55040523,2664,2,4,2,4,2,4,2,3,2,3,2,3,2,3,2,3,0,0,16,115,2153,15,60,2299,-0.106537755,3512,0.04945965,3071,9.699453552,4963,19.91481546,2687,295,3189,691
S01000631,28.82015678,1699,2,3,2,3,2,3,1,2,1,2,1,2,1,2,1,2,0,0,21,120,1395,21,70,1311,0.033887705,3127,0.726309522,1464,16.79748823,3012,7.431414772,4854,446,2088,563
S01000632,15.69417,3463,3,6,3,5,3,5,2,4,2,4,2,4,2,4,2,4,0,0,7,40,4396,9,35,3741,-0.403001788,4322,-0.620997337,4852,26.82512733,1384,71.20502291,209,148,4795,564
S01000633,7.994944063,5187,4,8,5,9,5,9,5,9,5,9,5,9,5,9,5,9,0,0,4,25,5575,5,20,5481,-0.853065917,5411,-0.368651137,4185,7.753164557,5374,36.25759728,1212,193,4221,584
S01000634,25.66846011,2013,2,3,2,3,2,3,1,2,1,2,1,2,1,2,1,2,0,0,18,130,1866,20,85,1465,-0.276101643,3973,0.32603406,2403,16.18004866,3168,28.40894002,1730,296,3179,729
S01000635,18.55305555,2986,3,5,2,4,2,4,2,3,2,3,2,3,2,3,2,3,0,0,11,70,3362,13,50,2693,-0.453757696,4459,0.40691163,2206,8.849557522,5157,37.07519123,1162,246,3631,640
S01000636,14.15586508,3806,3,6,3,5,3,5,3,5,3,5,3,5,3,5,3,5,0,0,7,35,4584,7,25,4419,-0.800832263,5312,-0.23816464,3830,18.03607214,2713,71.92932064,193,102,5411,509
S01000637,13.69431235,3897,3,6,3,6,3,6,3,5,3,5,3,5,3,5,3,5,0,0,7,45,4632,8,35,4244,-1.209278799,5997,-0.418315426,4331,16.80672269,3005,74.94157368,158, ,5973,689
S01000638,11.19809506,4445,4,7,4,7,4,7,4,7,4,7,4,7,4,7,4,7,0,0,4,25,5522,6,20,4940,-0.512886016,4621,-0.171333421,3628,10.18711019,4822,54.27425269,539,184,4338,619
S01000639,12.60704075,4115,4,7,3,6,3,6,3,6,3,6,3,6,3,6,3,6,0,0,7,40,4428,7,25,4652,-0.532040437,4671,-0.586079119,4758,15.34653465,3390,58.9749398,440,185,4324,585
S01000640,13.48060473,3946,3,6,3,6,3,6,3,5,3,5,3,5,3,5,3,5,0,0,9,60,3985,8,30,4124,-0.552782542,4721,-0.398893228,4272,11.33858268,4531,54.22445653,541, ,5969,680
S01000641,11.77514258,4310,4,7,3,6,3,6,3,6,3,6,3,6,3,6,3,6,0,0,5,40,5261,6,30,4791,0.047481528,3088,-0.771623783,5221,10.4993598,4753,57.28685192,479,99,5458,820
S01000642,11.77068742,4311,4,7,3,6,3,6,4,7,4,7,4,7,4,7,4,7,0,0,7,60,4601,7,35,4386,-1.139150157,5896,-0.615375527,4831,14.23173804,3690,57.97659333,466,172,4487,904
S01000643,11.74267543,4317,4,7,4,7,4,7,4,7,4,7,4,7,4,7,4,7,0,0,7,45,4375,6,20,4968,-1.070040302,5798,-0.481711577,4491,14.28571429,3670,61.72277346,373,96,5489,641
S01000644,11.70766633,4326,4,7,4,7,4,7,4,7,4,7,4,7,4,7,4,7,0,0,7,45,4536,8,30,4282,-0.713969933,5114,-0.388039622,4243,11.47058824,4495,45.33287073,778,124,5112,674
S01000645,16.99752379,3224,3,5,2,4,2,4,2,4,2,4,2,4,2,4,2,4,0,0,9,80,3980,10,60,3503,-0.22290317,3794,-0.233265637,3811,15.22248244,3426,63.70641316,335,219,3913,943
S01000646,8.499882788,5068,4,8,4,8,4,8,5,9,5,9,5,9,5,9,5,9,0,0,4,35,5391,6,30,4886,-0.421874014,4374,-0.437754852,4380,5.084745763,5883,27.43068768,1834,158,4667,797
S01000647,16.49286585,3314,3,5,3,5,3,5,2,4,2,4,2,4,2,4,2,4,0,0,11,85,3224,9,35,3684,-0.262478578,3927,0.249579832,2584,13.79703535,3831,32.2141222,1459,260,3501,749
S01000648,33.52118628,1316,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,0,0,21,180,1397,23,125,1038,0.428519842,2054,0.65538324,1602,21.75824176,1979,21.2562576,2525,698,1032,845
S01000649,11.98915849,4258,4,7,3,6,3,6,3,6,3,6,3,6,3,6,3,6,0,0,7,40,4615,8,25,4222,-0.948805933,5602,-0.710235117,5091,16.15120275,3177,61.4465762,383, ,6417,607
S01000650,14.71710486,3680,3,6,3,5,3,5,3,5,3,5,3,5,3,5,3,5,0,0,9,65,3899,12,55,2885,-0.474625376,4518,0.215625553,2668,18.04613297,2711,16.03515737,3246,216,3948,713
S01000651,20.8492179,2633,2,4,2,4,2,4,2,3,2,3,2,3,2,3,2,3,0,0,16,130,2318,16,70,2177,0.239886609,2552,-0.180012392,3646,12.51596424,4193,3.694840341,5659,753,893,840
S01000652,10.45522691,4627,4,8,4,7,4,7,4,8,4,8,4,8,4,8,4,8,0,0,9,75,3811,8,35,4119,-0.407219054,4333,-0.720600558,5113,13.62467866,3887,16.21632722,3214,182,4357,790
S01000653,24.24506693,2174,2,4,2,3,2,3,1,2,1,2,1,2,1,2,1,2,0,0,17,170,2009,17,90,1991,0.422430938,2074,0.201061361,2701,14.08751334,3728,4.793492083,5418,843,716,989
S01000654,21.51254624,2516,2,4,2,4,2,4,2,3,2,3,2,3,2,3,2,3,0,0,16,140,2356,15,80,2294,0.336387865,2306,0.388763788,2243,21.05263158,2101.5,7.273275716,4893,309,3078,896
S01000655,33.3199146,1332,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,0,0,26,190,866,22,95,1167,0.101119049,2928,0.740112307,1432,11.54328733,4473,19.3464907,2762,355,2706,730
S01000656,23.58234175,2248,2,4,2,3,2,3,2,3,2,3,2,3,2,3,2,3,0,0,19,150,1763,12,65,2880,0.05263705,3063,0.678532666,1552,21.51898734,2018,3.209007308,5776,909,596,814
S01000657,28.42031774,1723,2,3,2,3,2,3,1,2,1,2,1,2,1,2,1,2,0,0,22,160,1304,21,90,1307,0.351346224,2267,0.304797043,2445,13.13969571,4026,15.51672607,3332,164,4597,731
S01000658,29.28443803,1658,2,3,2,3,2,3,1,2,1,2,1,2,1,2,1,2,0,0,21,120,1388,19,65,1591,0.352786541,2262,0.497557239,2007,21.79930796,1971,0.870747717,6323,1165,325,562
S01000659,9.981514082,4739,4,8,4,8,4,8,4,8,4,8,4,8,4,8,4,8,0,0,8,100,4213,7,50,4389,-0.316683817,4093,-0.81699962,5321,9.005628518,5127,20.33418822,2632,254,3554,1290
S01000660,6.862741412,5452,5,9,5,9,5,9,5,9,5,9,5,9,5,9,5,9,0,0,5,55,5037,4,25,5650,-0.554660551,4725,-1.20411212,5940,1.199563795,6465,26.27297223,1946,227,3831,1061
S01000661,14.12036226,3817,3,6,3,5,3,5,3,5,3,5,3,5,3,5,3,5,0,0,11,80,3328,11,55,3166,-0.076508713,3439,-0.325958028,4074,10.78561917,4665,9.183956567,4496,335,2861,722
S01000662,12.68600411,4098,4,7,3,6,3,6,3,6,3,6,3,6,3,6,3,6,0,0,7,45,4554,9,40,3920,-0.840884269,5388,-0.634829071,4899,11.50943396,4486,55.97148224,507,214,3975,678
S01000663,12.41431985,4161,4,7,3,6,3,6,3,6,3,6,3,6,3,6,3,6,0,0,11,80,3306,8,35,4153,-0.352830428,4195,-0.672406318,4996,8.516886931,5233,27.25974126,1851,173,4467,715
S01000664,14.9238365,3632,3,6,3,5,3,5,3,5,3,5,3,5,3,5,3,5,0,0,7,55,4529,9,45,3848,-0.79114662,5299,0.199598382,2707,9.173126615,5087,61.42266487,386,136,4961,830
S01000665,12.12040324,4228,4,7,3,6,3,6,3,6,3,6,3,6,3,6,3,6,0,0,10,65,3728,6,25,4859,-0.655046861,4979,-0.698479442,5061,13.92592593,3786,53.4326021,553, ,6410,681
S01000666,11.77035646,4312,4,7,3,6,3,6,4,7,4,7,4,7,4,7,4,7,0,0,6,30,4945,9,25,3836,-1.177495324,5954,-0.466545242,4456,2.839756592,6291,39.73320178,1017,519,1729,531
S01000667,12.18626799,4212,4,7,3,6,3,6,3,6,3,6,3,6,3,6,3,6,0,0,11,105,3237,9,45,3900,-0.381437168,4269,-0.182010548,3654,12.08333333,4314,3.060226966,5813,344,2787,926
S01000668,25.99784468,1982,2,3,2,3,2,3,1,2,1,2,1,2,1,2,1,2,0,0,23,190,1185,17,85,1891,0.129272033,2849,0.312257919,2431,15.73157316,3286,3.627149913,5675,466,1980,830
S01000669,23.90817229,2213,2,4,2,3,2,3,1,2,1,2,1,2,1,2,1,2,0,0,20,145,1515,16,70,2044,0.287240735,2436,-0.255834207,3889,17.19745223,2906,0.362401965,6448,834,731,719
S01000670,12.18954772,4211,4,7,3,6,3,6,3,6,3,6,3,6,3,6,3,6,0,0,13,80,2936,10,35,3578,-0.715070889,5117,-0.356518351,4163,9.540636042,5003,10.51085342,4234,103,5405,618
S01000671,10.14304529,4704,4,8,4,7,4,7,4,8,4,8,4,8,4,8,4,8,0,0,9,50,3958,9,25,3859,-0.446302291,4451,-0.590577452,4769,14.94057725,3493,11.64491937,4002,110,5317,559
S01000672,12.51045641,4140,4,7,3,6,3,6,3,6,3,6,3,6,3,6,3,6,0,0,11,70,3426,10,40,3372,-0.73836201,5166,-0.002023327,3186,7.961783439,5338,10.67384992,4197,140,4877,655
S01000673,7.085051669,5408,5,9,5,9,5,9,5,9,5,9,5,9,5,9,5,9,0,0,6,40,4825,5,15,5333,-0.76468098,5235,-0.813558125,5309,5.6,5784,26.65673869,1908, ,6164,682
S01000674,14.80045993,3662,3,6,3,5,3,5,3,5,3,5,3,5,3,5,3,5,0,0,7,80,4426,7,55,4347,-0.093454917,3473,-0.083364561,3398,16.68404588,3051,53.22118929,562,233,3780,1114
S01000675,5.36787048,5846,5,9,5,10,5,10,5,10,5,10,5,10,5,10,5,10,0,1,3,25,5843,3,15,6041,-1.423606241,6240,-0.838316705,5364,1.385041551,6451,35.93835399,1229,71,5825,751
S01000676,14.07483844,3823,3,6,3,5,3,5,3,5,3,5,3,5,3,5,3,5,0,0,8,40,4157,7,20,4437,-1.017812696,5716,0.071427392,3022,22.22222222,1907.5,54.70288604,529,199,4142,474
S01000677,24.29649445,2169,2,4,2,3,2,3,1,2,1,2,1,2,1,2,1,2,0,0,15,125,2535,15,80,2267,-0.04326697,3346,0.387800253,2244,17.51824818,2822,62.46518539,360,135,4972,837
S01000678,12.89937233,4055,4,7,3,6,3,6,3,5,3,5,3,5,3,5,3,5,0,0,10,90,3701,8,40,4306,-0.579695698,4791,0.06483868,3030,11.17824773,4571,29.25285641,1658,170,4512,931
S01000679,28.01374729,1768,2,3,2,3,2,3,1,2,1,2,1,2,1,2,1,2,0,0,21,150,1425,15,65,2348,0.346035107,2280,0.974567549,945,21.33333333,2046,9.041492282,4522,548,1611,702
S01000680,29.67013636,1631,2,3,2,3,2,3,1,2,1,2,1,2,1,2,1,2,0,0,21,185,1403,21,110,1322,0.20231857,2658,0.494799034,2019,19.79434447,2338,16.21044048,3216,604,1364,874
S01000681,28.09531211,1759,2,3,2,3,2,3,1,2,1,2,1,2,1,2,1,2,0,0,21,190,1423,18,110,1688,0.562082879,1727,0.309540106,2436,19.87341772,2322.5,5.454800371,5274,684,1083,891
S01000682,19.81732126,2769,3,5,2,4,2,4,2,3,2,3,2,3,2,3,2,3,0,0,11,90,3311,12,60,2882,0.116300994,2889,0.424372442,2166,25,1586,0.90694712,6316,1452,182,815
S01000683,12.72647567,4093,4,7,3,6,3,6,3,5,3,5,3,5,3,5,3,5,0,0,11,55,3403,9,30,3908,-0.424781919,4388,-0.177914195,3641,13.71428571,3861,13.5907243,3667,331,2898,520
S01000684,28.24739776,1742,2,3,2,3,2,3,1,2,1,2,1,2,1,2,1,2,0,0,22,145,1267,21,85,1265,0.294183078,2415,0.37028681,2285,15.91240876,3229.5,3.644532308,5670,299,3159,655
S01000685,11.01887783,4490,4,7,4,7,4,7,4,7,4,7,4,7,4,7,4,7,0,0,10,80,3644,10,45,3585,-0.267130431,3943,-0.930717942,5556,9.913258984,4904,10.71528953,4193,188,4299,828
S01000686,20.41376408,2687,2,4,2,4,2,4,2,3,2,3,2,3,2,3,2,3,0,0,18,130,1963,14,55,2617,0.057614413,3051,0.210408937,2677,18.55263158,2584,5.132791844,5340,400,2385,729
S01000687,26.73230706,1903,2,3,2,3,2,3,1,2,1,2,1,2,1,2,1,2,0,0,20,165,1556,19,90,1592,0.133828965,2833,0.555619435,1870,16.09632446,3188,12.90405091,3782,357,2690,823
S01000688,11.34168577,4400,4,7,4,7,4,7,4,7,4,7,4,7,4,7,4,7,0,0,8,60,4063,8,35,4032,-0.573206471,4773,0.054777794,3054,8.556149733,5223,10.91501561,4145,340,2829,720
S01000689,17.93760218,3084,3,5,2,4,2,4,2,4,2,4,2,4,2,4,2,4,0,0,9,55,3954,12,45,3092,-0.831389559,5368,-0.218319629,3768,22.91325696,1807,78.09694698,129, ,6131,638
S01000690,8.607480935,5041,4,8,4,8,4,8,5,9,5,9,5,9,5,9,5,9,0,0,5,50,5099,6,30,4993,-0.717685912,5119,-0.415661694,4323,2.414231258,6340,30.23861645,1590,190,4270,917
S01000691,19.13725963,2889,3,5,2,4,2,4,2,3,2,3,2,3,2,3,2,3,0,0,13,100,2799,14,60,2604,-0.240264693,3860,0.223076515,2651,10.88082902,4643,28.87649351,1693,256,3537,726
S01000692,33.83455335,1299,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,0,0,22,145,1355,20,85,1414,0.343070656,2289,1.186372608,594,20.64343164,2164,15.2102061,3377,704,1016,679
S01000693,34.39285904,1264,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,0,0,24,225,1091,21,110,1284,0.34527742,2283,0.939255917,1012,20.84233261,2132,8.978896275,4529,1004,467,954
S01000694,19.0998,2896,3,5,2,4,2,4,2,3,2,3,2,3,2,3,2,3,0,0,14,95,2685,12,55,2960,0.020741643,3166,0.182596246,2742,13.95027624,3773,29.187862,1669,212,3991,679
S01000695,15.70740279,3457,3,6,3,5,3,5,2,4,2,4,2,4,2,4,2,4,0,0,11,85,3257,11,50,3370,-0.454938539,4461,0.323431585,2409,13.2885906,3977.5,15.02762477,3408,458,2026,747
S01000696,21.02597719,2594,2,4,2,4,2,4,2,3,2,3,2,3,2,3,2,3,0,0,19,135,1789,14,60,2551,0.020554813,3169,-0.017224699,3219,17.92065663,2742,1.776015565,6111,690,1066,729
S01000697,12.29908848,4183,4,7,3,6,3,6,3,6,3,6,3,6,3,6,3,6,0,0,6,50,4679,6,25,5104,-0.617523788,4886,0.030666035,3111,26.01626016,1470,48.43899128,683,137,4939,815
S01000698,15.81087897,3446,3,6,3,5,3,5,2,4,2,4,2,4,2,4,2,4,0,0,13,80,2854,10,40,3393,-0.474383568,4516,0.255871314,2566,11.05919003,4597,2.226807339,6024,712,990,607
S01000699,18.43416114,2996,3,5,2,4,2,4,2,3,2,3,2,3,2,3,2,3,0,0,15,85,2551,10,30,3590,0.030934518,3136,0.283221597,2507,9.149277689,5095,23.68861012,2230,415,2278,589
S01000700,14.99754916,3617,3,6,3,5,3,5,2,4,2,4,2,4,2,4,2,4,0,0,12,90,3166,9,40,3824,-0.477515561,4523,-0.018021785,3222,9.215017065,5074.5,35.26222212,1263,136,4958,751
S01000701,6.665429788,5520,5,9,5,9,5,9,5,10,5,10,5,10,5,10,5,10,0,0,4,45,5404,4,25,5694,-0.558781518,4739,-0.687891199,5037,3.948896632,6103,25.37989526,2039,181,4374,1011
S01000702,4.545675515,6043,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,0,1,4,20,5396,3,10,6057,-0.886516962,5474,-0.507270632,4553,4.214559387,6054,7.231390245,4902,233,3782,480
S01000703,14.80468712,3660,3,6,3,5,3,5,3,5,3,5,3,5,3,5,3,5,0,0,12,85,3075,10,40,3460,-0.423651728,4385,0.136432704,2861,9.311740891,5054,19.63787013,2715,147,4801,698
S01000704,12.22630626,4199,4,7,3,6,3,6,3,6,3,6,3,6,3,6,3,6,0,0,5,40,5312,5,25,5408,-0.683123859,5045,-0.342553544,4125,17.20154044,2905,75.07092896,156,132,5011,868
S01000705,7.959861456,5198,4,8,5,9,5,9,5,9,5,9,5,9,5,9,5,9,0,0,5,60,5074,6,40,5112,-0.939299407,5580,-0.683027364,5025,4.182156134,6061,34.18719235,1337,144,4833,1148
S01000706,8.01927576,5179,4,8,5,9,5,9,5,9,5,9,5,9,5,9,5,9,0,0,4,30,5771,4,25,5718,-1.553066673,6326,-0.567165029,4694,9.50617284,5011,48.85458014,668,260,3494,857
S01000707,11.40662019,4387,4,7,4,7,4,7,4,7,4,7,4,7,4,7,4,7,0,0,6,35,4987,5,25,5136,-0.51357649,4623,-0.56860217,4699,14.15270019,3707,64.48869906,320, ,6113,616
S01000708,11.88784529,4283,4,7,3,6,3,6,3,6,3,6,3,6,3,6,3,6,0,0,5,30,5271,5,20,5384,-1.147882825,5914,-1.010886805,5693,10.95152603,4626,90.96939213,35,85,5636,591
S01000709,10.3686303,4656,4,8,4,7,4,7,4,8,4,8,4,8,4,8,4,8,0,0,8,80,4128,6,35,4726,-0.280360812,3986,-0.518740949,4588,9.143518519,5097,26.72325342,1899,100,5440,1010
S01000710,15.86304646,3433,3,6,3,5,3,5,2,4,2,4,2,4,2,4,2,4,0,0,8,85,4116,6,35,5053,-1.08180414,5816,-0.159365398,3598,16.55813953,3077,94.05770293,18,86,5619,1067
S01000711,15.40949424,3518,3,6,3,5,3,5,3,6,3,6,3,6,3,6,3,6,0,0,6,40,4729,8,30,4220,-0.734238019,5157,-0.687658366,5034,21.61290323,2001,90.6962119,39,140,4884,605
S01000712,12.08202891,4238,4,7,4,7,4,7,4,8,4,8,4,8,4,8,4,8,0,0,9,50,3870,9,25,3927,0.306618577,2383,-0.901810141,5504,10.59027778,4727,9.053462831,4521,362,2645,576
S01000713,15.35963625,3536,3,6,3,5,3,5,3,6,3,6,3,6,3,6,3,6,0,0,12,90,3051,10,45,3495,0.20191777,2659,-0.038688853,3272,11.53846154,4474.5,14.4160535,3518,110,5314,749
S01000714,16.55738356,3301,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,0,0,9,95,3785,9,60,3698,-0.221082347,3791,-0.237592883,3826,22.47596154,1866,60.95074845,401,100,5448,1042
S01000715,25.25884687,2062,2,4,1,2,1,2,1,2,1,2,1,2,1,2,1,2,0,0,17,100,2144,17,55,1887,0.962294967,894,0.09291173,2972,19.8156682,2335,3.340774989,5734,411,2304,616
S01000716,41.61654817,824,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,23,135,1124,26,95,627,1.107850942,660,0.531510697,1929,38.02083333,670,0.48615951,6413,2430,49,576
S01000717,43.50743213,742,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,28,245,646,23,115,1012,1.080846598,694,1.195103476,581,30.18480493,1104,5.901975844,5188,781,827,865
S01000718,26.11580931,1969,2,3,1,2,1,2,1,2,1,2,1,2,1,2,1,2,0,0,17,150,2080,16,85,2057,0.614694324,1607,0.641590893,1642,26.05042017,1466,16.55570126,3161,321,2983,887
S01000719,12.77294203,4084,4,7,4,7,4,7,4,7,4,7,4,7,4,7,4,7,0,0,10,60,3693,8,25,4277,-0.258329526,3917,-0.728828632,5131,10.1088647,4843,41.16347893,957,105,5376,608
S01000720,17.15821519,3204,3,5,2,4,2,4,2,4,2,4,2,4,2,4,2,4,0,0,11,90,3335,13,50,2755,-0.594761275,4831,-0.324020653,4065,17.64705882,2795.5,49.13175032,659,91,5564,815
S01000721,21.83670769,2465,2,4,2,3,2,3,2,3,2,3,2,3,2,3,2,3,0,0,12,85,3037,12,45,3067,-0.238575175,3848,-0.14342147,3567,25.07598784,1578,86.06221327,61,91,5563,705
S01000722,19.08638421,2899,3,5,2,4,2,4,2,3,2,3,2,3,2,3,2,3,0,0,15,120,2496,12,60,3011,0.499782111,1881,0.056239064,3049,26.73992674,1392,8.437259299,4633,199,4145,807
S01000723,12.27285678,4186,4,7,4,7,4,7,4,8,4,8,4,8,4,8,4,8,0,0,4,25,5575,6,15,5076,-1.225257664,6023,-0.45989058,4440,18.59582543,2576,85.08663965,68, ,6260,584
S01000724,15.81504493,3444,3,6,3,5,3,5,3,5,3,5,3,5,3,5,3,5,0,0,10,90,3534,12,55,3093,0.21754182,2611,0.380851833,2260,20.42755344,2211,0.411726153,6432,208,4039,855
S01000725,14.75089695,3671,3,6,3,6,3,6,3,6,3,6,3,6,3,6,3,6,0,0,7,50,4624,8,35,4202,-0.529572386,4664,-0.960545851,5605,21.15107914,2083,82.66653948,86,101,5424,732
S01000726,15.58539934,3485,3,6,3,5,3,5,3,5,3,5,3,5,3,5,3,5,0,0,7,55,4449,8,35,4133,-0.514365663,4626,-0.110719797,3466,18.13333333,2692,73.99901699,169, ,6042,789
S01000727,22.83925316,2328,2,4,1,2,1,2,2,3,2,3,2,3,2,3,2,3,0,0,18,110,1818,14,50,2420,0.169154005,2739,0.518459346,1964,25.88235294,1490,11.44797153,4045,193,4231,599
S01000728,14.40573835,3751,3,6,3,6,3,6,3,6,3,6,3,6,3,6,3,6,0,0,7,50,4552,7,30,4612,-0.685203654,5050,-0.536660756,4629,29.6875,1141,75.64769135,150,164,4594,766
S01000729,22.04093941,2428,2,4,2,3,2,3,2,3,2,3,2,3,2,3,2,3,0,0,17,80,1989,18,45,1712,-0.26882137,3951,0.109710717,2929,17.34317343,2870,9.743391038,4372,341,2817,470
S01000730,21.10070196,2582,2,4,2,3,2,3,2,3,2,3,2,3,2,3,2,3,0,0,19,85,1689,16,45,2067,-0.611736869,4873,0.24098987,2610,21.29277567,2058,3.099394667,5807,324,2954,433
S01000731,39.6740636,936,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,28,165,629,25,80,735,0.416358457,2098,0.895101113,1100,30.16453382,1107,5.449470266,5278,574,1516,574
S01000732,56.33611674,318,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,34,175,279,36,115,134,0.90880902,981,0.853276354,1193,27.98507463,1271,0.674975271,6372,1525,157,514
S01000733,33.80071888,1304,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,22,165,1361,21,95,1317,0.807706366,1169,0.653351596,1608,32.29036295,957,4.360692087,5505,1138,343,761
S01000734,9.978639728,4740,4,8,5,9,5,9,5,9,5,9,5,9,5,9,5,9,0,0,7,60,4607,6,35,4768,-0.67131343,5025,-0.860645088,5411,6.841505131,5549,46.47450794,740, ,6292,937
S01000735,14.97782693,3620,3,6,3,5,3,5,3,6,3,6,3,6,3,6,3,6,0,0,12,55,3038,11,25,3294,-0.167648044,3657,-0.336963327,4108,16.47058824,3103,12.23613123,3901,426,2220,454
S01000736,18.21349545,3037,3,5,2,4,2,4,2,4,2,4,2,4,2,4,2,4,0,0,11,80,3242,15,50,2391,-0.024504617,3297,-0.40500036,4300,16.08300908,3192,35.14456798,1270,179,4389,691
S01000737,27.06959827,1863,2,3,1,2,1,2,1,2,1,2,1,2,1,2,1,2,0,0,16,85,2254,21,60,1299,-0.485291959,4542,0.522384307,1950,32.41852487,942,34.53305218,1309,469,1960,543
S01000738,11.75658538,4314,4,7,4,8,4,8,4,8,4,8,4,8,4,8,4,8,0,0,8,40,4166,11,30,3301,-0.822689749,5354,-0.287087341,3965,15.71675302,3291,13.78913173,3629,345,2777,527
S01000739,12.85896917,4066,4,7,4,7,4,7,4,7,4,7,4,7,4,7,4,7,0,0,11,85,3324,10,50,3381,-0.438123318,4429,-0.000675302,3183,13.57048748,3905,1.41717422,6192,247,3620,775
S01000740,18.41533659,2999,3,5,2,4,2,4,2,4,2,4,2,4,2,4,2,4,0,0,9,75,3818,10,40,3476,0.215265626,2619,0.272166066,2533,15.89008363,3238,48.94515402,666,171,4494,792
S01000741,17.04944455,3219,3,5,2,4,2,4,2,4,2,4,2,4,2,4,2,4,0,0,11,95,3452,10,50,3625,0.287796025,2435,-0.65788791,4963,11.68562565,4424,52.34980482,583,188,4302,876
S01000742,18.49225248,2991,3,5,2,4,2,4,2,4,2,4,2,4,2,4,2,4,0,0,10,55,3514,12,30,2902,-0.418907874,4366,-0.540694972,4643,10.66666667,4706,74.37222486,166,115,5238,540
S01000743,14.50432053,3732,3,6,3,6,3,6,3,6,3,6,3,6,3,6,3,6,0,0,8,65,4058,11,40,3222,0.126250636,2857,-0.901628557,5501,11.41552511,4510,36.69055198,1183,154,4725,765
S01000744,31.43183569,1476,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,21,150,1496,22,110,1093,0.631869122,1569,-0.205655949,3728,19.91814461,2311,3.06947912,5812,1925,82,725
S01000745,18.66794624,2961,3,5,2,4,2,4,2,3,2,3,2,3,2,3,2,3,0,0,11,75,3441,14,65,2440,0.352388173,2263,-0.073574847,3367,18.80108992,2538,18.09148775,2931,360,2656,723
S01000746,27.53836577,1813,2,3,1,2,1,2,1,2,1,2,1,2,1,2,1,2,0,0,16,115,2233,19,85,1633,1.059626169,730,0.184364356,2741,22.76422764,1826,6.083789291,5156,578,1497,721
