DataZone2001,simd2012score,simd2012rank,simd2012_sc_quintile,simd2012_sc_decile,simd2012_hb2006_quintile,simd2012_hb2006_decile,simd2012_hb2014_quintile,simd2012_hb2014_decile,simd2012_ca_quintile,simd2012_ca_decile,simd2012_chp2007_quintile,simd2012_chp2007_decile,simd2012_chp2011_quintile,simd2012_chp2011_decile,simd2012_chp2011sub_quintile,simd2012_chp2011sub_decile,simd2012_chp2012_quintile,simd2012_chp2012_decile,simd2012tp15,simd2012bt15,simd2012_inc_rate,simd2012_inc_dep_N,simd2012_inc_rank,simd2012_emp_rate,simd2012_emp_dep_N,simd2012_emp_rank,simd2012_hlth_score,simd2012_hlth_rank,simd2012_educ_score,simd2012_educ_rank,simd2012_house_score,simd2012_house_rank,simd2012_access_score,simd2012_access_rank,simd2012_crime_score,simd2012_crime_rank,total_pop_2010
S01000022,4.055633699,6167,5,10,5,9,5,9,5,9,5,9,5,9,5,9,5,9,0,1,1,10,6458,2,10,6449,-1.806264619,6439,-2.154601604,6483,0.960219479,6475,40.98402189,961, ,5985,746
S01000023,4.719921921,6000,5,10,5,9,5,9,4,8,4,8,4,8,4,8,4,8,0,1,1,10,6406,1,5,6469,-1.558702757,6335,-1.936520731,6447,2.236024845,6367,47.050564,723,68,5877,829
S01000024,6.345335712,5602,5,9,4,8,4,8,4,7,4,7,4,7,4,7,4,7,0,1,3,15,5886,1,0,6488,-0.921312418,5542,-1.616287066,6308,9.426229508,5031,54.62732701,530, ,6196,525
S01000025,4.670769727,6010,5,10,5,9,5,9,4,8,4,8,4,8,4,8,4,8,0,1,2,25,6148,3,20,6195,-1.597743315,6355,-1.9725978,6454,0.941176471,6476,40.91202665,964,58,6000,931
S01000026,34.43751682,1260,1,2,1,1,1,1,1,2,1,2,1,2,1,2,1,2,0,0,19,150,1774,21,100,1248,1.164586702,579,0.944637755,1003,21.1827957,2081,14.15877555,3570,377,2537,796
S01000027,4.813608676,5980,5,10,5,9,5,9,4,8,4,8,4,8,4,8,4,8,0,1,3,20,6068,5,25,5539,-1.416642472,6232,-1.504861873,6248,4.294478528,6029,30.83776582,1549,84,5644,800
S01000028,25.31088216,2052,2,4,1,2,1,2,2,3,2,3,2,3,2,3,2,3,0,0,15,125,2558,15,80,2224,0.906245988,984,0.744565317,1420,21.05263158,2105,10.16367455,4282,258,3521,851
S01000029,4.553448389,6042,5,10,5,9,5,9,4,8,4,8,4,8,4,8,4,8,0,1,1,10,6464,0,5,6499,-2.454155936,6502,-2.261268831,6496,3.773584906,6138,48.61098522,678, ,6466,1050
S01000030,21.9137012,2448,2,4,1,2,1,2,2,3,2,3,2,3,2,3,2,3,0,0,16,75,2296,15,40,2327,0.199758897,2669,0.221163551,2655,28,1267.5,13.65581169,3652,467,1972,479
S01000031,4.018579336,6174,5,10,5,9,5,9,5,9,5,9,5,9,5,9,5,9,0,1,3,25,6069,3,15,6245,-0.724674056,5135,-1.589231394,6292,4.041570439,6086,25.45419554,2027,50,6103,983
