DataZone,InterZone,MMWard,ROAL,SPConst,UKPConst,CHP,Council,ROAC,HB,CTRY
S01000093,S02000016,S13002487,S06000006,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000094,S02000018,S13002487,S06000006,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000095,S02000017,S13002485,S06000006,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000096,S02000014,S13002485,S06000001,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000097,S02000019,S13002485,S06000001,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000098,S02000018,S13002487,S06000006,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000099,S02000014,S13002485,S06000001,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000100,S02000018,S13002487,S06000006,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000101,S02000019,S13002485,S06000005,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000102,S02000018,S13002482,S06000006,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000103,S02000018,S13002482,S06000006,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000104,S02000019,S13002485,S06000001,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000105,S02000014,S13002485,S06000001,S16000076,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000106,S02000019,S13002485,S06000001,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000107,S02000018,S13002483,S06000004,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000108,S02000022,S13002483,S06000006,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000109,S02000018,S13002482,S06000004,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000110,S02000020,S13002485,S06000001,S16000076,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000111,S02000021,S13002485,S06000005,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000112,S02000021,S13002482,S06000004,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
